ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7,amusement,awe,contentment,excitement,anger,disgust,fear,sadness,something else
206000,504f4e,5e5d5d,626160,59585a,4a4949,565454,585757,5a5858,5c5a5a,565454,626160,4a4949,464d6a,575657,0.0637720599770546,0.0678154453635215,0.1970551609992981,0.0237436089664697,0.045774258673191,0.0578564293682575,0.0393175035715103,0.1453201621770858,0.3593453466892242
80281,747671,d6dada,d6dada,4f524f,87877e,acafa6,d6dada,acafa6,606460,8e928b,848478,7c736b,353838,494944,0.093436561524868,0.0713291615247726,0.3097922205924988,0.0431444905698299,0.0244412589818239,0.0473175123333931,0.0213474836200475,0.0788446217775344,0.3103466331958771
79624,786864,bbb5a0,655554,8b7a75,b2aa96,c4bfaa,c4bfaa,b9b39d,92837e,6e5b5a,83716c,aca28f,594a47,5f5555,0.0447264723479747,0.1369500458240509,0.1950577050447464,0.025192555040121,0.0190690942108631,0.0422457158565521,0.0852246284484863,0.3020768463611603,0.1494568735361099
79630,3d4449,ae7f5d,9e473a,beb67f,373229,445768,373229,9c382b,424f48,a05749,465f89,bdab53,99a6ad,e6ddaa,0.1008814424276351,0.1467891633510589,0.2681134939193725,0.0998220443725586,0.0201370697468519,0.0594495274126529,0.0367037467658519,0.0545930117368698,0.2135104238986969
79156,b2b5b6,dce2e7,c7ccd0,dce2e7,898a83,afb3b5,b7bcbf,d5dae0,94958e,e4e9ee,c7ccd0,a8abaa,797a72,85867f,0.0771076679229736,0.0701927840709686,0.2858912944793701,0.035527765750885,0.0335132591426372,0.0493937395513057,0.0218841843307018,0.0956478118896484,0.3308414816856384
78506,171817,dedfda,eaebe5,171817,c3c6c1,e0e2de,d0d3cd,e0e2de,d8dad6,eaebe5,171817,bec1bb,414340,757671,0.1042489930987358,0.051963698118925,0.1649358123540878,0.028085883706808,0.0493277050554752,0.0663827285170555,0.0610926002264022,0.1122746169567108,0.3616878092288971
79618,c4bcb5,e3e2df,e3e2df,ddd7d1,847a74,d2c6bf,e3e2df,ddd7d1,d2c6bf,403e3a,5d5b56,846a63,978f86,c7bbb3,0.1196361854672432,0.0820612534880638,0.2038411051034927,0.0498144924640655,0.0306710936129093,0.0737335756421089,0.056535892188549,0.0843308120965957,0.2993755340576172
78512,464039,bbaa9f,cac0ba,ab9384,2b2b27,61564b,212422,965e3d,cac0ba,bdb1ab,9d8b7c,34322c,594a3c,69625b,0.0865656808018684,0.090882658958435,0.1497803926467895,0.039004947990179,0.0430949814617633,0.0722803100943565,0.1583287864923477,0.1392568796873092,0.2208053320646286
79181,626263,a59d92,b4b1a7,626263,9a7d54,9396a6,9396a6,b8b7b3,656349,b0ac9a,717687,403934,936b45,a18e63,0.092373140156269,0.110335886478424,0.219661459326744,0.0704016983509063,0.0396582894027233,0.0754640325903892,0.0508997030556201,0.0844863280653953,0.2567194104194641
80530,585b84,e5dcb9,e5dcb9,172066,626694,d0c8ad,8f91b0,e5dcb9,d0c8ad,4f5aaa,373e7b,72717c,151d56,182277,0.0578954815864563,0.2114870846271515,0.2485282719135284,0.0699139088392257,0.0132730742916464,0.0534988865256309,0.0904338583350181,0.0825492218136787,0.1724202185869217
80256,54443b,988a70,988a70,735d45,342721,363040,928163,674b32,7e6f58,9f937d,4e4139,1d2047,231e1e,443124,0.0830367431044578,0.0942917093634605,0.2584477663040161,0.0484515130519866,0.0265632681548595,0.0581442527472972,0.0665001943707466,0.114437349140644,0.2501271069049835
136184,818685,cbbe99,cbbe99,b0ab97,314765,737b82,5a6879,82888b,6f7982,cbbe99,6e706d,b0ab97,273f60,3b506a,0.0752595067024231,0.0811463892459869,0.2095609009265899,0.0375974662601947,0.0481314696371555,0.0604381337761879,0.0506527759134769,0.1156336516141891,0.3215796053409576
420263,6e4d55,7b80ac,575a91,9fa7c6,453e5d,975d4d,485894,8493bc,675b8e,9a473e,453e5d,bbbbd1,776959,b17c5e,0.1865055710077285,0.0929323732852935,0.2502137422561645,0.0639329627156257,0.0204156525433063,0.0629132688045501,0.0637899190187454,0.1061125248670578,0.1531839370727539
79803,9a948d,dcd8ce,cccdc6,dcd8ce,2e2b2f,a18a7b,e0ddd6,cccdc6,2e2b2f,9d8066,6f554c,bcaa9d,dbcfbe,d7d5cf,0.0592610575258731,0.1286672353744506,0.1577250808477401,0.0457775667309761,0.0407469309866428,0.072728507220745,0.1257119625806808,0.1287308782339096,0.2406507283449173
100344,231d1a,42332d,231d1a,302723,42332d,664b43,654c44,715248,5c4038,42332d,231d1a,302723,775b52,918078,0.0362766720354557,0.0486118607223033,0.1590249389410019,0.0128174955025315,0.0582959838211536,0.0566296614706516,0.0521949343383312,0.2410805970430374,0.3350678384304046
78738,27342c,57523a,27342c,3c3726,715a2e,71826f,c9c6af,375c4d,27342c,6f735c,3c3726,aaa58c,5c5232,876229,0.0476738288998603,0.2704851925373077,0.2582211494445801,0.0525263883173465,0.0094472886994481,0.0283159520477056,0.0706511661410331,0.0836988240480423,0.1789801269769668
80083,b8b5b1,d4d3d0,d4d3d0,c7c3bf,9d9893,b5b4b4,aca9a7,b5b4b4,9a9a9a,d4d3d0,837f7a,c7c3bf,ae9686,aaa59f,0.056335661560297,0.1001236587762832,0.1844363957643509,0.042399238795042,0.0552054941654205,0.0817105993628501,0.0608060881495475,0.1336220800876617,0.2853608131408691
79340,54442d,876c43,54442d,765c3a,907445,9e8552,a98d54,a5884f,907445,947d50,54442d,765c3a,ac9058,b29a64,0.0401939637959003,0.1351170986890792,0.1537161767482757,0.0351512692868709,0.0388135313987731,0.0699529275298118,0.1305086463689804,0.1974068433046341,0.1991393864154815
79354,36383d,71636c,654e5b,36383d,657177,938085,8b6f76,303133,3d3e46,657177,59444e,725767,92848a,a59f9e,0.036018993705511,0.1294800192117691,0.1361320316791534,0.0433758795261383,0.0332866944372653,0.0535759069025516,0.2396321892738342,0.158220499753952,0.170277714729309
98800,794f44,caa680,a66047,4c3f41,c6965b,cdb5a4,b4895b,412c2c,d9a35b,a66047,585157,b4a49d,e4bb88,ead1cc,0.0491599924862384,0.1589295864105224,0.2180196493864059,0.0788746327161789,0.0195664651691913,0.0823563337326049,0.1053762286901474,0.0977024734020233,0.1900147348642349
78923,1b1b18,332f29,252321,1b1b18,332c27,4e4939,252321,1b1b18,3f3d32,332c27,534a39,5f5a47,73673d,746b59,0.0567426346242427,0.1186876744031906,0.1444882005453109,0.0504088513553142,0.042047306895256,0.0820088014006614,0.1329453289508819,0.11356021463871,0.2591109871864319
79383,363c4b,62646a,5b5c5e,363c4b,555d72,7c7b79,727171,555d72,3d4660,53565c,636160,858480,25282d,3a3c3e,0.1150990277528762,0.0968006402254104,0.1925778985023498,0.0483254641294479,0.0315087623894214,0.0786470398306846,0.0901201292872428,0.1079115197062492,0.2390094995498657
80040,374244,6b5a4e,6d4a3b,374244,5a6560,777160,292d2e,45575a,98744b,686d64,5a6560,6d4a3b,776a50,747e8b,0.0533802285790443,0.1290489286184311,0.2890520989894867,0.0455476604402065,0.0132050719112157,0.0406734570860862,0.0972701385617256,0.1213600635528564,0.2104623168706894
105764,382f20,74684a,382f20,5c4f35,7e704c,9a9173,92896d,a29979,7e704c,4a402d,382f20,6e6243,645234,73633b,0.0524193607270717,0.1686549037694931,0.2018472701311111,0.0586692169308662,0.0172846112400293,0.0552180893719196,0.1341585665941238,0.1405928432941436,0.1711550205945968
78937,c8c2ad,e8e2d3,ded4bb,e8e2d3,8f9689,d4cab3,ded4bb,f8f9f6,e1d6bf,d4cab3,73826e,aaaaa5,e1d9c3,eeeee9,0.083478644490242,0.05406479164958,0.2100811153650283,0.0282724481076002,0.0440763235092163,0.0632786229252815,0.0353478752076625,0.1031071245670318,0.3782930374145508
98633,928345,959dc1,c49251,617439,7890cd,b1aab5,7b9d46,727437,c49251,1c2222,a390a6,7890cd,bdbaa1,c3cfe6,0.0868570804595947,0.0668039321899414,0.3248900771141052,0.0465956330299377,0.0250081103295087,0.0472992397844791,0.0202309992164373,0.0740597173571586,0.3082551658153534
102745,978659,c9b88c,b29d68,c9b88c,594e3a,a18d5a,9e884e,c1ab71,a39367,d2c6a8,7f7251,b29d68,171310,4d4335,0.0794927254319191,0.0670178979635238,0.2588048279285431,0.0329944118857383,0.0367488227784633,0.0548763833940029,0.0288379155099391,0.1152338758111,0.3259930908679962
80068,5e6134,a1a270,979252,abb38d,505230,6c7138,686f33,9fab87,b6ba94,898343,70743c,505230,989f70,b2a352,0.0854114145040512,0.1372908055782318,0.2263835817575454,0.0362854525446891,0.0185100939124822,0.051283162087202,0.1220559924840927,0.1619016528129577,0.1608778685331344
78894,9d9464,afb6b3,c6c473,afb6b3,5f4345,8a8563,c6c473,8a8563,a9bdbc,763f35,8b909e,474655,c5c0a2,c2ccd1,0.1466369330883026,0.1245915591716766,0.3104810416698456,0.0859211459755897,0.0094006983563303,0.0420308597385883,0.036872498691082,0.0545537695288658,0.1895114481449127
80691,934126,7e7a68,887589,934126,81604a,679d43,679d43,a4261c,973c2a,86869e,896374,6b7c35,94434c,6e7e48,0.0750437602400779,0.0569587722420692,0.2998964488506317,0.0416403338313102,0.0369040220975875,0.0549224838614463,0.0237554106861352,0.0825403481721878,0.3283382654190063
79234,5b5953,cfc9b8,cfc9b8,20211f,7c786f,b1ab9e,151615,b1ab9e,56544e,6f6b64,cfc9b8,959086,1f201f,353533,0.0469915606081485,0.0755810886621475,0.1532960385084152,0.0306499376893043,0.0578982420265674,0.0673822090029716,0.1256663501262664,0.1936429142951965,0.2488916218280792
79220,333d2e,b17a4d,9e462a,333d2e,c5a444,c3b89d,e4e3dd,ebcb45,d7d0b9,a8966f,9f7d43,9e462a,2e3122,39493a,0.1087012961506843,0.097992330789566,0.3278005421161651,0.0854602828621864,0.0153632201254367,0.0482769347727298,0.0400756560266017,0.0617426931858062,0.214586853981018
128999,3d3d3b,c4c2bd,e3e2de,a4a29c,272826,54534f,41413e,f2f2f2,d4d1ca,b9b6af,666560,8f8d88,1f1f1e,30302e,0.0271894391626119,0.1168166548013687,0.2712572813034057,0.0291815977543592,0.0212515667080879,0.0387666597962379,0.066835768520832,0.2090722918510437,0.2196286767721176
161341,dfe1e6,f8f9fb,f8f9fb,f5f6f9,a7abb5,eceef0,f8f9fb,f5f6f9,eceef0,cdcfd5,a7aaab,7f8385,93a1db,bfc0c2,0.0899029448628425,0.0877919197082519,0.2277296781539917,0.0445056334137916,0.0313098356127738,0.0546192973852157,0.0408260114490985,0.0844001844525337,0.3389144837856293
78658,211e1c,787776,211e1c,a7a8a7,352d28,5f6062,352d28,3d3b3a,51555a,979999,211e1c,77787a,aeaead,c0c0bd,0.0219681188464164,0.3376320600509643,0.2743718028068542,0.0464590564370155,0.0080185895785689,0.0212417803704738,0.0565914250910282,0.1046496778726577,0.1290673911571502
79546,c3c1b4,e9eae6,e9eae6,dbdace,948f81,c3c0b2,cec6b2,e9eae6,dbdace,bfb39e,7d8282,b8bab3,434439,676754,0.1532620042562484,0.0723916143178939,0.2595424652099609,0.0447342135012149,0.015870738774538,0.0412526838481426,0.0278650317341089,0.0614515468478202,0.32362961769104
