,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm),Depth (cm),Weight (kg),Diameter (cm),Length (cm),Circumference (cm),Duration (sec.),cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
0,"Rope and People, I",Joan Miró,4016,"Spanish, 1893–1983",Spanish,1893,1983,Male,1935,"Oil on cardboard mounted on wood, with coil of rope","41 1/4 x 29 3/8"" (104.8 x 74.6 cm)",Gift of the Pierre Matisse Gallery,71.1936,Painting,Painting & Sculpture,1936-10-16,Y,33621,http://www.moma.org/collection/works/33621,http://www.moma.org/media/W1siZiIsIjE2MDU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bda8976e9be36136,104.8,74.6,,,,,,,403839,8d7251,836240,403839,8f7754,a18d71,99815d,8f7754,978164,836240,444052,3d3121,a69b8b,cfcbc4
1,Fire in the Evening,Paul Klee,3130,"German, born Switzerland. 1879–1940",German,1879,1940,Male,1929,Oil on cardboard,"13 3/8 x 13 1/4"" (33.8 x 33.3 cm)",Mr. and Mrs. Joachim Jean Aberbach Fund,153.1970,Painting,Painting & Sculpture,1970-04-08,Y,34854,http://www.moma.org/collection/works/34854,http://www.moma.org/media/W1siZiIsIjE3Njc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c57b375807d1f87,33.8,33.3,,,,,,,383033,8c8b8c,44454d,383033,b3aba7,f7f6f1,f7f6f1,6b585d,44454d,eceae2,443436,89817a,2d2826,2d303c
2,Portrait of an Equilibrist,Paul Klee,3130,"German, born Switzerland. 1879–1940",German,1879,1940,Male,1927,Oil and collage on cardboard over wood with painted plaster border,"24 7/8 x 15 3/4"" (63.2 x 40 cm)",Mrs. Simon Guggenheim Fund,195.1966,Painting,Painting & Sculpture,1966-04-12,Y,35209,http://www.moma.org/collection/works/35209,http://www.moma.org/media/W1siZiIsIjE3OTI4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=580fa5bb76eff44f,60.3,36.8,,,,,,,1e1f1b,48463e,1e1f1b,262621,484338,8c887e,1e1f1b,7b7a75,dfded8,484338,5b5446,262621,afada5,c8c7c0
3,Guitar,Pablo Picasso,4609,"Spanish, 1881–1973",Spanish,1881,1973,Male,1919,"Oil, charcoal and pinned paper on canvas","7' 1"" x 31"" (216 x 78.8 cm)",Gift of A. Conger Goodyear,384.1955,Painting,Painting & Sculpture,1955-12-28,Y,36613,http://www.moma.org/collection/works/36613,http://www.moma.org/media/W1siZiIsIjUxNjY3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dba4757e2ea3cf89,215.9,78.7,,,,,,,4d483e,a68e65,917754,4d483e,b19469,c4b384,3e3c39,383635,917754,5c4c3a,c4b384,776f55,a08964,c39f6f
4,Grandmother,Arthur Dove,1602,"American, 1880–1946",American,1880,1946,Male,1925,"Shingles, needlepoint, page from Concordance, pressed flowers and ferns mounted on cloth-covered wood","20 x 21 1/4"" (50.8 x 54.0 cm)",Gift of Philip L. Goodwin (by exchange),636.1939,Painting,Painting & Sculpture,1939-12-08,Y,37674,http://www.moma.org/collection/works/37674,http://www.moma.org/media/W1siZiIsIjI0NzA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=093d454bd551973d,50.8,54.0,,,,,,,221e1a,6b5c46,221e1a,4d3f30,655841,ac9877,b29c77,9c8b6c,c0ad8c,221e1a,655841,4d3f30,80684b,917b59
5,"""M'Amenez-y""",Francis Picabia,4607,"French, 1879–1953",French,1879,1953,Male,1919,Oil and enamel paint on cardboard,"50 3/4 x 35 3/8"" (129.2 x 89.8 cm)",Helena Rubinstein Fund,1309.1968,Painting,Painting & Sculpture,1968-10-08,Y,38561,http://www.moma.org/collection/works/38561,http://www.moma.org/media/W1siZiIsIjMzNjY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f29d885c0b373bbd,129.2,89.9,,,,,,,76774a,b8bd9c,949155,b8bd9c,4a3829,668056,252423,cdccbd,3d4130,668056,949155,623e28,93a874,b1b285
6,Untitled,Blinky Palermo,4474,"German, 1943–1977",German,1943,1977,Male,1970,Dyed cotton mounted on muslin,"6' 6 3/4"" x 6' 6 3/4"" (200 x 200 cm)",Gift of Jo Carole and Ronald S. Lauder,650.1997,Painting,Painting & Sculpture,1997-06-02,Y,78283,http://www.moma.org/collection/works/78283,http://www.moma.org/media/W1siZiIsIjE1MTQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=183105a88622f704,200.0,200.0,,,,,,,34614d,3f6e54,3f6e54,3a6851,2d5748,2e5b4c,2d5848,2c5747,2d594a,2e5b4c,3f6e54,3a6851,2a4b3d,2c5647
7,Daylight Savings Time,Pierre Roy,5065,"French, 1880–1950",French,1880,1950,Male,1929,Oil on canvas,"21 1/2 x 15"" (54.6 x 38.1 cm)",Gift of Mrs. Ray Slater Murphy,1.1931,Painting,Painting & Sculpture,1931-01-19,Y,78294,http://www.moma.org/collection/works/78294,http://www.moma.org/media/W1siZiIsIjIzMzkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96820bf47e072d6c,54.6,38.1,,,,,,,515151,827a6b,756a59,8f8a7d,49413a,5a6168,777166,968d7c,73624d,5a6168,9d9a8f,848074,3c3734,554b41
8,The Bather,Paul Cézanne,1053,"French, 1839–1906",French,1839,1906,Male,1885,Oil on canvas,"50 x 38 1/8"" (127 x 96.8 cm)",Lillie P. Bliss Collection. Conservation was made possible by the Bank of America Art Conservation Project,1.1934,Painting,Painting & Sculpture,1934-09-23,Y,78296,http://www.moma.org/collection/works/78296,http://www.moma.org/media/W1siZiIsIjQ0NjA2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9242de31ff2c065c,127.0,96.8,,,,,,,596468,797e7b,7b786e,778389,515a59,606f78,6e7c86,606f78,5a645f,505657,3e494e,7b786e,79858b,898f8d
9,Syntheses of Naples,Enrico Prampolini,4720,"Italian, 1894–1956",Italian,1894,1956,Male,1930,Oil on canvas,"39 3/8 x 39 1/2"" (100 x 100.3 cm)",Gift of Dr. Julius Spitzer,1.1942,Painting,Painting & Sculpture,1941-12-10,Y,78299,http://www.moma.org/collection/works/78299,http://www.moma.org/media/W1siZiIsIjE4NjgzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bccf9bc277ee280e,100.0,100.3,,,,,,,454547,b0a091,c5c0ae,454547,8e6458,a99d8f,907e6d,59676d,8c4b42,3b454c,c5c0ae,a99d8f,2b3233,533731
10,Two Rabbis,Jankel Adler,70,"Polish, 1895–1949",Polish,1895,1949,Male,1942,Oil on canvas,"33 7/8 x 44 1/8"" (86 x 112.1 cm)",Gift of Sam Salz,1.1949,Painting,Painting & Sculpture,1949-02-03,Y,78301,http://www.moma.org/collection/works/78301,http://www.moma.org/media/W1siZiIsIjE2MTM0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4cde4921780ac1fc,86.0,112.1,,,,,,,2f2920,5f554b,3a3836,2f2920,6e5334,97918b,20211e,746a64,3a3836,6e5334,3d3122,aea597,b2bac2,e0dbda
11,Simultaneous Contrasts: Sun and Moon,Robert Delaunay,1479,"French, 1885–1941",French,1885,1941,Male,1913,Oil on canvas,"53"" (134.5 cm) in diameter",Mrs. Simon Guggenheim Fund,1.1954,Painting,Painting & Sculpture,1954-01-12,Y,78302,http://www.moma.org/collection/works/78302,http://www.moma.org/media/W1siZiIsIjExMDgxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b75aeb161ef42c53,,,,,134.6,,,,5e5652,cbc8bd,dddddb,5e5652,9d8e6a,d6d6d4,dddddb,d6d6d4,958149,6b583f,a49c8a,483236,4e5061,797d71
12,Girl Wading,Elmer Bischoff,567,"American, 1916–1991",American,1916,1991,Male,1959,Oil on canvas,"6' 10 5/8"" x 67 3/4"" (209.8 x 172 cm)",Blanchette Hooker Rockefeller Fund,1.1960,Painting,Painting & Sculpture,1960-02-10,Y,78305,http://www.moma.org/collection/works/78305,http://www.moma.org/media/W1siZiIsIjIwNzk3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eab3905720a78afc,209.8,172.0,,,,,,,44352d,788169,57644f,44352d,8b8a6c,a7b29a,453b31,2c322d,909977,74332b,57644f,857b60,94a48f,bac0a4
13,"Painting, 4",Vasudeo S. Gaitonde,2051,"Indian, 1924–2001",Indian,1924,2001,Male,1962,Oil on canvas,"40 x 49 7/8"" (101.6 x 126.6 cm)",Gift of Mrs. Joseph James Akston,1.1963,Painting,Painting & Sculpture,1963-01-08,Y,78306,http://www.moma.org/collection/works/78306,http://www.moma.org/media/W1siZiIsIjE3MjEyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d62271767526c97a,101.6,126.6,,,,,,,5d5844,928562,5d5844,8a7b56,958664,a29679,a49675,958664,998c6f,867652,b3a98f,8d8059,524d3a,69624f
14,The Voice,Barnett Newman,4285,"American, 1905–1970",American,1905,1970,Male,1950,Egg tempera and enamel on canvas,"8' 1/8"" x 8' 9 1/2"" (244.1 x 268 cm)",The Sidney and Harriet Janis Collection,1.1968,Painting,Painting & Sculpture,1968-01-10,Y,78308,http://www.moma.org/collection/works/78308,http://www.moma.org/media/W1siZiIsIjIwMjM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=67296c15ee0c9e2d,244.1,268.0,,,,,,,efecdc,f8f4e6,f2efdf,f8f4e6,eae6d6,efecdc,e7e4d5,efecdc,ece9d9,f2efdf,e9e6d6,f8f4e6,e2decb,e4e2d2
15,Plums on a Plate,Preston Dickinson,1537,"American, 1889–1930",American,1889,1930,Male,1926,Oil on canvas,"14 x 20"" (35.6 x 50.8 cm)",Gift of Abby Aldrich Rockefeller,2.1931,Painting,Painting & Sculpture,1931-03-11,Y,78309,http://www.moma.org/collection/works/78309,http://www.moma.org/media/W1siZiIsIjE2NjgyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=384babfc95bc9b5c,35.6,50.8,,,,,,,292a29,6b6b63,58564e,292a29,63645e,9b9c90,272927,1e1e1c,a6aaa2,63645e,8f8e7d,3f4446,4d4f4e,635e4f
16,"Composition in White, Black, and Red",Piet Mondrian,4057,"Dutch, 1872–1944",Dutch,1872,1944,Male,1936,Oil on canvas,"40 1/4 x 41"" (102.2 x 104.1 cm)",Gift of the Advisory Committee,2.1937,Painting,Painting & Sculpture,1937-01-15,Y,78310,http://www.moma.org/collection/works/78310,http://www.moma.org/media/W1siZiIsIjI2NTc5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c59ad71c8df221b,102.2,104.1,,,,,,,bfbbb7,eeede8,eaeae5,eeede8,463936,e0deda,e8e7e3,e6e4de,eaeae5,eeede8,dddcd6,463936,ae9f9a,c6c5c2
17,Girl before a Mirror,Pablo Picasso,4609,"Spanish, 1881–1973",Spanish,1881,1973,Male,1932,Oil on canvas,"64 x 51 1/4"" (162.3 x 130.2 cm)",Gift of Mrs. Simon Guggenheim,2.1938,Painting,Painting & Sculpture,1937-12-17,Y,78311,http://www.moma.org/collection/works/78311,http://www.moma.org/media/W1siZiIsIjIwMzk0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ff5016f6835651d,162.3,130.2,,,,,,,373636,a59686,b9b7b8,373636,855644,9e9267,80846e,d0cdc9,a1a1a6,272322,bca060,855644,3a373c,525a5b
18,Transparency,James Edward Davis,1408,"American, 1901–1974",American,1901,1974,Male,1944,"Pigment on cellulose acetate on plywood panel, two sheets","Each 14 x 20 1/8"" (35.6 x 51.1 cm), plywood panel 20 x 30"" (50.8 x 76.2 cm)",Purchase,2.1945,Painting,Painting & Sculpture,1945-01-03,Y,78313,http://www.moma.org/collection/works/78313,http://www.moma.org/media/W1siZiIsIjUxNzQ2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a9907c8f1db8ca7,35.6,51.1,,,,,,,7c6f5a,dcdacd,dcdacd,473729,9f8b6a,c4c1ac,1a1913,c4c1ac,dcdacd,aea585,3b271e,634e3a,90683d,907b61
19,Woman with a Mandolin,Georges Braque,744,"French, 1882–1963",French,1882,1963,Male,1937,Oil on canvas,"51 1/4 x 38 1/4"" (130.2 x 97.2 cm)",Mrs. Simon Guggenheim Fund,2.1948,Painting,Painting & Sculpture,1948-03-17,Y,78315,http://www.moma.org/collection/works/78315,http://www.moma.org/media/W1siZiIsIjE1MTI0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c368c9e44c2e6784,130.2,97.2,,,,,,,242828,57553d,242828,414636,62533d,7a734d,7d7260,242828,62533d,414636,646847,947e3c,92825c,a09886
20,The Fitting,Francisco Borès,678,"Spanish, 1898–1972",Spanish,1898,1972,Male,1934,Oil on canvas,"6' 3/4"" x 7' 2 3/4"" (184.8 x 220.4 cm)",Purchase,2.1949,Painting,Painting & Sculpture,1949-02-03,Y,78316,http://www.moma.org/collection/works/78316,http://www.moma.org/media/W1siZiIsIjIwNzk3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0f45141bf26c6a9b,184.8,220.4,,,,,,,20201e,37362d,2c2d27,20201e,36342a,4c493e,2c2d27,605a48,3a3a35,36342a,20201e,524d3d,686357,827763
21,Murder in the Jungle,Wilson Bigaud,557,"Haitian, 1931–2010",Haitian,1931,2010,Male,1950,Oil on board,"23 7/8 x 29 3/4"" (60.6 x 75.6 cm)",Inter-American Fund,2.1951,Painting,Painting & Sculpture,1951-01-30,Y,78318,http://www.moma.org/collection/works/78318,http://www.moma.org/media/W1siZiIsIjIzNjY2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92da08ead8da59db,60.6,75.6,,,,,,,5d5035,80866f,3b3b32,806638,5c6f5d,a49e81,7b713e,9f833e,735132,3b3b32,93875a,5c6f5d,989b8e,d3d1c1
