,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm),Depth (cm),Weight (kg),Diameter (cm),Length (cm),Circumference (cm),Duration (sec.),cut_2,cut_4,cut_8
0,"Rope and People, I",Joan Miró,4016,"Spanish, 1893–1983",Spanish,1893,1983,Male,1935,"Oil on cardboard mounted on wood, with coil of rope","41 1/4 x 29 3/8"" (104.8 x 74.6 cm)",Gift of the Pierre Matisse Gallery,71.1936,Painting,Painting & Sculpture,1936-10-16,Y,33621,http://www.moma.org/collection/works/33621,http://www.moma.org/media/W1siZiIsIjE2MDU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bda8976e9be36136,104.8,74.6,,,,,,,"[(64, 56, 57), (141, 114, 81)]","[(131, 98, 64), (64, 56, 57), (143, 119, 84), (161, 141, 113)]","[(153, 129, 93), (143, 119, 84), (151, 129, 100), (131, 98, 64), (68, 64, 82), (61, 49, 33), (166, 155, 139), (207, 203, 196)]"
1,Fire in the Evening,Paul Klee,3130,"German, born Switzerland. 1879–1940",German,1879,1940,Male,1929,Oil on cardboard,"13 3/8 x 13 1/4"" (33.8 x 33.3 cm)",Mr. and Mrs. Joachim Jean Aberbach Fund,153.1970,Painting,Painting & Sculpture,1970-04-08,Y,34854,http://www.moma.org/collection/works/34854,http://www.moma.org/media/W1siZiIsIjE3Njc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c57b375807d1f87,33.8,33.3,,,,,,,"[(56, 48, 51), (140, 139, 140)]","[(68, 69, 77), (56, 48, 51), (179, 171, 167), (247, 246, 241)]","[(247, 246, 241), (107, 88, 93), (68, 69, 77), (236, 234, 226), (68, 52, 54), (137, 129, 122), (45, 40, 38), (45, 48, 60)]"
2,Portrait of an Equilibrist,Paul Klee,3130,"German, born Switzerland. 1879–1940",German,1879,1940,Male,1927,Oil and collage on cardboard over wood with painted plaster border,"24 7/8 x 15 3/4"" (63.2 x 40 cm)",Mrs. Simon Guggenheim Fund,195.1966,Painting,Painting & Sculpture,1966-04-12,Y,35209,http://www.moma.org/collection/works/35209,http://www.moma.org/media/W1siZiIsIjE3OTI4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=580fa5bb76eff44f,60.3,36.8,,,,,,,"[(30, 31, 27), (72, 70, 62)]","[(30, 31, 27), (38, 38, 33), (72, 67, 56), (140, 136, 126)]","[(30, 31, 27), (123, 122, 117), (223, 222, 216), (72, 67, 56), (91, 84, 70), (38, 38, 33), (175, 173, 165), (200, 199, 192)]"
3,Guitar,Pablo Picasso,4609,"Spanish, 1881–1973",Spanish,1881,1973,Male,1919,"Oil, charcoal and pinned paper on canvas","7' 1"" x 31"" (216 x 78.8 cm)",Gift of A. Conger Goodyear,384.1955,Painting,Painting & Sculpture,1955-12-28,Y,36613,http://www.moma.org/collection/works/36613,http://www.moma.org/media/W1siZiIsIjUxNjY3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dba4757e2ea3cf89,215.9,78.7,,,,,,,"[(77, 72, 62), (166, 142, 101)]","[(145, 119, 84), (77, 72, 62), (177, 148, 105), (196, 179, 132)]","[(62, 60, 57), (56, 54, 53), (145, 119, 84), (92, 76, 58), (196, 179, 132), (119, 111, 85), (160, 137, 100), (195, 159, 111)]"
4,Grandmother,Arthur Dove,1602,"American, 1880–1946",American,1880,1946,Male,1925,"Shingles, needlepoint, page from Concordance, pressed flowers and ferns mounted on cloth-covered wood","20 x 21 1/4"" (50.8 x 54.0 cm)",Gift of Philip L. Goodwin (by exchange),636.1939,Painting,Painting & Sculpture,1939-12-08,Y,37674,http://www.moma.org/collection/works/37674,http://www.moma.org/media/W1siZiIsIjI0NzA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=093d454bd551973d,50.8,54.0,,,,,,,"[(34, 30, 26), (107, 92, 70)]","[(34, 30, 26), (77, 63, 48), (101, 88, 65), (172, 152, 119)]","[(178, 156, 119), (156, 139, 108), (192, 173, 140), (34, 30, 26), (101, 88, 65), (77, 63, 48), (128, 104, 75), (145, 123, 89)]"
5,"""M'Amenez-y""",Francis Picabia,4607,"French, 1879–1953",French,1879,1953,Male,1919,Oil and enamel paint on cardboard,"50 3/4 x 35 3/8"" (129.2 x 89.8 cm)",Helena Rubinstein Fund,1309.1968,Painting,Painting & Sculpture,1968-10-08,Y,38561,http://www.moma.org/collection/works/38561,http://www.moma.org/media/W1siZiIsIjMzNjY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f29d885c0b373bbd,129.2,89.9,,,,,,,"[(118, 119, 74), (184, 189, 156)]","[(148, 145, 85), (184, 189, 156), (74, 56, 41), (102, 128, 86)]","[(37, 36, 35), (205, 204, 189), (61, 65, 48), (102, 128, 86), (148, 145, 85), (98, 62, 40), (147, 168, 116), (177, 178, 133)]"
6,Untitled,Blinky Palermo,4474,"German, 1943–1977",German,1943,1977,Male,1970,Dyed cotton mounted on muslin,"6' 6 3/4"" x 6' 6 3/4"" (200 x 200 cm)",Gift of Jo Carole and Ronald S. Lauder,650.1997,Painting,Painting & Sculpture,1997-06-02,Y,78283,http://www.moma.org/collection/works/78283,http://www.moma.org/media/W1siZiIsIjE1MTQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=183105a88622f704,200.0,200.0,,,,,,,"[(52, 97, 77), (63, 110, 84)]","[(63, 110, 84), (58, 104, 81), (45, 87, 72), (46, 91, 76)]","[(45, 88, 72), (44, 87, 71), (45, 89, 74), (46, 91, 76), (63, 110, 84), (58, 104, 81), (42, 75, 61), (44, 86, 71)]"
7,Daylight Savings Time,Pierre Roy,5065,"French, 1880–1950",French,1880,1950,Male,1929,Oil on canvas,"21 1/2 x 15"" (54.6 x 38.1 cm)",Gift of Mrs. Ray Slater Murphy,1.1931,Painting,Painting & Sculpture,1931-01-19,Y,78294,http://www.moma.org/collection/works/78294,http://www.moma.org/media/W1siZiIsIjIzMzkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96820bf47e072d6c,54.6,38.1,,,,,,,"[(81, 81, 81), (130, 122, 107)]","[(117, 106, 89), (143, 138, 125), (73, 65, 58), (90, 97, 104)]","[(119, 113, 102), (150, 141, 124), (115, 98, 77), (90, 97, 104), (157, 154, 143), (132, 128, 116), (60, 55, 52), (85, 75, 65)]"
8,The Bather,Paul Cézanne,1053,"French, 1839–1906",French,1839,1906,Male,1885,Oil on canvas,"50 x 38 1/8"" (127 x 96.8 cm)",Lillie P. Bliss Collection. Conservation was made possible by the Bank of America Art Conservation Project,1.1934,Painting,Painting & Sculpture,1934-09-23,Y,78296,http://www.moma.org/collection/works/78296,http://www.moma.org/media/W1siZiIsIjQ0NjA2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9242de31ff2c065c,127.0,96.8,,,,,,,"[(89, 100, 104), (121, 126, 123)]","[(123, 120, 110), (119, 131, 137), (81, 90, 89), (96, 111, 120)]","[(110, 124, 134), (96, 111, 120), (90, 100, 95), (80, 86, 87), (62, 73, 78), (123, 120, 110), (121, 133, 139), (137, 143, 141)]"
9,Syntheses of Naples,Enrico Prampolini,4720,"Italian, 1894–1956",Italian,1894,1956,Male,1930,Oil on canvas,"39 3/8 x 39 1/2"" (100 x 100.3 cm)",Gift of Dr. Julius Spitzer,1.1942,Painting,Painting & Sculpture,1941-12-10,Y,78299,http://www.moma.org/collection/works/78299,http://www.moma.org/media/W1siZiIsIjE4NjgzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bccf9bc277ee280e,100.0,100.3,,,,,,,"[(69, 69, 71), (176, 160, 145)]","[(197, 192, 174), (69, 69, 71), (142, 100, 88), (169, 157, 143)]","[(144, 126, 109), (89, 103, 109), (140, 75, 66), (59, 69, 76), (197, 192, 174), (169, 157, 143), (43, 50, 51), (83, 55, 49)]"
10,Two Rabbis,Jankel Adler,70,"Polish, 1895–1949",Polish,1895,1949,Male,1942,Oil on canvas,"33 7/8 x 44 1/8"" (86 x 112.1 cm)",Gift of Sam Salz,1.1949,Painting,Painting & Sculpture,1949-02-03,Y,78301,http://www.moma.org/collection/works/78301,http://www.moma.org/media/W1siZiIsIjE2MTM0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4cde4921780ac1fc,86.0,112.1,,,,,,,"[(47, 41, 32), (95, 85, 75)]","[(58, 56, 54), (47, 41, 32), (110, 83, 52), (151, 145, 139)]","[(32, 33, 30), (116, 106, 100), (58, 56, 54), (110, 83, 52), (61, 49, 34), (174, 165, 151), (178, 186, 194), (224, 219, 218)]"
11,Simultaneous Contrasts: Sun and Moon,Robert Delaunay,1479,"French, 1885–1941",French,1885,1941,Male,1913,Oil on canvas,"53"" (134.5 cm) in diameter",Mrs. Simon Guggenheim Fund,1.1954,Painting,Painting & Sculpture,1954-01-12,Y,78302,http://www.moma.org/collection/works/78302,http://www.moma.org/media/W1siZiIsIjExMDgxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b75aeb161ef42c53,,,,,134.6,,,,"[(94, 86, 82), (203, 200, 189)]","[(221, 221, 219), (94, 86, 82), (157, 142, 106), (214, 214, 212)]","[(221, 221, 219), (214, 214, 212), (149, 129, 73), (107, 88, 63), (164, 156, 138), (72, 50, 54), (78, 80, 97), (121, 125, 113)]"
12,Girl Wading,Elmer Bischoff,567,"American, 1916–1991",American,1916,1991,Male,1959,Oil on canvas,"6' 10 5/8"" x 67 3/4"" (209.8 x 172 cm)",Blanchette Hooker Rockefeller Fund,1.1960,Painting,Painting & Sculpture,1960-02-10,Y,78305,http://www.moma.org/collection/works/78305,http://www.moma.org/media/W1siZiIsIjIwNzk3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eab3905720a78afc,209.8,172.0,,,,,,,"[(68, 53, 45), (120, 129, 105)]","[(87, 100, 79), (68, 53, 45), (139, 138, 108), (167, 178, 154)]","[(69, 59, 49), (44, 50, 45), (144, 153, 119), (116, 51, 43), (87, 100, 79), (133, 123, 96), (148, 164, 143), (186, 192, 164)]"
