,Date,Color,Count
0,1875,"(114, 116, 114)",6
1,1875,"(127, 127, 127)",5
2,1875,"(92, 64, 51)",4
3,1875,"(105, 105, 105)",4
4,1875,"(195, 195, 195)",4
5,1875,"(40, 40, 40)",1
6,1879,"(54, 69, 79)",2
7,1879,"(105, 105, 105)",2
8,1879,"(114, 116, 114)",2
9,1879,"(127, 127, 127)",2
10,1883,"(127, 127, 127)",4
11,1883,"(92, 64, 51)",1
12,1883,"(105, 105, 105)",1
13,1883,"(114, 116, 114)",1
14,1883,"(185, 122, 87)",1
15,1885,"(105, 105, 105)",3
16,1885,"(54, 69, 79)",1
17,1885,"(112, 128, 148)",1
18,1885,"(114, 116, 114)",1
19,1885,"(127, 127, 127)",1
20,1885,"(195, 195, 195)",1
21,1886,"(105, 105, 105)",1
22,1886,"(114, 116, 114)",1
23,1886,"(127, 127, 127)",1
24,1886,"(195, 195, 195)",1
25,1887,"(105, 105, 105)",2
26,1887,"(127, 127, 127)",2
27,1887,"(195, 195, 195)",2
28,1887,"(40, 40, 40)",1
29,1887,"(92, 64, 51)",1
30,1888,"(195, 195, 195)",5
31,1888,"(105, 105, 105)",3
32,1888,"(127, 127, 127)",3
33,1888,"(54, 69, 79)",2
34,1888,"(185, 122, 87)",2
35,1888,"(92, 64, 51)",1
36,1889,"(105, 105, 105)",5
37,1889,"(54, 69, 79)",4
38,1889,"(127, 127, 127)",3
39,1889,"(40, 40, 40)",2
40,1889,"(92, 64, 51)",2
41,1889,"(112, 146, 190)",1
42,1889,"(114, 116, 114)",1
43,1889,"(149, 69, 53)",1
44,1889,"(185, 122, 87)",1
45,1890,"(127, 127, 127)",3
46,1890,"(195, 195, 195)",2
47,1890,"(54, 69, 79)",1
48,1890,"(105, 105, 105)",1
49,1890,"(185, 122, 87)",1
50,1891,"(195, 195, 195)",2
51,1891,"(112, 128, 148)",1
52,1891,"(112, 146, 190)",1
53,1892,"(40, 40, 40)",3
54,1892,"(105, 105, 105)",2
55,1892,"(54, 69, 79)",1
56,1892,"(185, 122, 87)",1
57,1892,"(195, 195, 195)",1
58,1893,"(92, 64, 51)",4
59,1893,"(40, 40, 40)",3
60,1893,"(105, 105, 105)",1
61,1893,"(114, 116, 114)",1
62,1893,"(127, 127, 127)",1
63,1893,"(149, 69, 53)",1
64,1893,"(185, 122, 87)",1
65,1894,"(92, 64, 51)",2
66,1894,"(127, 127, 127)",2
67,1894,"(114, 116, 114)",1
68,1894,"(185, 122, 87)",1
69,1894,"(195, 195, 195)",1
70,1894,"(239, 228, 176)",1
71,1895,"(92, 64, 51)",3
72,1895,"(40, 40, 40)",2
73,1895,"(185, 122, 87)",2
74,1895,"(105, 105, 105)",1
75,1895,"(114, 116, 114)",1
76,1895,"(127, 127, 127)",1
77,1895,"(149, 69, 53)",1
78,1895,"(195, 195, 195)",1
79,1896,"(40, 40, 40)",2
80,1896,"(92, 64, 51)",1
81,1896,"(195, 195, 195)",1
82,1897,"(54, 69, 79)",3
83,1897,"(105, 105, 105)",2
84,1897,"(112, 128, 148)",1
85,1897,"(114, 116, 114)",1
86,1897,"(127, 127, 127)",1
87,1898,"(40, 40, 40)",1
88,1898,"(92, 64, 51)",1
89,1898,"(114, 116, 114)",1
90,1898,"(185, 122, 87)",1
91,1899,"(40, 40, 40)",2
92,1899,"(92, 64, 51)",2
93,1899,"(114, 116, 114)",1
94,1899,"(127, 127, 127)",1
95,1899,"(185, 122, 87)",1
96,1899,"(195, 195, 195)",1
97,1900,"(127, 127, 127)",6
98,1900,"(114, 116, 114)",4
99,1900,"(54, 69, 79)",3
100,1900,"(40, 40, 40)",2
101,1900,"(92, 64, 51)",2
102,1900,"(105, 105, 105)",2
103,1900,"(185, 122, 87)",2
104,1900,"(195, 195, 195)",2
105,1900,"(149, 69, 53)",1
106,1901,"(40, 40, 40)",2
107,1901,"(54, 69, 79)",1
108,1901,"(92, 64, 51)",1
109,1902,"(92, 64, 51)",4
110,1902,"(40, 40, 40)",1
111,1902,"(105, 105, 105)",1
112,1902,"(114, 116, 114)",1
113,1902,"(195, 195, 195)",1
114,1903,"(112, 128, 148)",2
115,1903,"(54, 69, 79)",1
116,1903,"(105, 105, 105)",1
117,1904,"(185, 122, 87)",2
118,1904,"(92, 64, 51)",1
119,1904,"(114, 116, 114)",1
120,1905,"(127, 127, 127)",9
121,1905,"(92, 64, 51)",6
122,1905,"(195, 195, 195)",6
123,1905,"(185, 122, 87)",5
124,1905,"(54, 69, 79)",4
125,1905,"(105, 105, 105)",4
126,1905,"(149, 69, 53)",3
127,1905,"(114, 116, 114)",2
128,1905,"(40, 40, 40)",1
129,1906,"(127, 127, 127)",4
130,1906,"(149, 69, 53)",3
131,1906,"(185, 122, 87)",3
132,1906,"(54, 69, 79)",2
133,1906,"(92, 64, 51)",2
134,1906,"(114, 116, 114)",2
135,1906,"(195, 195, 195)",2
136,1906,"(40, 40, 40)",1
137,1906,"(105, 105, 105)",1
138,1907,"(105, 105, 105)",11
139,1907,"(127, 127, 127)",11
140,1907,"(195, 195, 195)",8
141,1907,"(185, 122, 87)",7
142,1907,"(40, 40, 40)",5
143,1907,"(92, 64, 51)",5
144,1907,"(114, 116, 114)",5
145,1907,"(54, 69, 79)",4
146,1907,"(112, 128, 148)",1
147,1907,"(112, 146, 190)",1
148,1907,"(149, 69, 53)",1
149,1907,"(239, 228, 176)",1
150,1908,"(127, 127, 127)",11
151,1908,"(92, 64, 51)",10
152,1908,"(54, 69, 79)",7
153,1908,"(105, 105, 105)",7
154,1908,"(40, 40, 40)",5
155,1908,"(114, 116, 114)",5
156,1908,"(185, 122, 87)",4
157,1908,"(149, 69, 53)",1
158,1908,"(195, 195, 195)",1
159,1908,"(239, 228, 176)",1
160,1909,"(105, 105, 105)",9
161,1909,"(92, 64, 51)",7
162,1909,"(195, 195, 195)",7
163,1909,"(127, 127, 127)",6
164,1909,"(54, 69, 79)",5
165,1909,"(185, 122, 87)",5
166,1909,"(40, 40, 40)",2
167,1909,"(149, 69, 53)",2
168,1909,"(239, 228, 176)",2
169,1909,"(63, 72, 204)",1
170,1909,"(112, 146, 190)",1
171,1909,"(114, 116, 114)",1
172,1910,"(127, 127, 127)",12
173,1910,"(105, 105, 105)",11
174,1910,"(40, 40, 40)",9
175,1910,"(54, 69, 79)",9
176,1910,"(92, 64, 51)",8
177,1910,"(185, 122, 87)",7
178,1910,"(195, 195, 195)",7
179,1910,"(114, 116, 114)",5
180,1910,"(149, 69, 53)",3
181,1910,"(112, 128, 148)",1
182,1911,"(105, 105, 105)",14
183,1911,"(54, 69, 79)",10
184,1911,"(127, 127, 127)",9
185,1911,"(92, 64, 51)",8
186,1911,"(185, 122, 87)",8
187,1911,"(40, 40, 40)",7
188,1911,"(195, 195, 195)",7
189,1911,"(114, 116, 114)",4
190,1911,"(149, 69, 53)",3
191,1911,"(112, 128, 148)",2
192,1912,"(127, 127, 127)",21
193,1912,"(92, 64, 51)",18
194,1912,"(185, 122, 87)",16
195,1912,"(195, 195, 195)",15
196,1912,"(54, 69, 79)",13
197,1912,"(105, 105, 105)",13
198,1912,"(40, 40, 40)",12
199,1912,"(114, 116, 114)",7
200,1912,"(149, 69, 53)",5
201,1912,"(112, 128, 148)",2
202,1912,"(112, 146, 190)",2
203,1912,"(255, 255, 255)",2
204,1912,"(0, 0, 0)",1
205,1912,"(200, 191, 231)",1
206,1913,"(127, 127, 127)",14
207,1913,"(195, 195, 195)",13
208,1913,"(105, 105, 105)",12
209,1913,"(54, 69, 79)",11
210,1913,"(92, 64, 51)",11
211,1913,"(114, 116, 114)",10
212,1913,"(40, 40, 40)",8
213,1913,"(112, 128, 148)",4
214,1913,"(185, 122, 87)",4
215,1913,"(149, 69, 53)",2
216,1913,"(0, 0, 0)",1
217,1913,"(112, 146, 190)",1
218,1913,"(200, 191, 231)",1
219,1914,"(127, 127, 127)",26
220,1914,"(195, 195, 195)",25
221,1914,"(105, 105, 105)",19
222,1914,"(92, 64, 51)",17
223,1914,"(40, 40, 40)",15
224,1914,"(54, 69, 79)",14
225,1914,"(114, 116, 114)",13
226,1914,"(185, 122, 87)",8
227,1914,"(149, 69, 53)",5
228,1914,"(112, 128, 148)",3
229,1914,"(239, 228, 176)",2
230,1914,"(112, 146, 190)",1
231,1915,"(127, 127, 127)",13
232,1915,"(195, 195, 195)",13
233,1915,"(40, 40, 40)",10
234,1915,"(105, 105, 105)",7
235,1915,"(54, 69, 79)",6
236,1915,"(92, 64, 51)",5
237,1915,"(112, 128, 148)",5
238,1915,"(112, 146, 190)",3
239,1915,"(114, 116, 114)",2
240,1915,"(149, 69, 53)",2
241,1915,"(185, 122, 87)",2
242,1916,"(105, 105, 105)",10
243,1916,"(127, 127, 127)",8
244,1916,"(92, 64, 51)",6
245,1916,"(195, 195, 195)",6
246,1916,"(40, 40, 40)",5
247,1916,"(185, 122, 87)",5
248,1916,"(54, 69, 79)",3
249,1916,"(149, 69, 53)",3
250,1916,"(114, 116, 114)",1
251,1916,"(239, 228, 176)",1
252,1917,"(92, 64, 51)",11
253,1917,"(40, 40, 40)",9
254,1917,"(127, 127, 127)",7
255,1917,"(185, 122, 87)",6
256,1917,"(105, 105, 105)",4
257,1917,"(195, 195, 195)",4
258,1917,"(54, 69, 79)",3
259,1917,"(114, 116, 114)",3
260,1917,"(149, 69, 53)",3
261,1917,"(181, 230, 29)",1
262,1917,"(200, 191, 231)",1
263,1918,"(195, 195, 195)",12
264,1918,"(92, 64, 51)",7
265,1918,"(40, 40, 40)",5
266,1918,"(105, 105, 105)",5
267,1918,"(127, 127, 127)",5
268,1918,"(185, 122, 87)",5
269,1918,"(54, 69, 79)",4
270,1918,"(114, 116, 114)",4
271,1918,"(112, 146, 190)",2
272,1918,"(149, 69, 53)",2
273,1918,"(239, 228, 176)",1
274,1919,"(185, 122, 87)",8
275,1919,"(195, 195, 195)",5
276,1919,"(40, 40, 40)",4
277,1919,"(92, 64, 51)",4
278,1919,"(105, 105, 105)",4
279,1919,"(149, 69, 53)",3
280,1919,"(54, 69, 79)",2
281,1919,"(112, 146, 190)",1
282,1919,"(114, 116, 114)",1
283,1920,"(195, 195, 195)",10
284,1920,"(127, 127, 127)",6
285,1920,"(54, 69, 79)",4
286,1920,"(92, 64, 51)",4
287,1920,"(105, 105, 105)",4
288,1920,"(185, 122, 87)",3
289,1920,"(40, 40, 40)",2
290,1920,"(114, 116, 114)",2
291,1920,"(149, 69, 53)",1
292,1921,"(40, 40, 40)",9
293,1921,"(92, 64, 51)",8
294,1921,"(195, 195, 195)",8
295,1921,"(185, 122, 87)",7
296,1921,"(105, 105, 105)",6
297,1921,"(127, 127, 127)",5
298,1921,"(54, 69, 79)",3
299,1921,"(114, 116, 114)",2
300,1921,"(112, 128, 148)",1
301,1921,"(200, 191, 231)",1
302,1921,"(239, 228, 176)",1
303,1921,"(255, 201, 14)",1
304,1922,"(185, 122, 87)",10
305,1922,"(92, 64, 51)",9
306,1922,"(195, 195, 195)",7
307,1922,"(40, 40, 40)",5
308,1922,"(127, 127, 127)",5
309,1922,"(54, 69, 79)",4
310,1922,"(105, 105, 105)",4
311,1922,"(114, 116, 114)",3
312,1922,"(149, 69, 53)",1
313,1923,"(195, 195, 195)",12
314,1923,"(127, 127, 127)",7
315,1923,"(92, 64, 51)",6
316,1923,"(185, 122, 87)",5
317,1923,"(40, 40, 40)",4
318,1923,"(105, 105, 105)",4
319,1923,"(114, 116, 114)",2
320,1923,"(54, 69, 79)",1
321,1923,"(149, 69, 53)",1
322,1923,"(200, 191, 231)",1
323,1923,"(203, 228, 253)",1
324,1924,"(92, 64, 51)",8
325,1924,"(40, 40, 40)",7
326,1924,"(127, 127, 127)",6
327,1924,"(105, 105, 105)",5
328,1924,"(195, 195, 195)",5
329,1924,"(114, 116, 114)",2
330,1924,"(149, 69, 53)",2
331,1924,"(255, 255, 255)",2
332,1924,"(54, 69, 79)",1
333,1924,"(112, 128, 148)",1
334,1924,"(185, 122, 87)",1
335,1925,"(195, 195, 195)",13
336,1925,"(92, 64, 51)",11
337,1925,"(105, 105, 105)",11
338,1925,"(127, 127, 127)",11
339,1925,"(40, 40, 40)",9
340,1925,"(114, 116, 114)",5
341,1925,"(185, 122, 87)",5
342,1925,"(54, 69, 79)",3
343,1925,"(149, 69, 53)",2
344,1925,"(239, 228, 176)",2
345,1925,"(0, 0, 0)",1
346,1925,"(112, 128, 148)",1
347,1925,"(237, 28, 36)",1
348,1925,"(255, 174, 201)",1
349,1926,"(195, 195, 195)",13
350,1926,"(92, 64, 51)",9
351,1926,"(185, 122, 87)",9
352,1926,"(40, 40, 40)",8
353,1926,"(105, 105, 105)",8
354,1926,"(127, 127, 127)",5
355,1926,"(54, 69, 79)",4
356,1926,"(114, 116, 114)",3
357,1926,"(149, 69, 53)",3
358,1926,"(203, 228, 253)",2
359,1926,"(112, 128, 148)",1
360,1926,"(112, 146, 190)",1
361,1926,"(200, 191, 231)",1
362,1926,"(255, 255, 255)",1
363,1927,"(40, 40, 40)",14
364,1927,"(105, 105, 105)",13
365,1927,"(127, 127, 127)",13
366,1927,"(92, 64, 51)",12
367,1927,"(185, 122, 87)",11
368,1927,"(195, 195, 195)",6
369,1927,"(54, 69, 79)",5
370,1927,"(114, 116, 114)",4
371,1927,"(0, 0, 0)",2
372,1927,"(112, 128, 148)",2
373,1927,"(149, 69, 53)",2
374,1927,"(200, 191, 231)",2
375,1927,"(112, 146, 190)",1
376,1927,"(203, 228, 253)",1
377,1928,"(40, 40, 40)",22
378,1928,"(195, 195, 195)",17
379,1928,"(92, 64, 51)",15
380,1928,"(105, 105, 105)",15
381,1928,"(127, 127, 127)",11
382,1928,"(185, 122, 87)",10
383,1928,"(54, 69, 79)",6
384,1928,"(114, 116, 114)",6
385,1928,"(149, 69, 53)",6
386,1928,"(112, 128, 148)",2
387,1928,"(112, 146, 190)",2
388,1929,"(40, 40, 40)",14
389,1929,"(195, 195, 195)",11
