ObjectID,cut_2,cut_4,cut_8
206000,"[(80, 79, 78), (94, 93, 93)]","[(98, 97, 96), (89, 88, 90), (74, 73, 73), (86, 84, 84)]","[(88, 87, 87), (90, 88, 88), (92, 90, 90), (86, 84, 84), (98, 97, 96), (74, 73, 73), (70, 77, 106), (87, 86, 87)]"
80281,"[(116, 118, 113), (214, 218, 218)]","[(214, 218, 218), (79, 82, 79), (135, 135, 126), (172, 175, 166)]","[(214, 218, 218), (172, 175, 166), (96, 100, 96), (142, 146, 139), (132, 132, 120), (124, 115, 107), (53, 56, 56), (73, 73, 68)]"
79624,"[(120, 104, 100), (187, 181, 160)]","[(101, 85, 84), (139, 122, 117), (178, 170, 150), (196, 191, 170)]","[(196, 191, 170), (185, 179, 157), (146, 131, 126), (110, 91, 90), (131, 113, 108), (172, 162, 143), (89, 74, 71), (95, 85, 85)]"
79630,"[(61, 68, 73), (174, 127, 93)]","[(158, 71, 58), (190, 182, 127), (55, 50, 41), (68, 87, 104)]","[(55, 50, 41), (156, 56, 43), (66, 79, 72), (160, 87, 73), (70, 95, 137), (189, 171, 83), (153, 166, 173), (230, 221, 170)]"
79156,"[(178, 181, 182), (220, 226, 231)]","[(199, 204, 208), (220, 226, 231), (137, 138, 131), (175, 179, 181)]","[(183, 188, 191), (213, 218, 224), (148, 149, 142), (228, 233, 238), (199, 204, 208), (168, 171, 170), (121, 122, 114), (133, 134, 127)]"
78506,"[(23, 24, 23), (222, 223, 218)]","[(234, 235, 229), (23, 24, 23), (195, 198, 193), (224, 226, 222)]","[(208, 211, 205), (224, 226, 222), (216, 218, 214), (234, 235, 229), (23, 24, 23), (190, 193, 187), (65, 67, 64), (117, 118, 113)]"
79618,"[(196, 188, 181), (227, 226, 223)]","[(227, 226, 223), (221, 215, 209), (132, 122, 116), (210, 198, 191)]","[(227, 226, 223), (221, 215, 209), (210, 198, 191), (64, 62, 58), (93, 91, 86), (132, 106, 99), (151, 143, 134), (199, 187, 179)]"
78512,"[(70, 64, 57), (187, 170, 159)]","[(202, 192, 186), (171, 147, 132), (43, 43, 39), (97, 86, 75)]","[(33, 36, 34), (150, 94, 61), (202, 192, 186), (189, 177, 171), (157, 139, 124), (52, 50, 44), (89, 74, 60), (105, 98, 91)]"
79181,"[(98, 98, 99), (165, 157, 146)]","[(180, 177, 167), (98, 98, 99), (154, 125, 84), (147, 150, 166)]","[(147, 150, 166), (184, 183, 179), (101, 99, 73), (176, 172, 154), (113, 118, 135), (64, 57, 52), (147, 107, 69), (161, 142, 99)]"
80530,"[(88, 91, 132), (229, 220, 185)]","[(229, 220, 185), (23, 32, 102), (98, 102, 148), (208, 200, 173)]","[(143, 145, 176), (229, 220, 185), (208, 200, 173), (79, 90, 170), (55, 62, 123), (114, 113, 124), (21, 29, 86), (24, 34, 119)]"
