ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
206000,504f4e,5e5d5d,626160,59585a,4a4949,565454,585757,5a5858,5c5a5a,565454,626160,4a4949,464d6a,575657
80281,747671,d6dada,d6dada,4f524f,87877e,acafa6,d6dada,acafa6,606460,8e928b,848478,7c736b,353838,494944
79624,786864,bbb5a0,655554,8b7a75,b2aa96,c4bfaa,c4bfaa,b9b39d,92837e,6e5b5a,83716c,aca28f,594a47,5f5555
79630,3d4449,ae7f5d,9e473a,beb67f,373229,445768,373229,9c382b,424f48,a05749,465f89,bdab53,99a6ad,e6ddaa
79156,b2b5b6,dce2e7,c7ccd0,dce2e7,898a83,afb3b5,b7bcbf,d5dae0,94958e,e4e9ee,c7ccd0,a8abaa,797a72,85867f
78506,171817,dedfda,eaebe5,171817,c3c6c1,e0e2de,d0d3cd,e0e2de,d8dad6,eaebe5,171817,bec1bb,414340,757671
79618,c4bcb5,e3e2df,e3e2df,ddd7d1,847a74,d2c6bf,e3e2df,ddd7d1,d2c6bf,403e3a,5d5b56,846a63,978f86,c7bbb3
78512,464039,bbaa9f,cac0ba,ab9384,2b2b27,61564b,212422,965e3d,cac0ba,bdb1ab,9d8b7c,34322c,594a3c,69625b
79181,626263,a59d92,b4b1a7,626263,9a7d54,9396a6,9396a6,b8b7b3,656349,b0ac9a,717687,403934,936b45,a18e63
80530,585b84,e5dcb9,e5dcb9,172066,626694,d0c8ad,8f91b0,e5dcb9,d0c8ad,4f5aaa,373e7b,72717c,151d56,182277
80256,54443b,988a70,988a70,735d45,342721,363040,928163,674b32,7e6f58,9f937d,4e4139,1d2047,231e1e,443124
136184,818685,cbbe99,cbbe99,b0ab97,314765,737b82,5a6879,82888b,6f7982,cbbe99,6e706d,b0ab97,273f60,3b506a
420263,6e4d55,7b80ac,575a91,9fa7c6,453e5d,975d4d,485894,8493bc,675b8e,9a473e,453e5d,bbbbd1,776959,b17c5e
79803,9a948d,dcd8ce,cccdc6,dcd8ce,2e2b2f,a18a7b,e0ddd6,cccdc6,2e2b2f,9d8066,6f554c,bcaa9d,dbcfbe,d7d5cf
100344,231d1a,42332d,231d1a,302723,42332d,664b43,654c44,715248,5c4038,42332d,231d1a,302723,775b52,918078
78738,27342c,57523a,27342c,3c3726,715a2e,71826f,c9c6af,375c4d,27342c,6f735c,3c3726,aaa58c,5c5232,876229
80083,b8b5b1,d4d3d0,d4d3d0,c7c3bf,9d9893,b5b4b4,aca9a7,b5b4b4,9a9a9a,d4d3d0,837f7a,c7c3bf,ae9686,aaa59f
79340,54442d,876c43,54442d,765c3a,907445,9e8552,a98d54,a5884f,907445,947d50,54442d,765c3a,ac9058,b29a64
79354,36383d,71636c,654e5b,36383d,657177,938085,8b6f76,303133,3d3e46,657177,59444e,725767,92848a,a59f9e
98800,794f44,caa680,a66047,4c3f41,c6965b,cdb5a4,b4895b,412c2c,d9a35b,a66047,585157,b4a49d,e4bb88,ead1cc
78923,1b1b18,332f29,252321,1b1b18,332c27,4e4939,252321,1b1b18,3f3d32,332c27,534a39,5f5a47,73673d,746b59
79383,363c4b,62646a,5b5c5e,363c4b,555d72,7c7b79,727171,555d72,3d4660,53565c,636160,858480,25282d,3a3c3e
80040,374244,6b5a4e,6d4a3b,374244,5a6560,777160,292d2e,45575a,98744b,686d64,5a6560,6d4a3b,776a50,747e8b
105764,382f20,74684a,382f20,5c4f35,7e704c,9a9173,92896d,a29979,7e704c,4a402d,382f20,6e6243,645234,73633b
78937,c8c2ad,e8e2d3,ded4bb,e8e2d3,8f9689,d4cab3,ded4bb,f8f9f6,e1d6bf,d4cab3,73826e,aaaaa5,e1d9c3,eeeee9
98633,928345,959dc1,c49251,617439,7890cd,b1aab5,7b9d46,727437,c49251,1c2222,a390a6,7890cd,bdbaa1,c3cfe6
