ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
joan-mitchell_untitled-1958.jpg,6e6a55,dad0ba,e2dbc9,d1c5ab,4c4435,909074,d7cfb9,e2dbc9,b4ad94,889688,cbbc9c,4c4435,697758,9e875e
salvador-dali_self-portrait-photomontage-with-the-famous-mao-marilyn-that-philippe-halsman-created-at-dali-s.jpg,61807f,bc8c62,c75f16,b1b9ad,49554c,79abb3,adccce,be3613,d08919,79abb3,b5a68c,382c1b,5b7364,598894
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
brice-marden_han-shan-exit-1992.jpg,a1a19e,f0f0ee,f0f0ee,e8e8e4,1f1f1e,979692,f0f0ee,cfd0ca,e8e8e4,aeaeaa,585854,848480,171616,282826
atsuko-tanaka_93e-1993.jpg,553e3a,8490a4,203035,8b4b40,3c6287,cbbfc1,755849,203035,a98b93,3c6287,eef2ef,d27948,4f2934,94333a
atsuko-tanaka_untitled-1963.jpg,2a534d,c68c6c,2a534d,b75430,b79d79,f1ebd6,aa392b,2e3123,a57f64,c9bb8e,c57036,267577,f0e5c7,f2f1e4
lee-krasner_untitled-1964.jpg,6b5b4d,cfbaa8,50483e,cfbaa8,725e50,997e68,857765,50483e,d4ab97,ad9c8c,ae856b,ddcfc0,68594c,7d6254
paul-reed_16j-1963.jpg,a31510,d0ba9b,d4c3a3,a31510,c8a589,cfbc9e,cfbc9e,cdb899,d4c3a3,cab496,c6977c,b54b39,870d10,bf1e0f
arshile-gorky_how-my-mother-s-embroidered-apron-unfolds-in-my-life.jpg,887a66,d1cec7,d1cec7,5f5951,988476,c7b07e,e2e0d8,634d45,bfbcb7,c7b07e,706e66,3b3b34,997c66,988c86
jane-frank_april-screen-1968.jpg,73525c,c4aeb3,ece5e8,9c767e,694d56,7d5761,f7fafb,846c72,694d56,efe9ea,d3b8bf,7d5761,a37882,c48a91
aki-kuroda_untitled-2012-1.jpg,5f809a,aed2f0,8abbe4,aed2f0,060706,62829b,060706,8abbe4,0f0f0f,85b2d8,83add0,aed2f0,414c55,80a1bb
