ObjectID,cut_2,cut_4,cut_8
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
nicholas-roerich_maleine-s-room-1913.jpg,"[(117, 118, 123), (185, 188, 192)]","[(165, 167, 171), (205, 208, 212), (101, 102, 107), (134, 135, 140)]","[(110, 111, 116), (191, 194, 199), (173, 175, 180), (92, 92, 97), (157, 159, 163), (219, 222, 226), (126, 127, 131), (141, 142, 148)]"
henri-de-toulouse-lautrec_miss-may-belfort-welcoming-1895.jpg,"[(205, 184, 140), (221, 199, 154)]","[(215, 193, 149), (221, 199, 154), (181, 163, 120), (209, 188, 143)]","[(215, 193, 149), (209, 188, 143), (221, 199, 154), (202, 181, 136), (191, 171, 128), (168, 151, 109), (75, 68, 36), (117, 106, 70)]"
raphael-kirchner_single-items-6.jpg,"[(185, 139, 100), (230, 197, 161)]","[(209, 167, 126), (230, 197, 161), (124, 80, 60), (200, 141, 89)]","[(234, 216, 198), (147, 95, 67), (200, 141, 89), (226, 177, 125), (101, 65, 52), (218, 174, 128), (189, 153, 125), (211, 167, 123)]"
nicholas-roerich_sketch-of-costumes-for-snow-maiden-3.jpg,"[(90, 90, 96), (182, 178, 192)]","[(49, 50, 52), (182, 178, 192), (110, 110, 118), (150, 149, 161)]","[(41, 42, 44), (189, 185, 200), (174, 172, 185), (96, 96, 102), (58, 58, 60), (124, 123, 133), (143, 143, 155), (157, 154, 166)]"
pablo-picasso_the-cries-of-virgins-1900.jpg,"[(95, 96, 95), (225, 227, 221)]","[(225, 227, 221), (55, 57, 59), (112, 113, 111), (157, 157, 151)]","[(235, 238, 234), (146, 146, 140), (37, 39, 42), (73, 75, 76), (169, 169, 163), (214, 215, 208), (101, 103, 101), (122, 123, 121)]"
nicholas-roerich_crown-of-the-world-1921.jpg,"[(78, 97, 97), (210, 180, 119)]","[(212, 167, 90), (207, 192, 148), (64, 77, 75), (92, 117, 119)]","[(187, 174, 143), (44, 61, 67), (115, 139, 128), (212, 167, 90), (85, 93, 83), (228, 210, 153), (44, 88, 110), (95, 103, 109)]"
ivan-bilibin_magazine-russian-opera-in-paris-1930.jpg,"[(141, 117, 71), (214, 180, 111)]","[(217, 194, 133), (211, 166, 90), (112, 90, 53), (170, 145, 88)]","[(217, 184, 95), (176, 155, 103), (165, 135, 74), (146, 106, 61), (78, 73, 46), (206, 149, 85), (210, 183, 119), (223, 205, 146)]"
raphael-kirchner_girls-faces-with-red-border-3.jpg,"[(183, 63, 67), (207, 183, 145)]","[(186, 162, 120), (228, 204, 171), (155, 84, 74), (212, 42, 60)]","[(214, 187, 145), (157, 138, 94), (236, 213, 174), (212, 42, 60), (147, 100, 87), (162, 68, 62), (210, 190, 169), (229, 202, 166)]"
heorhiy-narbut_playing-cards-1917-1.jpg,"[(138, 111, 96), (248, 251, 248)]","[(248, 251, 248), (185, 172, 161), (77, 40, 23), (103, 58, 38)]","[(227, 222, 213), (248, 251, 248), (94, 51, 32), (77, 40, 23), (113, 65, 45), (154, 136, 125), (199, 186, 169), (211, 203, 191)]"
