ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
nicholas-roerich_maleine-s-room-1913.jpg,75767b,b9bcc0,a5a7ab,cdd0d4,65666b,86878c,6e6f74,bfc2c7,adafb4,5c5c61,9d9fa3,dbdee2,7e7f83,8d8e94
henri-de-toulouse-lautrec_miss-may-belfort-welcoming-1895.jpg,cdb88c,ddc79a,d7c195,ddc79a,b5a378,d1bc8f,d7c195,d1bc8f,ddc79a,cab588,bfab80,a8976d,4b4424,756a46
raphael-kirchner_single-items-6.jpg,b98b64,e6c5a1,d1a77e,e6c5a1,7c503c,c88d59,ead8c6,935f43,c88d59,e2b17d,654134,daae80,bd997d,d3a77b
nicholas-roerich_sketch-of-costumes-for-snow-maiden-3.jpg,5a5a60,b6b2c0,313234,b6b2c0,6e6e76,9695a1,292a2c,bdb9c8,aeacb9,606066,3a3a3c,7c7b85,8f8f9b,9d9aa6
pablo-picasso_the-cries-of-virgins-1900.jpg,5f605f,e1e3dd,e1e3dd,37393b,70716f,9d9d97,ebeeea,92928c,25272a,494b4c,a9a9a3,d6d7d0,656765,7a7b79
nicholas-roerich_crown-of-the-world-1921.jpg,4e6161,d2b477,d4a75a,cfc094,404d4b,5c7577,bbae8f,2c3d43,738b80,d4a75a,555d53,e4d299,2c586e,5f676d
ivan-bilibin_magazine-russian-opera-in-paris-1930.jpg,8d7547,d6b46f,d9c285,d3a65a,705a35,aa9158,d9b85f,b09b67,a5874a,926a3d,4e492e,ce9555,d2b777,dfcd92
raphael-kirchner_girls-faces-with-red-border-3.jpg,b73f43,cfb791,baa278,e4ccab,9b544a,d42a3c,d6bb91,9d8a5e,ecd5ae,d42a3c,936457,a2443e,d2bea9,e5caa6
heorhiy-narbut_playing-cards-1917-1.jpg,8a6f60,f8fbf8,f8fbf8,b9aca1,4d2817,673a26,e3ded5,f8fbf8,5e3320,4d2817,71412d,9a887d,c7baa9,d3cbbf
raphael-kirchner_the-embrace.jpg,312d26,d4c9b5,eef2eb,312d26,b48962,bdb89d,eef2eb,b49b7b,bdb89d,120f0b,b57648,3c3124,494d4e,7d8070
ferdinand-hodler_self-portrait-1912-1.jpg,6f5948,d3c4ac,947559,4a3c37,ccb694,dbd3c4,dbd3c4,d4c8b3,342d2d,604c40,936948,95816a,c1915b,c8b592
boris-kustodiev_on-the-volga-1910.jpg,868861,dadcbb,a8af7d,656044,d3d1a4,e0e6d3,e0e6d3,adbb9b,a2a35e,393b23,506252,86724e,d0c68c,d7dcbc
