ObjectID,cut_2,cut_4,cut_8
frans-hals_portrait-of-a-woman-4.jpg,"[(49, 46, 44), (122, 95, 82)]","[(49, 46, 44), (86, 67, 63), (114, 82, 73), (202, 164, 129)]","[(96, 78, 73), (49, 46, 44), (195, 139, 104), (147, 113, 93), (86, 67, 63), (131, 87, 74), (228, 184, 134), (237, 219, 185)]"
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
joseph-wright_three-persons-viewing-the-gladiator-by-candlelight.jpg,"[(23, 29, 29), (64, 56, 45)]","[(23, 29, 29), (29, 34, 34), (42, 44, 41), (157, 113, 71)]","[(23, 29, 29), (29, 34, 34), (42, 44, 41), (208, 146, 84), (225, 195, 157), (153, 113, 69), (93, 71, 48), (165, 96, 48)]"
peter-paul-rubens_virgin-and-child.jpg,"[(57, 44, 31), (195, 146, 99)]","[(180, 108, 62), (209, 183, 135), (28, 25, 18), (85, 63, 45)]","[(203, 169, 110), (216, 197, 161), (106, 70, 42), (59, 40, 29), (116, 101, 80), (180, 108, 62), (21, 20, 15), (35, 29, 21)]"
rembrandt_deposition-from-the-cross-1634.jpg,"[(55, 44, 43), (153, 135, 108)]","[(55, 44, 43), (106, 88, 72), (160, 139, 109), (239, 224, 179)]","[(96, 81, 68), (126, 110, 89), (239, 224, 179), (174, 143, 108), (55, 44, 43), (214, 192, 150), (109, 92, 77), (124, 97, 76)]"
anthony-van-dyck_cupid-and-psyche-1640.jpg,"[(44, 38, 34), (140, 112, 94)]","[(44, 38, 34), (95, 73, 62), (166, 128, 106), (204, 173, 146)]","[(44, 38, 34), (79, 58, 49), (197, 162, 133), (157, 115, 93), (176, 141, 119), (112, 87, 75), (200, 175, 154), (223, 193, 164)]"
gabriel-metsu_woman-taken-in-adultery.jpg,"[(37, 31, 25), (83, 78, 71)]","[(19, 20, 18), (55, 41, 32), (60, 61, 56), (107, 95, 86)]","[(36, 35, 30), (51, 43, 35), (19, 20, 18), (60, 61, 56), (92, 76, 63), (121, 114, 108), (70, 47, 34), (126, 56, 35)]"
jusepe-de-ribera_landscape-with-shepherds-1639.jpg,"[(83, 72, 61), (186, 185, 206)]","[(41, 36, 28), (125, 109, 94), (154, 157, 191), (217, 214, 220)]","[(101, 79, 50), (19, 18, 12), (100, 100, 121), (217, 214, 220), (154, 157, 191), (64, 55, 44), (140, 112, 80), (160, 143, 124)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
rembrandt_the-woman-with-the-arrow-1661.jpg,"[(70, 69, 45), (193, 184, 144)]","[(159, 152, 114), (226, 217, 173), (45, 45, 27), (96, 93, 63)]","[(243, 235, 191), (81, 79, 51), (176, 167, 127), (143, 137, 101), (110, 107, 75), (210, 199, 156), (34, 34, 20), (56, 56, 34)]"
peter-paul-rubens_portrait-of-george-vilie.jpg,"[(206, 189, 168), (231, 216, 197)]","[(231, 216, 197), (220, 204, 183), (180, 160, 138), (205, 188, 167)]","[(177, 159, 139), (167, 146, 125), (231, 216, 197), (192, 171, 149), (205, 188, 167), (220, 204, 183), (136, 117, 98), (154, 137, 118)]"
jan-steen_drinker.jpg,"[(55, 38, 19), (114, 66, 30)]","[(88, 50, 23), (55, 38, 19), (127, 67, 28), (155, 99, 46)]","[(162, 111, 53), (88, 50, 23), (55, 38, 19), (140, 90, 40), (165, 97, 44), (194, 125, 65), (114, 64, 28), (140, 70, 28)]"
rembrandt_the-apostle-paul-1659.jpg,"[(36, 34, 29), (60, 51, 40)]","[(36, 34, 29), (48, 39, 32), (59, 48, 37), (86, 75, 60)]","[(54, 50, 44), (36, 34, 29), (48, 39, 32), (80, 67, 49), (127, 103, 70), (59, 48, 37), (169, 143, 107), (207, 190, 166)]"
francisco-de-zurbaran_st-francis-1660.jpg,"[(44, 41, 43), (142, 115, 96)]","[(44, 41, 43), (110, 88, 80), (156, 124, 101), (194, 162, 123)]","[(196, 166, 125), (184, 148, 112), (44, 41, 43), (89, 78, 77), (131, 97, 83), (211, 185, 142), (157, 118, 93), (154, 131, 110)]"
