ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
frans-hals_portrait-of-a-woman-4.jpg,312e2c,7a5f52,312e2c,56433f,725249,caa481,604e49,312e2c,c38b68,93715d,56433f,83574a,e4b886,eddbb9
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
joseph-wright_three-persons-viewing-the-gladiator-by-candlelight.jpg,171d1d,40382d,171d1d,1d2222,2a2c29,9d7147,171d1d,1d2222,2a2c29,d09254,e1c39d,997145,5d4730,a56030
peter-paul-rubens_virgin-and-child.jpg,392c1f,c39263,b46c3e,d1b787,1c1912,553f2d,cba96e,d8c5a1,6a462a,3b281d,746550,b46c3e,15140f,231d15
rembrandt_deposition-from-the-cross-1634.jpg,372c2b,99876c,372c2b,6a5848,a08b6d,efe0b3,605144,7e6e59,efe0b3,ae8f6c,372c2b,d6c096,6d5c4d,7c614c
anthony-van-dyck_cupid-and-psyche-1640.jpg,2c2622,8c705e,2c2622,5f493e,a6806a,ccad92,2c2622,4f3a31,c5a285,9d735d,b08d77,70574b,c8af9a,dfc1a4
gabriel-metsu_woman-taken-in-adultery.jpg,251f19,534e47,131412,372920,3c3d38,6b5f56,24231e,332b23,131412,3c3d38,5c4c3f,79726c,462f22,7e3823
jusepe-de-ribera_landscape-with-shepherds-1639.jpg,53483d,bab9ce,29241c,7d6d5e,9a9dbf,d9d6dc,654f32,13120c,646479,d9d6dc,9a9dbf,40372c,8c7050,a08f7c
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
rembrandt_the-woman-with-the-arrow-1661.jpg,46452d,c1b890,9f9872,e2d9ad,2d2d1b,605d3f,f3ebbf,514f33,b0a77f,8f8965,6e6b4b,d2c79c,222214,383822
peter-paul-rubens_portrait-of-george-vilie.jpg,cebda8,e7d8c5,e7d8c5,dcccb7,b4a08a,cdbca7,b19f8b,a7927d,e7d8c5,c0ab95,cdbca7,dcccb7,887562,9a8976
jan-steen_drinker.jpg,372613,72421e,583217,372613,7f431c,9b632e,a26f35,583217,372613,8c5a28,a5612c,c27d41,72401c,8c461c
rembrandt_the-apostle-paul-1659.jpg,24221d,3c3328,24221d,302720,3b3025,564b3c,36322c,24221d,302720,504331,7f6746,3b3025,a98f6b,cfbea6
francisco-de-zurbaran_st-francis-1660.jpg,2c292b,8e7360,2c292b,6e5850,9c7c65,c2a27b,c4a67d,b89470,2c292b,594e4d,836153,d3b98e,9d765d,9a836e
rembrandt_the-apostle-bartholomew-1661.jpg,2e2a1f,735c2e,2e2a1f,534021,7d6127,a98f51,2e2a1f,534021,86733c,b7924b,d5b16b,ecd296,6e5927,8b6927
rembrandt_portrait-of-a-man-1667.jpg,4f4935,8d7355,4f4935,6d5c45,8f6d52,caa679,5b5443,91725a,c38f5f,4f4935,7f6448,8f6d52,e4b678,f2e0b4
frans-snyders_fish-market-1.jpg,32261a,826645,32261a,6d4c2e,886f47,a49472,7a6a47,b2956b,967448,bbaf92,928565,32261a,61472c,795131
adriaen-brouwer_father-s-of-unpleasant-duties-1631.jpg,364551,7d6f63,6a5b4f,908377,313c43,3a4e5f,9b8468,313c43,6b6665,6a5b4f,97938b,3a4e5f,c19777,ded3b5
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
pieter-de-hooch_courtyard-of-a-house-in-delft-1658.jpg,6d4d41,ab998f,4a3632,906451,96857f,c1ac9f,c7bdb9,9b8a81,4a3632,ba9b85,a0979e,8f7a6f,765d4e,ab6b54
david-teniers-the-younger_landscape.jpg,403324,85724a,6b5837,403324,8c7a4f,b49c69,3c2e21,2a211a,ae9662,4c3f2a,b9a370,6b5837,8a7546,8f8058
guido-reni_david-with-the-head-of-goliath.jpg,1c190e,473f29,1c190e,2a2516,423821,867856,605234,bfab7e,968157,423821,1c190e,63624f,272010,2d2a1b
diego-velazquez_portrait-of-don-diego-de-corral-y-arellano-1632.jpg,221312,442b24,221312,2a1b1a,4d2725,6e4d38,221312,2a1b1a,5b3e2a,85563a,4d2725,b0977b,5a4030,794331
guido-reni_john-the-baptist.jpg,686760,f5f9fa,f5f9fa,4a4943,6e6d65,9e9e95,87867c,585751,6e6d65,c6c6c0,3b3b35,a3a39c,f3f7f8,f7fbfc
anthony-van-dyck_portrait-of-a-lady-dressed-in-black-before-a-red-curtain.jpg,171408,46321a,171408,341f0a,362713,796340,171408,362713,ab9c89,a88957,341f0a,806f4e,4e3a1e,6f5125
diego-velazquez_prince-balthasar-carlos.jpg,211c18,734e32,211c18,5f3925,715637,9d6e46,988b71,211c18,905530,5f3925,715637,d0ac7a,8f6e42,b47d40
eustache-le-sueur_cupid-ordering-mercury-to-announce-his-power-to-the-universe-1647.jpg,413c3a,8d817e,90949c,413c3a,8a5843,89827f,7e8896,a3a0a2,8d685b,87482c,89827f,5a5d5e,0e0f0d,41281e
rembrandt_landscape-with-a-castle.jpg,73615f,bba685,d6c092,9f8b79,655658,806b67,958375,f8e7a1,806b67,655658,e4c793,bfaa89,a18f7c,b1977e
gerard-terborch_woman-peeling-apple-1650.jpg,392a26,5f4a3c,392a26,4d3a30,554135,8e725a,392a26,4d3a30,b89c7a,d9c5a3,9b785b,6a503f,513f34,584236
rembrandt_man-drawing-from-a-cast-1641.jpg,7c7b6d,c7c8be,dfe1db,afaea1,6d6c5f,8b8a7c,757467,a3a396,d5d5cb,eaedea,bab9ac,8b8a7c,5e5e52,6a695c
rembrandt_nude-man-seated-on-the-ground-with-one-leg-extended-1646.jpg,aaa695,d8d6c7,d8d6c7,cbc7b3,6d6c5e,a29f8e,d0ccb9,aca998,7f7d6d,999584,d8d6c7,5b5b4f,c1bca8,ccc7b4
gian-lorenzo-bernini_saint-jerome-1663(1).jpg,070706,777876,070706,434341,838482,d3d6d5,373836,e5e9e9,4f4f4d,70706e,c1c3c2,070706,8c8c8a,a2a3a2
frans-hals_portrait-of-jasper-schade-van-westrum-1645.jpg,2a1f1f,554137,402e2b,2a1f1f,4f3a32,876c56,402e2b,2a1f1f,4f3a32,ae9171,9c795a,b9a894,59433a,755543
jacob-jordaens_suffer-the-little-children-1655.jpg,191118,875f4a,191118,5f312d,9b6a4b,c5b083,472a2b,7c5c4c,191118,ba774b,76382e,e7cc8c,8b8374,bda57d
antoine-pesne_portrait-of-mary-susanne-dinglinger-born-gutermann.jpg,343233,52403b,343233,3d3333,493534,876752,343233,3d3333,5a3b35,493534,714b3b,98785b,b79470,bda889
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
peter-paul-rubens_truce-between-romans-and-sabinians.jpg,7e6941,b9b092,5a4f31,a28352,a3a085,cec09f,967447,6f6541,a3a085,d2cdb6,cab388,ae925c,35301c,584325
adriaen-van-ostade_smoker.jpg,2b211a,75673f,72613a,2b211a,726a46,7e6f43,776e49,726a46,110b11,72613a,443624,806c3c,7b6f47,8a7d51
peter-paul-rubens_st-ildefonso-receiving-a-priest-cloak.jpg,413927,a38353,2a2c22,58462d,7e6641,c99f64,2a2c22,41412c,cea967,ddc9a0,7e6641,bc8545,64402d,7c592f
