ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
mark-rothko_no-1-royal-red-and-blue-1954.jpg,79546a,c6452b,b84a4c,c6452b,285e92,4c5f7d,285e92,2e5e8d,b73741,c43619,ba5d57,c8553c,45617d,905f5d
theodoros-stamos_infinity-field-2-lefkada-series-1978.jpg,887960,b3af61,b5af68,b2ae5a,757253,9b816c,b4b45d,58584d,676151,8b8857,9b816c,b0a858,b6b762,b4a86e
gene-davis_apricot-ripple-1968.jpg,976f63,bcb993,bdb9c2,bbb865,94592a,99869c,b1a599,9c3b25,bdb9c2,968db3,8c762f,c5cb30,976f79,a18f92
gene-davis_cannonball-1969.jpg,a1815c,b6aa99,ab8965,977954,b09e89,bcb7a9,b0b4a0,b3a497,938564,b09e89,ab8965,9b6d44,bcc1b4,f7fbfb
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
leon-berkowitz_a-m-no-4-1978.jpg,6d8ea2,8296a6,6d8ea2,7e909f,7f98ad,8ba1af,899cab,7889a1,7f98ad,6d8ea2,7b899b,8da6b2,7f929f,869aa1
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
claude-viallat_untitled-116.jpg,682911,aea27b,cfcabd,682911,536e35,c8883b,442815,8b2a0d,c49e4e,cc7227,536e35,b3b2a3,e4d9c7,f1ecea
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
ronnie-landfield_jubilant-blue-1972.jpg,9e7899,f2efed,7d4464,c0acce,f1e9e0,f3f6fb,f3f6fb,f1f3f9,f1e7f0,dfe4e6,f1d69c,a075b6,3d296c,bc5f5b
