ObjectID,cut_2,cut_4,cut_8
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
eric-fischl_bayonne.jpg,"[(64, 72, 78), (224, 219, 204)]","[(246, 250, 251), (64, 72, 78), (181, 150, 95), (221, 226, 220)]","[(246, 250, 251), (49, 65, 85), (71, 90, 101), (221, 226, 220), (181, 150, 95), (129, 134, 123), (39, 44, 54), (67, 66, 61)]"
jamie-wyeth_switcher-1977.jpg,"[(83, 73, 69), (234, 228, 211)]","[(250, 249, 241), (218, 206, 181), (46, 49, 59), (120, 96, 79)]","[(250, 249, 241), (236, 231, 213), (46, 49, 59), (215, 206, 182), (97, 73, 69), (143, 119, 88), (181, 142, 106), (192, 172, 126)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
jamie-wyeth_coke-1985.jpg,"[(95, 70, 58), (232, 209, 152)]","[(54, 41, 41), (232, 209, 152), (81, 59, 58), (191, 139, 92)]","[(54, 41, 41), (163, 114, 87), (234, 199, 133), (204, 169, 125), (220, 164, 97), (81, 59, 58), (245, 227, 149), (246, 241, 200)]"
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,"[(74, 76, 63), (162, 157, 146)]","[(132, 128, 116), (74, 76, 63), (177, 168, 154), (205, 204, 198)]","[(184, 179, 167), (53, 59, 54), (78, 82, 68), (205, 204, 198), (170, 157, 140), (113, 103, 77), (116, 113, 103), (148, 143, 128)]"
joaquã­n-sorolla_street-in-granada.jpg,"[(149, 120, 97), (215, 189, 165)]","[(220, 212, 202), (210, 167, 128), (138, 96, 59), (160, 144, 136)]","[(220, 212, 202), (166, 149, 136), (190, 160, 135), (93, 109, 137), (175, 113, 65), (100, 79, 53), (208, 153, 107), (213, 181, 148)]"
john-miller_windsurfers-porth-kidney-beach-ii.jpg,"[(135, 159, 210), (219, 207, 195)]","[(219, 207, 195), (94, 136, 224), (153, 168, 205), (199, 195, 188)]","[(201, 187, 181), (198, 186, 183), (219, 207, 195), (115, 151, 227), (94, 136, 224), (199, 195, 188), (145, 174, 188), (187, 185, 184)]"
jamie-wyeth_corn-crib-1964.jpg,"[(131, 81, 58), (169, 124, 93)]","[(144, 97, 77), (194, 151, 109), (101, 64, 56), (162, 97, 60)]","[(164, 106, 76), (124, 87, 77), (101, 64, 56), (162, 97, 60), (188, 133, 84), (195, 153, 108), (188, 160, 136), (224, 207, 183)]"
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,"[(103, 96, 64), (179, 172, 149)]","[(75, 77, 57), (131, 115, 70), (147, 139, 109), (212, 205, 190)]","[(221, 219, 212), (126, 125, 74), (163, 137, 72), (117, 99, 68), (75, 77, 57), (147, 139, 109), (198, 179, 137), (207, 204, 198)]"
mostafa-dashti_untitled-1993.jpg,"[(133, 129, 131), (167, 183, 212)]","[(159, 145, 144), (167, 183, 212), (98, 86, 81), (115, 138, 154)]","[(116, 101, 94), (149, 133, 128), (132, 161, 198), (170, 158, 161), (115, 138, 154), (81, 72, 68), (178, 188, 215), (229, 222, 235)]"
neil-welliver_stump.jpg,"[(49, 72, 34), (109, 130, 93)]","[(49, 72, 34), (93, 109, 49), (99, 130, 118), (150, 173, 154)]","[(83, 118, 44), (87, 90, 47), (138, 157, 124), (161, 189, 185), (99, 130, 118), (116, 135, 57), (41, 54, 27), (56, 90, 41)]"
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,"[(81, 78, 46), (174, 165, 133)]","[(144, 132, 95), (81, 78, 46), (192, 180, 138), (217, 216, 206)]","[(102, 105, 54), (57, 57, 39), (217, 216, 206), (86, 79, 50), (146, 137, 56), (192, 180, 138), (128, 111, 82), (161, 152, 107)]"
joaquã­n-sorolla_children-in-the-sea-1909.jpg,"[(97, 103, 116), (123, 128, 148)]","[(106, 115, 141), (139, 140, 156), (84, 96, 114), (110, 110, 118)]","[(89, 102, 124), (127, 128, 150), (106, 115, 141), (137, 140, 158), (80, 90, 105), (110, 110, 118), (159, 157, 155), (171, 174, 179)]"
john-miller_shoreline.jpg,"[(108, 137, 168), (198, 195, 183)]","[(198, 195, 183), (93, 126, 165), (98, 128, 169), (149, 168, 172)]","[(198, 195, 183), (130, 157, 161), (166, 174, 166), (183, 193, 188), (116, 150, 172), (98, 128, 169), (91, 126, 162), (95, 126, 168)]"
joaquã­n-sorolla_the-relic-1893.jpg,"[(112, 66, 50), (192, 124, 82)]","[(177, 103, 67), (112, 66, 50), (206, 136, 80), (210, 156, 111)]","[(207, 152, 115), (206, 136, 80), (144, 81, 59), (205, 144, 98), (177, 103, 67), (222, 181, 135), (58, 41, 36), (103, 59, 48)]"
lucian-freud_a-filly-1970.jpg,"[(113, 84, 46), (225, 171, 80)]","[(211, 145, 55), (239, 198, 106), (76, 58, 34), (149, 109, 57)]","[(221, 166, 71), (201, 123, 39), (150, 96, 34), (239, 195, 97), (147, 121, 81), (239, 201, 114), (53, 40, 23), (99, 77, 44)]"
eric-fischl_the-start-of-a-fairy-tale.jpg,"[(61, 57, 37), (160, 158, 134)]","[(92, 88, 57), (61, 57, 37), (211, 207, 171), (247, 251, 252)]","[(247, 251, 252), (43, 43, 36), (59, 56, 39), (241, 245, 244), (96, 84, 39), (92, 88, 57), (170, 148, 70), (193, 190, 124)]"
lucian-freud_kingcups-souvenir-of-glen-artney.jpg,"[(140, 111, 68), (190, 161, 123)]","[(103, 83, 59), (177, 139, 76), (175, 145, 110), (205, 178, 135)]","[(119, 96, 68), (202, 169, 112), (158, 123, 81), (175, 145, 110), (196, 155, 71), (207, 186, 158), (77, 62, 47), (98, 76, 54)]"
antã³nio-de-carvalho-da-silva-porto_recanto-de-praia.jpg,"[(85, 87, 70), (172, 161, 134)]","[(137, 124, 94), (206, 199, 175), (75, 75, 54), (95, 100, 86)]","[(230, 227, 208), (221, 206, 174), (127, 109, 77), (95, 100, 86), (187, 181, 158), (75, 75, 54), (129, 129, 108), (167, 149, 115)]"
joaquã­n-sorolla_almond-trees-in-asis.jpg,"[(73, 59, 44), (183, 161, 140)]","[(195, 188, 176), (172, 135, 104), (45, 37, 26), (101, 80, 61)]","[(104, 81, 60), (92, 68, 47), (156, 116, 84), (187, 153, 124), (195, 188, 176), (118, 104, 90), (24, 25, 20), (66, 48, 33)]"
ferdinand-georg-waldmã¼ller_the-ruin-of-the-greek-theater-in-taormina-sicily-1844.jpg,"[(130, 119, 111), (195, 171, 127)]","[(162, 166, 177), (99, 72, 45), (200, 154, 73), (190, 188, 181)]","[(166, 178, 200), (207, 168, 84), (60, 44, 34), (190, 188, 181), (137, 100, 56), (192, 139, 63), (145, 143, 147), (170, 164, 162)]"
joaquã­n-sorolla_mending-the-sail-1904.jpg,"[(143, 108, 60), (166, 164, 162)]","[(124, 121, 128), (208, 207, 196), (119, 90, 53), (166, 127, 66)]","[(147, 108, 56), (223, 227, 226), (166, 127, 66), (91, 73, 51), (194, 186, 166), (112, 104, 102), (117, 121, 145), (156, 157, 162)]"
joaquã­n-sorolla_beach-of-biarritz-france.jpg,"[(155, 139, 124), (212, 167, 109)]","[(212, 188, 155), (212, 146, 63), (147, 114, 85), (163, 164, 164)]","[(163, 164, 164), (144, 134, 123), (212, 188, 155), (44, 53, 38), (212, 146, 63), (135, 85, 57), (176, 98, 46), (178, 153, 122)]"
janet-fish_blue-decanter-polka-dot-bowl-suzani-2009.jpg,"[(75, 74, 62), (159, 121, 87)]","[(75, 74, 62), (162, 134, 121), (144, 77, 48), (167, 138, 57)]","[(144, 77, 48), (148, 91, 118), (77, 67, 75), (167, 138, 57), (69, 54, 44), (86, 121, 88), (175, 171, 103), (175, 185, 146)]"
joaquã­n-sorolla_girl-with-flowers.jpg,"[(107, 86, 80), (202, 155, 109)]","[(134, 111, 102), (80, 62, 57), (203, 143, 84), (201, 168, 134)]","[(150, 122, 108), (201, 168, 134), (51, 42, 44), (109, 81, 71), (214, 156, 82), (119, 100, 96), (197, 126, 65), (184, 133, 104)]"
andrã©-lhote_la-plage-1957.jpg,"[(156, 138, 95), (165, 164, 153)]","[(181, 149, 95), (131, 127, 96), (147, 155, 150), (183, 173, 157)]","[(102, 95, 84), (112, 137, 112), (154, 151, 106), (155, 124, 81), (147, 155, 150), (181, 149, 95), (184, 166, 146), (183, 180, 168)]"
lucian-freud_two-plants-1980.jpg,"[(68, 75, 44), (130, 130, 83)]","[(117, 116, 61), (68, 75, 44), (124, 130, 92), (162, 160, 116)]","[(155, 161, 128), (155, 149, 97), (54, 58, 36), (124, 130, 92), (83, 91, 52), (184, 183, 143), (108, 104, 59), (126, 127, 63)]"
georges-lacombeâ _the-green-wave-vorhor.jpg,"[(46, 38, 28), (158, 146, 118)]","[(46, 38, 28), (160, 128, 76), (135, 154, 162), (178, 172, 157)]","[(33, 29, 21), (194, 153, 79), (135, 154, 162), (169, 154, 139), (59, 47, 35), (125, 103, 73), (205, 190, 152), (168, 191, 197)]"
john-miller_horizon.jpg,"[(109, 127, 119), (87, 141, 160)]","[(87, 141, 160), (89, 136, 137), (139, 100, 95), (119, 136, 106)]","[(124, 137, 94), (87, 141, 160), (144, 125, 81), (89, 136, 137), (105, 141, 125), (150, 101, 88), (136, 92, 95), (119, 106, 109)]"
