ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
eric-fischl_bayonne.jpg,40484e,e0dbcc,f6fafb,40484e,b5965f,dde2dc,f6fafb,314155,475a65,dde2dc,b5965f,81867b,272c36,43423d
jamie-wyeth_switcher-1977.jpg,534945,eae4d3,faf9f1,daceb5,2e313b,78604f,faf9f1,ece7d5,2e313b,d7ceb6,614945,8f7758,b58e6a,c0ac7e
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
jamie-wyeth_coke-1985.jpg,5f463a,e8d198,362929,e8d198,513b3a,bf8b5c,362929,a37257,eac785,cca97d,dca461,513b3a,f5e395,f6f1c8
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
john-miller_windsurfers-porth-kidney-beach-ii.jpg,879fd2,dbcfc3,dbcfc3,5e88e0,99a8cd,c7c3bc,c9bbb5,c6bab7,dbcfc3,7397e3,5e88e0,c7c3bc,91aebc,bbb9b8
jamie-wyeth_corn-crib-1964.jpg,83513a,a97c5d,90614d,c2976d,654038,a2613c,a46a4c,7c574d,654038,a2613c,bc8554,c3996c,bca088,e0cfb7
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
