ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
francis-picabia_new-york-as-seen-from-across-the-body.jpg,7d482b,eaa049,e66d22,eed370,542419,a56c3d,221b1a,836b4b,ad501f,e66d22,b7a56a,862e18,eec058,efe588
pablo-picasso_untitled-1920-1.jpg,865235,ecdbb2,4c241e,ecdbb2,9e4e3a,e3b15e,f6f6e4,f3e9b8,e3b15e,9e4e3a,ebd4a4,4c241e,cbaf98,edc274
pablo-picasso_two-women-on-the-beach-1956.jpg,b96e37,e4ceb1,da9251,e4ceb1,803815,b25c25,ad4c13,e8dcc7,dfc09b,b66b38,943f15,da9251,562b15,813513
m.-h.-maxy_three-musicians-1926.jpg,52503b,957965,52503b,8c674b,90766f,ada08f,7b7351,a97d4f,875546,52503b,90766f,b6ada7,8b8e77,bc9776
fernand-leger_diver-on-a-yellow-background.jpg,201c21,cb8452,201c21,b24926,e0aa48,e7d4b4,eba015,e7d4b4,d5b57b,8e231e,201c21,7e6248,de1f18,df811a
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
olexandr-archipenko_vase-figure.jpg,1f2618,878b81,586358,1f2618,a49e8c,cac6c5,b5b9bb,dab590,586358,a29e8e,ded3d0,89938a,16210f,272b20
francis-picabia_ballerina-on-an-ocean-liner-1913.jpg,695552,cfcfcb,382f30,cfcfcb,9a6258,999490,e2e3e1,9d7a71,999490,974a40,bcbbb6,574846,111115,211c1e
paul-cezanne_bibemus-quarry.jpg,76571d,a89d6e,3c3918,b17522,798b6b,d7b070,cedee6,db993a,3c3918,d5b068,b17522,6a733f,788f74,97b7bb
gosta-adrian-nilsson_scissor-plant-1952.jpg,b2a897,eae3d4,e0dac8,eae3d4,433f39,c3ac94,eae9e4,e9e6df,e0dac8,1f1b18,67635b,ecd2a8,be9c81,c9bda7
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
amadeo-de-souza-cardoso_windmill-1910.jpg,222925,5d685a,40483b,222925,556b64,9da48f,1b201b,5b6546,95a4a4,28322f,4f7182,40483b,93916d,b5b689
ossip-zadkine_the-messengers-of-the-day.jpg,3f4d6e,c3bfa7,4c6bb1,322f2a,b6a472,d1d9dc,1c1d1b,a39e8c,d1d9dc,a25b3d,49413a,c9cb80,364ca8,6389ba
natalia-goncharova_composition-1914.jpg,32334b,6d677c,32334b,735c59,4f598e,808daf,4f598e,46415c,6b79a2,32334b,95a0bd,615666,c48b4d,f6a13d
lyonel-feininger_oberweimar-1921.jpg,494230,a98657,30281b,615d44,a06a3b,b2a273,1d2018,b69a60,aeaa86,43301e,604d30,636d59,a35526,9c7f51
paul-cezanne_the-bend-in-the-road.jpg,868154,e1c4a2,e4d8d8,deb16b,645b23,a7a684,e4d8d8,e1c192,916221,a38b30,dca044,2e401e,8c956c,c3b89d
ben-nicholson_turkish-form-1967.jpg,b3ad9b,e4e3d9,bfb9a7,e4e3d9,9a9482,b4af9d,b4af9d,aca694,bfb9a7,837d6b,9b9583,e4e3d9,615a49,726c5a
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
marc-chagall_the-blue-house-1917.jpg,5b476d,c9b892,d0c5ba,c2ab6b,3b2e62,7b6177,b59f44,d2b245,d0c5ba,875d60,c1ad91,3b2e62,5c558a,837391
yiannis-moralis_nude-lying.jpg,2a2321,b8b1b6,0f0e0f,b8b1b6,231c1d,685248,0f0e0f,231c1d,beb8bb,dcdcdd,a397a0,4c3e3e,755849,92735b
ben-nicholson_3-forms-in-a-landscape-1967.jpg,e0ddd1,eaeae1,e5e1d6,eaeae1,d4d1c4,e2dfd3,e5e1d6,e0dcd0,e2dfd3,eaeae1,d9d6ca,c8c5b8,9c988b,b3b0a3
andre-masson_no-name-1(3).jpg,a7662f,b0926c,bb8849,a59b8e,8d412e,c28c30,656379,949f9c,c28c30,aa7048,cda04b,8d412e,cba56d,cec6b7
nzante-spee_unknown-title.jpg,2763ac,669ccb,235798,2c6fc0,538abf,7aaed6,2461bb,347ec4,60a7da,5390cc,93b5d2,5383b2,1b4b8f,2c63a0
raoul-dufy_trees-at-estaque-1908.jpg,3e4e3d,b09265,b2ab8b,ae793f,2c3425,4f6856,98602d,445b47,94937d,2c3425,5a7565,c49250,b8b897,e9cd9a
pablo-picasso_man-with-mandolin-1920-1.jpg,41160f,ba5436,b53418,41160f,c9673d,b37f69,b16964,c2925e,c9673d,b53418,a8977d,6a261a,030301,2d0907
gino-severini_still-life-centrifugal-expansion-of-colors-1916.jpg,826a38,8c9884,62776f,b6b899,574f37,ae8539,9b8864,b7b972,696e3e,442f2f,62776f,c2d1c6,996c39,c39e38
georges-braque_a-landscape-drawn-into-squares.jpg,141819,5f594d,141819,3a3229,666b63,a19581,3b332a,2b2a25,141819,666b63,9b876c,a6a395,493a2d,664831
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,514e2e,aea585,90845f,514e2e,c0b48a,d9d8ce,666936,393927,d9d8ce,564f32,928938,c0b48a,806f52,a1986b
paul-klee_oriental-architecture-1929.jpg,c79031,e5b360,a58632,ea9a31,dca74f,eebf72,f0a73a,eab867,907d2e,f2c77c,dca74f,e48c27,ba812e,bb9b3e
pablo-picasso_paternity-1971.jpg,586145,d4cfa3,e1deb7,c7c18f,323b2a,7d875f,bab897,1d2a1d,e1deb7,474c36,d8d296,b0a87a,6f7d4e,8b9271
jacques-villon_composition-1947.jpg,906945,dde1e0,dde1e0,624229,b6692a,c4b798,dde1e0,b73e26,d1d0c8,b4942e,765234,b69e68,29251e,743f20
henri-matisse_the-moraccans-1916.jpg,575046,c4b09c,3f403e,6e604e,a28d7e,e5d2bb,3f403e,54524a,e9eae1,b2a196,e2bb95,886d52,746e64,b2846a
joaquã­n-sorolla_children-in-the-sea-1909.jpg,616774,7b8094,6a738d,8b8c9c,546072,6e6e76,59667c,7f8096,6a738d,898c9e,505a69,6e6e76,9f9d9b,abaeb3
andre-masson_the-bird-pierced-with-arrows.jpg,3f3624,907e5b,3f3624,776342,97865e,bead8c,c5b088,ad9e7c,d7c8b0,6f573b,3f3624,7f7049,877c5b,a68f61
rafael-zabaleta_painters-and-model-1954.jpg,485537,d2944b,cfa772,d68224,393819,577156,ce5a20,deaa27,c8875d,e6bf54,c5d0ba,393819,475943,688969
olexandr-archipenko_nude.jpg,2c2529,5c3e34,2c2529,58362a,4f3c3e,72503f,4f3c3e,7a513a,5b403a,99683d,2c2529,58362a,7d6f6c,ad7a4e
olexandr-archipenko_seated-geometric-figure.jpg,716c64,d4cdc2,d4cdc2,a89c8e,272b2a,4e4e49,988c7f,373937,272b2a,4a4c4a,b7ac9e,7f776d,cbc3b6,ddd8cf
roger-de-la-fresnaye_married-life-1913.jpg,40282a,b17a57,9b573d,40282a,bd905d,cfad86,582d29,5b3d3e,9b6e4d,bd905d,cfad86,9c3f2d,1f1318,2d222b
joaquã­n-sorolla_the-relic-1893.jpg,704232,c07c52,b16743,704232,ce8850,d29c6f,cf9873,ce8850,90513b,cd9062,b16743,deb587,3a2924,673b30
victor-brauner_woman-worker-1923.jpg,463824,a88d6c,827459,cfa67e,2a2719,624a2e,2a2719,4f402b,c39464,d7a87d,755432,827459,d1af92,ebe1d7
arshile-gorky_untitled-cubist-figure.jpg,62615b,938b7f,8a7e6c,9b9891,56534b,6e6f6b,8c8d8a,a3998a,b1afa6,474946,645d50,8a7e6c,696861,737575
ben-nicholson_pisa-as-intended-1967.jpg,e4ddce,f2eee2,f2eee2,efe9db,cac3b2,e7e0d0,e7e0d0,f2eee2,efe9db,b1aa99,ded8c7,c8c1b0,867e6e,a39c8b
marc-chagall_snow-covered-church-1927.jpg,465e74,b1b0a8,c5c9cd,9e9784,464e44,476ea3,e0dbcd,aab8cd,95907d,8e7b51,a9a9a1,464e44,587087,376cc0
marc-chagall_reclining-nude-1911.jpg,503529,ad7c55,984922,c1ae87,4b251d,554635,9a7a4f,563527,bfa567,d7cdb4,4b251d,984922,514b33,546152
albert-gleizes_man-on-a-balcony-portrait-of-dr-th-o-morinaud-1912.jpg,3e3421,93774e,3e3421,795c34,987a4d,c2a983,8a714b,a68450,c4ab84,dbcab7,b49768,3e3421,6f522e,82663a
jack-bush_still-life-with-knife-1954.jpg,4f2b1e,9b937e,797967,bdae95,211f17,7d3724,c5bba7,846957,211f17,535951,b5a083,7d3724,8e8e64,80938e
maurice-de-vlaminck_the-table-still-life-with-almonds-1907.jpg,51606b,b89a90,bec4c3,b1715c,434a4a,5e768c,b0a69a,bec4c3,bf985e,ab433c,545b57,5e768c,212f36,444244
marevna-(marie-vorobieff)_homage-to-friends-from-montparnasse-1962.jpg,4b4c4e,bcbec1,78797c,1d1e1f,a7a8ab,d2d4d7,070807,898a8d,252628,424245,a7a8ab,d2d4d7,5d5e61,727377
salvador-dali_still-life-5.jpg,485030,639383,4a8173,485030,678b6e,90bfb9,71aeab,5f6734,30392b,697646,afcfc7,65a096,416b56,52978f
