ObjectID,cut_2,cut_4,cut_8
filippo-lippi_two-saints.jpg,"[(129, 114, 96), (173, 156, 136)]","[(146, 138, 130), (201, 175, 142), (107, 101, 92), (150, 127, 100)]","[(107, 101, 92), (194, 166, 126), (144, 138, 133), (150, 127, 100), (145, 132, 118), (150, 149, 152), (203, 178, 144), (211, 190, 171)]"
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
filippo-lippi_madonna-del-ceppo.jpg,"[(90, 63, 50), (164, 124, 98)]","[(151, 99, 68), (90, 63, 50), (165, 125, 95), (188, 173, 163)]","[(146, 116, 93), (184, 135, 96), (111, 76, 60), (70, 50, 41), (151, 99, 68), (182, 169, 160), (201, 167, 140), (188, 188, 191)]"
piero-della-francesca_annunciation-1464(1).jpg,"[(89, 87, 78), (181, 148, 116)]","[(171, 130, 101), (191, 166, 131), (74, 66, 62), (104, 108, 93)]","[(181, 167, 139), (96, 68, 63), (189, 158, 120), (52, 64, 62), (206, 180, 147), (171, 130, 101), (102, 96, 80), (106, 120, 106)]"
pietro-perugino_christ-in-the-sarcophagus-1473.jpg,"[(120, 66, 34), (182, 148, 108)]","[(171, 116, 56), (193, 181, 161), (84, 50, 36), (155, 81, 31)]","[(218, 212, 201), (203, 192, 171), (153, 111, 60), (155, 81, 31), (188, 121, 52), (176, 159, 136), (62, 35, 31), (106, 66, 41)]"
antonello-da-messina_madonna-and-child-salting-madonna.jpg,"[(23, 23, 24), (124, 108, 87)]","[(23, 23, 24), (77, 62, 44), (136, 119, 97), (208, 187, 160)]","[(159, 132, 91), (23, 23, 24), (223, 207, 189), (155, 144, 129), (194, 167, 131), (116, 100, 85), (54, 50, 39), (99, 74, 50)]"
fra-angelico_st-stephen-being-led-to-his-martyrdom-1449.jpg,"[(130, 94, 75), (210, 191, 176)]","[(90, 70, 63), (170, 119, 87), (193, 169, 152), (227, 214, 200)]","[(221, 203, 184), (233, 225, 216), (209, 181, 159), (156, 101, 73), (184, 136, 100), (177, 156, 145), (70, 57, 56), (110, 82, 70)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
andrea-mantegna_the-battle-of-sea-gods-1480.jpg,"[(85, 85, 84), (203, 204, 201)]","[(118, 118, 116), (52, 51, 51), (180, 180, 178), (226, 227, 225)]","[(194, 194, 192), (135, 135, 133), (167, 167, 164), (226, 227, 225), (68, 68, 67), (35, 34, 35), (92, 93, 91), (111, 109, 107)]"
pietro-perugino_christ-handing-the-keys-to-st-peter-detail-2.jpg,"[(87, 78, 71), (195, 174, 146)]","[(213, 206, 182), (176, 141, 110), (72, 55, 46), (101, 101, 96)]","[(53, 45, 40), (91, 66, 52), (195, 192, 174), (232, 220, 190), (101, 101, 96), (162, 119, 91), (173, 154, 128), (209, 173, 132)]"
carlo-crivelli_crucifixion.jpg,"[(106, 76, 66), (195, 162, 127)]","[(182, 141, 108), (209, 183, 146), (80, 56, 53), (132, 95, 79)]","[(206, 174, 132), (189, 155, 119), (125, 80, 66), (139, 110, 91), (174, 126, 96), (213, 192, 159), (72, 47, 44), (87, 65, 63)]"
benozzo-gozzoli_upper-portions-of-the-east-window-wall-1465.jpg,"[(133, 109, 77), (208, 204, 195)]","[(85, 79, 63), (182, 140, 92), (189, 184, 175), (228, 224, 216)]","[(205, 196, 182), (228, 224, 216), (194, 161, 110), (110, 104, 83), (169, 118, 73), (60, 54, 42), (156, 163, 166), (187, 181, 169)]"
filippo-lippi_annunciation-1445.jpg,"[(101, 73, 61), (198, 173, 152)]","[(62, 54, 48), (139, 92, 73), (178, 144, 121), (218, 201, 182)]","[(197, 153, 124), (207, 181, 157), (229, 221, 208), (62, 54, 48), (116, 84, 70), (158, 136, 118), (160, 82, 65), (166, 116, 87)]"
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,"[(74, 76, 63), (162, 157, 146)]","[(132, 128, 116), (74, 76, 63), (177, 168, 154), (205, 204, 198)]","[(184, 179, 167), (53, 59, 54), (78, 82, 68), (205, 204, 198), (170, 157, 140), (113, 103, 77), (116, 113, 103), (148, 143, 128)]"
giovanni-bellini_the-san-giobbe-altarpiece-detail-of-music-making-angels-1480.jpg,"[(98, 74, 34), (178, 172, 135)]","[(98, 74, 34), (139, 127, 109), (210, 205, 121), (223, 229, 201)]","[(56, 43, 29), (223, 229, 201), (210, 205, 121), (116, 111, 148), (100, 87, 76), (140, 105, 39), (174, 150, 72), (167, 159, 140)]"
joaquã­n-sorolla_street-in-granada.jpg,"[(149, 120, 97), (215, 189, 165)]","[(220, 212, 202), (210, 167, 128), (138, 96, 59), (160, 144, 136)]","[(220, 212, 202), (166, 149, 136), (190, 160, 135), (93, 109, 137), (175, 113, 65), (100, 79, 53), (208, 153, 107), (213, 181, 148)]"
antonello-da-messina_portrait-of-a-man-1475(1).jpg,"[(52, 49, 49), (161, 104, 87)]","[(52, 49, 49), (123, 75, 71), (175, 98, 81), (222, 165, 126)]","[(102, 70, 68), (196, 100, 80), (52, 49, 49), (153, 96, 81), (145, 81, 74), (210, 146, 105), (228, 176, 135), (237, 195, 159)]"
piero-della-francesca_constantine-s-victory-over-maxentius-detail(1).jpg,"[(75, 75, 67), (140, 123, 102)]","[(119, 103, 85), (75, 75, 67), (150, 129, 104), (174, 156, 135)]","[(135, 125, 105), (164, 132, 103), (85, 89, 80), (154, 144, 127), (119, 103, 85), (65, 60, 53), (188, 159, 132), (199, 177, 155)]"
carlo-crivelli_angels-pity.jpg,"[(118, 71, 54), (214, 183, 151)]","[(86, 50, 42), (151, 93, 67), (193, 151, 111), (234, 215, 190)]","[(231, 192, 140), (205, 163, 118), (207, 173, 134), (182, 140, 104), (86, 50, 42), (250, 247, 243), (144, 76, 54), (159, 110, 80)]"
andrea-del-verrocchio_giuliano-de-medici-1478.jpg,"[(77, 88, 100), (107, 101, 99)]","[(113, 74, 43), (102, 129, 154), (71, 57, 48), (84, 118, 151)]","[(84, 118, 151), (100, 132, 162), (92, 125, 156), (97, 129, 160), (113, 74, 43), (71, 57, 48), (114, 131, 146), (190, 146, 111)]"
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,"[(103, 96, 64), (179, 172, 149)]","[(75, 77, 57), (131, 115, 70), (147, 139, 109), (212, 205, 190)]","[(221, 219, 212), (126, 125, 74), (163, 137, 72), (117, 99, 68), (75, 77, 57), (147, 139, 109), (198, 179, 137), (207, 204, 198)]"
fra-angelico_adoration-of-the-magi-1424.jpg,"[(92, 71, 52), (201, 161, 116)]","[(217, 189, 149), (185, 134, 83), (62, 43, 28), (123, 98, 76)]","[(16, 17, 14), (175, 115, 69), (196, 152, 97), (217, 189, 149), (107, 69, 42), (99, 87, 75), (145, 100, 62), (148, 119, 92)]"
piero-della-francesca_prophet(1).jpg,"[(132, 68, 53), (172, 141, 118)]","[(191, 177, 152), (153, 105, 83), (111, 61, 48), (153, 76, 58)]","[(153, 149, 128), (153, 76, 58), (130, 102, 85), (198, 164, 130), (206, 198, 175), (176, 107, 81), (93, 56, 45), (129, 65, 51)]"
piero-della-francesca_st-michael(1).jpg,"[(113, 112, 107), (201, 179, 145)]","[(216, 215, 202), (185, 143, 88), (101, 79, 54), (125, 146, 160)]","[(92, 81, 65), (129, 96, 63), (125, 146, 160), (168, 121, 71), (55, 41, 26), (203, 164, 104), (193, 194, 186), (239, 236, 218)]"
carlo-crivelli_triptych-of-camerino-1482.jpg,"[(83, 50, 36), (161, 114, 78)]","[(146, 94, 62), (83, 50, 36), (163, 118, 78), (187, 150, 109)]","[(193, 154, 106), (146, 94, 62), (173, 133, 95), (163, 118, 78), (55, 32, 25), (112, 68, 47), (198, 165, 125), (217, 193, 155)]"
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,"[(81, 78, 46), (174, 165, 133)]","[(144, 132, 95), (81, 78, 46), (192, 180, 138), (217, 216, 206)]","[(102, 105, 54), (57, 57, 39), (217, 216, 206), (86, 79, 50), (146, 137, 56), (192, 180, 138), (128, 111, 82), (161, 152, 107)]"
domenico-ghirlandaio_altarpiece-of-st-vincent-ferrer-1.jpg,"[(66, 57, 57), (134, 135, 142)]","[(95, 103, 115), (66, 57, 57), (167, 124, 124), (179, 207, 215)]","[(30, 46, 48), (76, 77, 94), (72, 70, 62), (132, 65, 68), (179, 207, 215), (115, 130, 137), (166, 92, 98), (169, 156, 150)]"
