ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
filippo-lippi_two-saints.jpg,817260,ad9c88,928a82,c9af8e,6b655c,967f64,6b655c,c2a67e,908a85,967f64,918476,969598,cbb290,d3beab
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
filippo-lippi_madonna-del-ceppo.jpg,5a3f32,a47c62,976344,5a3f32,a57d5f,bcada3,92745d,b88760,6f4c3c,463229,976344,b6a9a0,c9a78c,bcbcbf
piero-della-francesca_annunciation-1464(1).jpg,59574e,b59474,ab8265,bfa683,4a423e,686c5d,b5a78b,60443f,bd9e78,34403e,ceb493,ab8265,666050,6a786a
pietro-perugino_christ-in-the-sarcophagus-1473.jpg,784222,b6946c,ab7438,c1b5a1,543224,9b511f,dad4c9,cbc0ab,996f3c,9b511f,bc7934,b09f88,3e231f,6a4229
antonello-da-messina_madonna-and-child-salting-madonna.jpg,171718,7c6c57,171718,4d3e2c,887761,d0bba0,9f845b,171718,dfcfbd,9b9081,c2a783,746455,363227,634a32
fra-angelico_st-stephen-being-led-to-his-martyrdom-1449.jpg,825e4b,d2bfb0,5a463f,aa7757,c1a998,e3d6c8,ddcbb8,e9e1d8,d1b59f,9c6549,b88864,b19c91,463938,6e5246
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
andrea-mantegna_the-battle-of-sea-gods-1480.jpg,555554,cbccc9,767674,343333,b4b4b2,e2e3e1,c2c2c0,878785,a7a7a4,e2e3e1,444443,232223,5c5d5b,6f6d6b
pietro-perugino_christ-handing-the-keys-to-st-peter-detail-2.jpg,574e47,c3ae92,d5ceb6,b08d6e,48372e,656560,352d28,5b4234,c3c0ae,e8dcbe,656560,a2775b,ad9a80,d1ad84
carlo-crivelli_crucifixion.jpg,6a4c42,c3a27f,b68d6c,d1b792,503835,845f4f,ceae84,bd9b77,7d5042,8b6e5b,ae7e60,d5c09f,482f2c,57413f
benozzo-gozzoli_upper-portions-of-the-east-window-wall-1465.jpg,856d4d,d0ccc3,554f3f,b68c5c,bdb8af,e4e0d8,cdc4b6,e4e0d8,c2a16e,6e6853,a97649,3c362a,9ca3a6,bbb5a9
filippo-lippi_annunciation-1445.jpg,65493d,c6ad98,3e3630,8b5c49,b29079,dac9b6,c5997c,cfb59d,e5ddd0,3e3630,745446,9e8876,a05241,a67457
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
giovanni-bellini_the-san-giobbe-altarpiece-detail-of-music-making-angels-1480.jpg,624a22,b2ac87,624a22,8b7f6d,d2cd79,dfe5c9,382b1d,dfe5c9,d2cd79,746f94,64574c,8c6927,ae9648,a79f8c
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
antonello-da-messina_portrait-of-a-man-1475(1).jpg,343131,a16857,343131,7b4b47,af6251,dea57e,664644,c46450,343131,996051,91514a,d29269,e4b087,edc39f
piero-della-francesca_constantine-s-victory-over-maxentius-detail(1).jpg,4b4b43,8c7b66,776755,4b4b43,968168,ae9c87,877d69,a48467,555950,9a907f,776755,413c35,bc9f84,c7b19b
carlo-crivelli_angels-pity.jpg,764736,d6b797,56322a,975d43,c1976f,ead7be,e7c08c,cda376,cfad86,b68c68,56322a,faf7f3,904c36,9f6e50
andrea-del-verrocchio_giuliano-de-medici-1478.jpg,4d5864,6b6563,714a2b,66819a,473930,547697,547697,6484a2,5c7d9c,6181a0,714a2b,473930,728392,be926f
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
fra-angelico_adoration-of-the-magi-1424.jpg,5c4734,c9a174,d9bd95,b98653,3e2b1c,7b624c,10110e,af7345,c49861,d9bd95,6b452a,63574b,91643e,94775c
piero-della-francesca_prophet(1).jpg,844435,ac8d76,bfb198,996953,6f3d30,994c3a,999580,994c3a,826655,c6a482,cec6af,b06b51,5d382d,814133
piero-della-francesca_st-michael(1).jpg,71706b,c9b391,d8d7ca,b98f58,654f36,7d92a0,5c5141,81603f,7d92a0,a87947,37291a,cba468,c1c2ba,efecda
carlo-crivelli_triptych-of-camerino-1482.jpg,533224,a1724e,925e3e,533224,a3764e,bb966d,c19a6a,925e3e,ad855f,a3764e,372019,70442f,c6a57d,d9c19b
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,514e2e,aea585,90845f,514e2e,c0b48a,d9d8ce,666936,393927,d9d8ce,564f32,928938,c0b48a,806f52,a1986b
domenico-ghirlandaio_altarpiece-of-st-vincent-ferrer-1.jpg,423939,86878e,5f6773,423939,a77c7c,b3cfd7,1e2e30,4c4d5e,48463e,844144,b3cfd7,738289,a65c62,a99c96
benozzo-gozzoli_trial-by-fire-before-the-sultan-detail.jpg,6b5140,a8a08c,453e38,916348,86867c,caba9c,8a513a,bea582,d5cfb6,88938b,453e38,847a6c,846f58,ac7b53
domenico-ghirlandaio_the-annunciation-1490.jpg,825e46,aca49d,5e4a44,a67248,928e8d,c6bbad,9b7c5c,d0cbc5,975a3b,bdab94,cf974e,928e8d,4d4342,705246
joaquã­n-sorolla_children-in-the-sea-1909.jpg,616774,7b8094,6a738d,8b8c9c,546072,6e6e76,59667c,7f8096,6a738d,898c9e,505a69,6e6e76,9f9d9b,abaeb3
fra-angelico_circumcision-1452.jpg,42332f,a78874,42332f,936955,a29285,d4bb9f,8a5547,a29285,c9ac8c,dfcbb3,5d4a43,9d7e64,100b0f,3e2b29
andrea-del-castagno_the-cuman-sibyl.jpg,5e343b,b27575,a15464,c39786,472529,75444d,dabd97,c39392,753444,765357,a15464,b88578,3a181a,553138
giovanni-bellini_the-agony-in-the-garden.jpg,3a2e27,8b7359,805936,968d7c,261b14,4e423a,728293,787061,261b14,b78f5a,805936,b8b3a1,463124,565351
domenico-ghirlandaio_the-adoration-of-the-magi-1487.jpg,53402d,ac937f,bdbcbb,53402d,98552f,a07d55,27241c,5a3c26,655139,a07042,a08a67,98552f,bebbb9,bcbcbe
joaquã­n-sorolla_the-relic-1893.jpg,704232,c07c52,b16743,704232,ce8850,d29c6f,cf9873,ce8850,90513b,cd9062,b16743,deb587,3a2924,673b30
antonello-da-messina_madonna-and-child-with-a-praying-franciscan-donor.jpg,34251e,ba7a3a,a8652a,34251e,c5823b,d49c59,cca66b,a8652a,c5823b,d49148,d79d58,d5c08b,151313,523729
pietro-perugino_madonna-with-children-and-st-john-1485.jpg,5d523d,c9cdd1,2c2d2c,8d774f,98a0a8,fbfbfa,231e16,7588a7,a79463,363c41,bab7aa,fbfbfa,704d2a,76674c
andrea-mantegna_horse-and-groom-with-hunting-dogs-from-the-camera-degli-sposi-or-camera-picta-detail-1474.jpg,534741,9e9b98,8e8881,534741,989da5,c2c0b9,352724,4b3c35,7f7d7b,9e9487,989da5,675c56,bab4ab,cacbc7
filippo-lippi_nativity-1469.jpg,5c4e48,bea186,cfbba1,ad886a,41322f,786a60,261e1f,5b473f,786a60,a37861,baa48e,b79774,dfc8a2,e9dbc7
donatello_judith-and-holofernes-1460.jpg,756c66,ccd1d2,ccd1d2,514742,7b6e63,b6b6b3,5e524c,7d7166,706359,453b37,ccd1d2,8f8173,acaca8,bfc0be
benozzo-gozzoli_descent-from-the-cross.jpg,30211b,865d48,30211b,714835,835e4c,b5886a,6d584e,98644a,b47a57,aa856b,c3a990,30211b,5f4033,834f38
masaccio_st-juvenal-triptych-1422.jpg,754934,e5d3b5,a66442,442f26,daae6f,f0f9fb,f0f9fb,d59a50,d5a769,e6c784,eeefe2,a66442,291e19,5f4133
pisanello_hanged-men-and-two-portraits-1430.jpg,ced0cf,e6e8e9,dddfde,e6e8e9,acadab,d2d4d3,dddfde,d2d4d3,e6e8e9,949592,c2c4c2,acadab,595956,7d7e7c
filippo-lippi_announcement-of-the-death-of-the-virgin.jpg,3d2e27,986c54,805342,3d2e27,a27356,bd9676,936f55,cb9870,b27756,aa876a,d4b494,805342,26211e,533b31
giovanni-bellini_polyptych-of-san-vincenzo-ferreri-1468-7.jpg,544230,b78764,a86b4c,544230,c49669,c9b18f,221f16,b6a78a,4d3728,705941,a86b4c,c49669,dfb184,dbc4a4
luca-signorelli_crucifixion-of-st-sepulchre.jpg,5c4011,877952,655b37,5c4011,a17f40,b3ad9a,332d10,a49d86,733f11,c2beae,655b37,a17f40,7f5f16,ab7012
paolo-uccello_perspective-study-of-mazzocchio-1.jpg,ad9055,dac395,c3a567,dac395,856830,a98f54,826831,c3a567,d2b988,a98f54,99783a,e2cda1,533b14,72531e
