ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
emil-nolde_indonesian-couple-1921.jpg,959695,e6e9ea,d0d2d2,e6e9ea,292927,8b8b8a,d0d2d2,babbba,e6e9ea,060604,999998,4c4c4a,60615f,787876
amedeo-modigliani_girl-with-pigtails-1918.jpg,4b332d,a6472e,8c3b29,c05332,49231b,4d433e,cd5930,ca4e2f,4d433e,cf6239,49231b,8c3b29,b64e2d,b35238
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
oskar-kokoschka_not_detected_235893.jpg,585d59,b4b2ad,c0cacf,a99b8a,464236,6b787c,9d9491,c0cacf,535541,b3b2a3,382f2c,6b787c,9b6043,a7895f
carlos-saenz-de-tejada_untitled.jpg,d7d8d0,f8fbf9,f8fbf9,f5f7f1,959388,dfdfd6,f8fbf9,f5f7f1,787468,8d8c82,b0ada3,dfdfd6,49473d,636258
wassily-kandinsky_the-golden-sail-1903.jpg,5e3624,87655c,5e3624,644037,a37c62,b2999f,83695c,b68061,5e3624,d09d6d,a58595,bfacaa,613b2e,68463f
amedeo-modigliani_nude-on-sofa-almaisa-1916.jpg,59332b,ba7255,a45641,d18d6a,302323,814233,a45641,ca805e,773b2d,8b4939,b46b51,302323,dd9b72,e8b086
albert-bloch_piping-pierrot.jpg,62504a,b48567,a66b53,62504a,c09267,c6aa8f,b28e6a,b59d87,ce9765,d7b798,715d53,a66b53,473f3e,604645
marc-chagall_illustration-for-brochure-schwartzbard-1927.jpg,7a715e,baac92,a79679,4c4b44,b3a284,c2b6a0,b6a687,43433e,b3a284,a79679,baac92,e2e2e1,474742,666051
ramon-oviedo_forma-milenaria(3).jpg,534838,a99062,333931,72573f,867a5f,cca764,333931,b9977a,574d3f,cca357,867a5f,8d6040,debd60,dec270
edvard-munch_jealousy-1895.jpg,14100b,794429,501e17,14100b,744d2c,d1854c,0c0804,c86421,75421e,daa677,1c1812,501e17,64482b,82684b
yiannis-moralis_not-detected-19.jpg,522422,9d6852,522422,7f4234,ba805b,bc9b86,6e2728,794a37,a86d48,aaa09a,ce9672,522422,ae7959,c6885d
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
martiros-saryan_to-the-spring-1909.jpg,444440,ac965a,bbab66,9d814f,332d23,565a5d,c3a651,474a55,9d7843,9e895b,332d23,656b65,a0a48a,c7ba6b
milton-avery_green-sea-1954.jpg,434126,bbbfb0,e2dbd6,93a389,1a1712,6b6c3a,080508,676b30,899470,6f6d43,e2dbd6,9eb2a2,140f0f,474229
august-macke_dog-on-fire.jpg,b9ae8b,cdc09b,c4b792,cdc09b,a49b7c,b9ad8a,a39a7a,ada483,989275,b9ad8a,c4b792,cdc09b,827f67,908b70
lucian-freud_the-butcher-s-daughter.jpg,7e5f36,d69f67,ca8547,e1b987,614725,9a7647,9c8458,dea86a,986936,482f14,ca8547,7a5f36,debb86,e8dac1
henri-matisse_still-life-with-gourds.jpg,645423,9b8772,372f23,9b8772,523a2c,cfb61a,372f23,ecd418,635d50,d5bfc1,b1981d,523a2c,c28373,dec05f
balthus_cathy-s-toilette-1933.jpg,272f37,867e6f,272f37,615d57,8a8574,cbba99,ae997d,c5b48d,8a8574,535451,272f37,dccdad,65635c,79695e
jean-david_head-portrait.jpg,517183,97a19f,a1b8ba,8d8a84,4e606a,54839c,7f9b9d,a8a599,89695c,837f7e,4e606a,a1b8ba,4b7294,5d95a5
martiros-saryan_eastern-interior-1918.jpg,6b5241,a99e77,8c5b42,4b4a41,9b8960,b7b38d,7c7e62,ba945e,40362b,555e57,9c9e89,d2c890,8b5137,8d654d
emil-nolde_colored-sky-above-the-marais.jpg,464f4d,a1a661,a6a435,464f4d,7c948c,bebe8b,7c8d35,323d41,d0ba36,b8af5f,5a6258,c4ccb7,7f8866,79a1b3
tia-peltz_the-little-bench.jpg,a59472,e0cca1,e0cca1,d6bd8c,4c493f,9d8e6e,d5b984,d7c195,796d54,988663,e0cca1,4c493f,a79879,bdad88
billy-childish_north-beach-san-francisco-2003.jpg,596157,a3a198,a9b9bf,9d8a70,4a492f,69797e,5e6367,606639,a9b9bf,352c26,a49b7f,748f95,93714e,9b8076
amedeo-modigliani_little-girl-in-blue-1918.jpg,5e554b,a1a08f,978d79,5e554b,a2aa97,b5bdb5,909993,989473,b5bdb5,a46f4a,6f7770,a2aa97,302722,684029
