ObjectID,cut_2,cut_4,cut_8
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
jean-metzinger_nu-nude-1906.jpg,"[(145, 115, 78), (198, 185, 187)]","[(96, 100, 73), (194, 131, 82), (162, 164, 180), (234, 205, 195)]","[(240, 230, 210), (185, 76, 87), (202, 186, 77), (176, 197, 185), (229, 180, 181), (149, 132, 175), (83, 60, 68), (108, 140, 79)]"
abraham-manievich_artist-s-wife-1937.jpg,"[(89, 92, 90), (187, 161, 142)]","[(202, 190, 179), (172, 132, 105), (75, 75, 62), (103, 108, 118)]","[(161, 103, 98), (82, 98, 64), (182, 160, 113), (98, 85, 106), (68, 53, 60), (108, 131, 130), (174, 162, 166), (229, 219, 193)]"
henri-matisse_standing-model.jpg,"[(50, 42, 53), (104, 110, 110)]","[(75, 88, 92), (50, 42, 53), (103, 95, 83), (161, 171, 174)]","[(75, 83, 77), (74, 92, 108), (129, 148, 154), (103, 95, 83), (31, 31, 46), (68, 54, 59), (182, 180, 170), (204, 209, 216)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
ilya-mashkov_self-portrait-1911.jpg,"[(41, 42, 52), (165, 171, 168)]","[(121, 133, 131), (209, 210, 205), (18, 20, 26), (64, 64, 77)]","[(7, 8, 8), (226, 231, 234), (114, 119, 107), (193, 189, 176), (128, 146, 155), (28, 32, 44), (50, 56, 73), (78, 72, 80)]"
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,"[(74, 76, 63), (162, 157, 146)]","[(132, 128, 116), (74, 76, 63), (177, 168, 154), (205, 204, 198)]","[(184, 179, 167), (53, 59, 54), (78, 82, 68), (205, 204, 198), (170, 157, 140), (113, 103, 77), (116, 113, 103), (148, 143, 128)]"
maurice-de-vlaminck_potatoe-pickers-1907.jpg,"[(90, 64, 29), (93, 91, 84)]","[(62, 72, 82), (90, 64, 29), (115, 91, 73), (135, 132, 99)]","[(119, 56, 28), (126, 97, 29), (58, 51, 29), (134, 127, 75), (115, 91, 73), (62, 72, 82), (114, 123, 119), (158, 150, 128)]"
joaquã­n-sorolla_street-in-granada.jpg,"[(149, 120, 97), (215, 189, 165)]","[(220, 212, 202), (210, 167, 128), (138, 96, 59), (160, 144, 136)]","[(220, 212, 202), (166, 149, 136), (190, 160, 135), (93, 109, 137), (175, 113, 65), (100, 79, 53), (208, 153, 107), (213, 181, 148)]"
fikret-mualla-saygi_unknown-title-8.jpg,"[(102, 105, 83), (112, 145, 201)]","[(51, 63, 103), (153, 147, 63), (70, 108, 180), (153, 183, 223)]","[(110, 115, 103), (153, 183, 223), (116, 119, 59), (70, 108, 180), (223, 193, 33), (51, 63, 103), (171, 162, 33), (156, 157, 83)]"
milton-avery_autumn-1944.jpg,"[(137, 83, 73), (210, 160, 117)]","[(205, 142, 62), (215, 177, 172), (129, 68, 35), (144, 98, 112)]","[(172, 91, 43), (81, 72, 90), (205, 142, 62), (154, 86, 88), (86, 46, 26), (171, 117, 136), (203, 144, 165), (227, 210, 178)]"
endre-bartos_ter-z-with-withering-sunflowers-1989.jpg,"[(59, 70, 85), (177, 139, 125)]","[(50, 51, 57), (69, 89, 114), (166, 108, 77), (189, 169, 174)]","[(63, 73, 90), (50, 51, 57), (158, 79, 64), (167, 141, 156), (173, 138, 90), (211, 197, 191), (66, 86, 117), (84, 123, 158)]"
louis-valtat_the-pink-1906.jpg,"[(93, 73, 56), (164, 158, 121)]","[(62, 48, 39), (123, 97, 73), (152, 143, 104), (176, 173, 139)]","[(159, 159, 132), (48, 29, 17), (123, 112, 96), (123, 82, 51), (193, 187, 146), (76, 67, 61), (139, 136, 103), (164, 151, 104)]"
raoul-dufy_4th-of-july-1906.jpg,"[(166, 113, 104), (231, 218, 198)]","[(231, 218, 198), (118, 100, 99), (217, 85, 67), (209, 165, 151)]","[(221, 55, 49), (209, 165, 151), (235, 229, 215), (214, 116, 85), (228, 208, 182), (139, 126, 127), (70, 66, 66), (123, 83, 76)]"
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,"[(103, 96, 64), (179, 172, 149)]","[(75, 77, 57), (131, 115, 70), (147, 139, 109), (212, 205, 190)]","[(221, 219, 212), (126, 125, 74), (163, 137, 72), (117, 99, 68), (75, 77, 57), (147, 139, 109), (198, 179, 137), (207, 204, 198)]"
louis-valtat_antheor-bay-1907.jpg,"[(90, 90, 95), (205, 167, 146)]","[(218, 194, 179), (192, 140, 112), (71, 67, 62), (108, 113, 128)]","[(191, 126, 105), (37, 48, 58), (181, 105, 69), (198, 164, 137), (218, 194, 179), (106, 86, 66), (81, 98, 124), (135, 129, 133)]"
pyotr-konchalovsky_still-life-flowers-in-pink-1918.jpg,"[(121, 102, 112), (182, 179, 181)]","[(200, 193, 202), (165, 166, 159), (78, 91, 102), (163, 113, 121)]","[(168, 128, 150), (157, 98, 93), (89, 111, 135), (171, 169, 175), (200, 193, 202), (159, 163, 143), (54, 47, 58), (82, 95, 79)]"
ion-pacea_midnight-sun.jpg,"[(97, 102, 92), (221, 210, 173)]","[(223, 224, 215), (219, 195, 131), (50, 57, 54), (144, 147, 129)]","[(223, 224, 215), (212, 186, 153), (50, 57, 54), (222, 162, 59), (102, 104, 92), (186, 190, 165), (224, 221, 119), (216, 214, 193)]"
august-macke_picnic-on-the-beach.jpg,"[(134, 142, 140), (209, 189, 174)]","[(213, 206, 200), (134, 142, 140), (200, 145, 136), (209, 199, 162)]","[(213, 206, 200), (87, 103, 114), (137, 164, 150), (170, 175, 167), (209, 199, 162), (142, 124, 127), (206, 120, 106), (195, 170, 166)]"
max-pechstein_bank-of-a-lake-1910.jpg,"[(140, 129, 67), (142, 154, 161)]","[(83, 93, 64), (196, 165, 70), (103, 128, 163), (181, 179, 159)]","[(83, 93, 64), (197, 199, 118), (165, 182, 201), (196, 155, 118), (212, 202, 70), (180, 129, 70), (100, 118, 132), (106, 138, 194)]"
