ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
jean-metzinger_nu-nude-1906.jpg,91734e,c6b9bb,606449,c28352,a2a4b4,eacdc3,f0e6d2,b94c57,caba4d,b0c5b9,e5b4b5,9584af,533c44,6c8c4f
abraham-manievich_artist-s-wife-1937.jpg,595c5a,bba18e,cabeb3,ac8469,4b4b3e,676c76,a16762,526240,b6a071,62556a,44353c,6c8382,aea2a6,e5dbc1
henri-matisse_standing-model.jpg,322a35,686e6e,4b585c,322a35,675f53,a1abae,4b534d,4a5c6c,81949a,675f53,1f1f2e,44363b,b6b4aa,ccd1d8
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
ilya-mashkov_self-portrait-1911.jpg,292a34,a5aba8,798583,d1d2cd,12141a,40404d,070808,e2e7ea,72776b,c1bdb0,80929b,1c202c,323849,4e4850
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
maurice-de-vlaminck_potatoe-pickers-1907.jpg,5a401d,5d5b54,3e4852,5a401d,735b49,878463,77381c,7e611d,3a331d,867f4b,735b49,3e4852,727b77,9e9680
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
fikret-mualla-saygi_unknown-title-8.jpg,666953,7091c9,333f67,99933f,466cb4,99b7df,6e7367,99b7df,74773b,466cb4,dfc121,333f67,aba221,9c9d53
milton-avery_autumn-1944.jpg,895349,d2a075,cd8e3e,d7b1ac,814423,906270,ac5b2b,51485a,cd8e3e,9a5658,562e1a,ab7588,cb90a5,e3d2b2
endre-bartos_ter-z-with-withering-sunflowers-1989.jpg,3b4655,b18b7d,323339,455972,a66c4d,bda9ae,3f495a,323339,9e4f40,a78d9c,ad8a5a,d3c5bf,425675,547b9e
louis-valtat_the-pink-1906.jpg,5d4938,a49e79,3e3027,7b6149,988f68,b0ad8b,9f9f84,301d11,7b7060,7b5233,c1bb92,4c433d,8b8867,a49768
raoul-dufy_4th-of-july-1906.jpg,a67168,e7dac6,e7dac6,766463,d95543,d1a597,dd3731,d1a597,ebe5d7,d67455,e4d0b6,8b7e7f,464242,7b534c
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
