ObjectID,cut_2,cut_4,cut_8
lorenzo-lotto_portrait-of-a-musician-1529.jpg,"[(12, 15, 11), (54, 51, 45)]","[(12, 15, 11), (33, 34, 27), (39, 40, 42), (113, 96, 83)]","[(39, 40, 42), (12, 15, 11), (60, 54, 53), (175, 153, 136), (217, 186, 158), (33, 34, 27), (111, 91, 75), (165, 121, 83)]"
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
andrea-solario_the-crucifixion-1503.jpg,"[(65, 67, 59), (164, 140, 119)]","[(148, 103, 69), (180, 178, 170), (54, 51, 40), (76, 83, 79)]","[(73, 69, 51), (54, 51, 40), (71, 78, 72), (86, 117, 140), (148, 103, 69), (201, 204, 203), (132, 139, 140), (188, 165, 134)]"
leonardo-da-vinci_studies-for-the-heads-of-two-soldiers-in-the-battle-of-anghiari.jpg,"[(200, 192, 184), (236, 236, 229)]","[(236, 236, 229), (228, 223, 214), (144, 129, 124), (201, 191, 184)]","[(236, 236, 229), (117, 103, 97), (139, 125, 121), (201, 191, 184), (85, 75, 70), (228, 223, 214), (160, 142, 136), (174, 160, 153)]"
cima-da-conegliano_adoration-of-the-shepherds-1509.jpg,"[(49, 40, 32), (154, 138, 122)]","[(49, 40, 32), (119, 95, 75), (187, 172, 147), (192, 191, 190)]","[(99, 66, 43), (192, 191, 190), (103, 92, 78), (137, 125, 115), (137, 97, 66), (49, 40, 32), (165, 156, 144), (208, 188, 150)]"
raphael_nude-study.jpg,"[(204, 180, 165), (222, 212, 204)]","[(222, 212, 204), (213, 197, 185), (189, 147, 126), (203, 180, 165)]","[(222, 212, 204), (213, 197, 185), (184, 129, 105), (203, 180, 165), (199, 162, 141), (162, 112, 91), (178, 142, 124), (194, 146, 124)]"
titian_cellach-of-armagh-1522.jpg,"[(50, 41, 37), (111, 85, 69)]","[(50, 41, 37), (88, 60, 48), (119, 91, 73), (148, 129, 105)]","[(102, 88, 74), (50, 41, 37), (161, 136, 105), (136, 95, 73), (88, 60, 48), (124, 107, 90), (173, 157, 128), (196, 176, 142)]"
vittore-carpaccio_the-crucifixion-and-the-glorification-the-ten-thousand-martyrs-on-mount-ararat-1515.jpg,"[(106, 69, 64), (185, 159, 141)]","[(160, 124, 104), (210, 193, 179), (87, 53, 52), (124, 86, 76)]","[(253, 253, 253), (221, 181, 146), (237, 222, 209), (87, 53, 52), (124, 86, 76), (180, 160, 142), (139, 115, 101), (181, 133, 107)]"
giorgione_moses-undergoing-trial-by-fire-1505(2).jpg,"[(47, 42, 29), (167, 155, 125)]","[(47, 42, 29), (185, 196, 179), (121, 86, 55), (175, 143, 89)]","[(207, 219, 206), (153, 129, 87), (198, 156, 92), (205, 196, 164), (121, 86, 55), (164, 184, 172), (31, 28, 20), (62, 56, 38)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
