ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
lorenzo-lotto_portrait-of-a-musician-1529.jpg,0c0f0b,36332d,0c0f0b,21221b,27282a,716053,27282a,0c0f0b,3c3635,af9988,d9ba9e,21221b,6f5b4b,a57953
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
andrea-solario_the-crucifixion-1503.jpg,41433b,a48c77,946745,b4b2aa,363328,4c534f,494533,363328,474e48,56758c,946745,c9cccb,848b8c,bca586
leonardo-da-vinci_studies-for-the-heads-of-two-soldiers-in-the-battle-of-anghiari.jpg,c8c0b8,ecece5,ecece5,e4dfd6,90817c,c9bfb8,ecece5,756761,8b7d79,c9bfb8,554b46,e4dfd6,a08e88,aea099
cima-da-conegliano_adoration-of-the-shepherds-1509.jpg,312820,9a8a7a,312820,775f4b,bbac93,c0bfbe,63422b,c0bfbe,675c4e,897d73,896142,312820,a59c90,d0bc96
raphael_nude-study.jpg,ccb4a5,ded4cc,ded4cc,d5c5b9,bd937e,cbb4a5,ded4cc,d5c5b9,b88169,cbb4a5,c7a28d,a2705b,b28e7c,c2927c
titian_cellach-of-armagh-1522.jpg,322925,6f5545,322925,583c30,775b49,948169,66584a,322925,a18869,885f49,583c30,7c6b5a,ad9d80,c4b08e
vittore-carpaccio_the-crucifixion-and-the-glorification-the-ten-thousand-martyrs-on-mount-ararat-1515.jpg,6a4540,b99f8d,a07c68,d2c1b3,573534,7c564c,fdfdfd,ddb592,edded1,573534,7c564c,b4a08e,8b7365,b5856b
giorgione_moses-undergoing-trial-by-fire-1505(2).jpg,2f2a1d,a79b7d,2f2a1d,b9c4b3,795637,af8f59,cfdbce,998157,c69c5c,cdc4a4,795637,a4b8ac,1f1c14,3e3826
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
vittore-carpaccio_portrait-of-a-knight-1510.jpg,40362d,a19781,8c745b,40362d,b2a88a,bbcbc3,98a695,a2bab4,ccaa80,d5dcd2,2f2921,514438,816349,97856d
andrea-del-sarto_the-journey-of-the-magi.jpg,5a4635,b3a392,715a45,423225,a49078,c3b6ac,513e2e,34261c,917f6e,b7a082,b8a99a,cec4bd,66513e,7d644b
leonardo-da-vinci_stof-bethlehem-and-other-plants.jpg,a78f83,ebe6e1,ebe6e1,d3bbad,5e4a42,977c70,ebe6e1,a0897d,e0cfc2,8e6f62,4b3c35,71594f,bd9b8a,d0b5a4
andrea-del-sarto_study-for-the-baptism-of-the-people.jpg,aa796b,d0b6ac,bb9080,d0b6ac,8b5247,a67466,8c4c40,c8ab9f,955f52,bb9080,d9c1b9,763f37,a46859,a97f73
vittore-carpaccio_the-miracle-of-the-relic-of-the-true-cross-on-the-rialto-bridge-1494.jpg,5e4942,bfa38e,d6c1aa,a88671,44302e,786256,342626,6e5348,553935,a07564,b0967f,817265,c9b298,e2cfbc
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
luca-signorelli_the-end-of-the-world-apocalypse-1502.jpg,40362e,ab998c,937c6b,40362e,b1a197,d6cbc4,0c0f0e,645146,896f5f,b1a197,2d2520,9d8978,ccbfb3,e0d7d4
raphael_the-madonna-of-the-blue-diadem-or-the-madonna-of-the-veil.jpg,60443a,d1b19b,463530,795244,c39071,ded2c6,463530,a67e67,67493f,8c5b48,f1dfcd,e0a17a,c2b4b0,d6d5ce
