ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
william-merritt-chase_the-antiquary-shop-1879.jpg,352b22,876e4e,352b22,6c5539,877052,bb9d71,604d36,352b22,785d3d,877052,ad8d60,bc9f73,cdb183,dec89f
mary-cassatt_jules-standing-by-his-mother.jpg,513b21,a3743e,89592b,bd8e50,44321e,5d4425,b99259,cea061,b68244,5d4425,44321e,9c642e,75451e,765830
childe-hassam_the-fourth-of-july-1916.jpg,77625d,a6b2c5,c8cbd3,859ab6,55575b,996d5f,9aa8b9,99887b,5a6573,c8cbd3,6f8cb4,514942,993a2b,996859
claude-monet_morning-on-the-seine-near-giverny-02.jpg,475e74,8a93ad,5f7690,b4b1ca,41525f,4e6988,718ab3,d7c5d7,b3afc8,4e6988,41525f,5d6e81,5b789e,6882a1
georges-ribemont-dessaignes_untitled-portrait.jpg,807454,9b8c69,8d7f5c,9b8c69,605940,867956,8d7f5c,867956,9b8c69,3b3929,7b7051,1f211a,544e36,625d45
eugene-boudin_the-basin-at-fecamp-1894.jpg,979399,d3dfee,d3dfee,c2c4d0,46372e,928e93,c4cadc,c2c3d0,d3dfee,c3c0c1,928e93,b6b0b3,302621,5c483b
alfred-sisley_moret-sur-loing-the-porte-de-bourgogne-1891.jpg,7c7274,cbbfbb,8d8c9f,6b584a,c2aea5,d4d0d2,c6bcbd,d4d0d2,654b44,877158,3a3233,bfa18c,7a809f,a0979e
claude-monet_the-plain-of-colombes-white-frost-1873.jpg,848193,aea2aa,8ea6d0,7b5c56,b09286,adb3ce,adb3ce,b4a6a9,8ea6d0,73554f,8e6759,5a4d57,a86e51,b18e74
edgar-degas_woman-combing-her-hair-2.jpg,56362e,bc8865,d0a27d,a96d4d,492620,63473c,341e1e,5f2e23,c19473,9b5c42,b77f59,deb087,573933,705546
henri-de-toulouse-lautrec_c-leyran-view-of-the-vignards-1880.jpg,826c42,c2b89d,c5c3b3,bfae87,624b2e,a28d56,bdb6a3,c5c3b3,9f863e,805f36,a5956d,443626,bb9a58,c8b380
nikolay-bogdanov-belsky_girl-on-a-sofa.jpg,625f68,ad8e72,a66f59,625f68,aca07e,bcb999,3e4c64,6c4e53,717c80,6d6867,a66f59,aca07e,acac93,ccc69e
william-merritt-chase_girl-with-guitar.jpg,6c512d,a26a3a,a14f2b,6c512d,997936,af925b,48331f,6b4c29,957d4a,997936,7e6335,c8a86c,8e5a30,b44426
claude-monet_not_detected_212141.jpg,516f8c,bcbeb3,658db8,3d5260,b4b198,c3cacd,99a2a5,9d9880,526970,cdc59e,658db8,283a50,a4b4cd,e2e0cc
henri-de-toulouse-lautrec_master-of-the-hunt.jpg,634c48,9d8166,52261d,747273,9f6134,9aa198,7b93a2,95a4a6,9b5227,a09e8b,a36f42,52261d,6c3a2b,6e6a5c
childe-hassam_ten-pound-island.jpg,838164,bac8cb,627060,a49369,9fb4c2,d5ddd3,d5ddd3,aec9dd,6b8875,afab7c,5a574a,9a7b55,7a93a6,a5aca6
claude-monet_the-bend-of-the-seine-at-lavacourt-winter.jpg,646a67,c2ccd2,c2ccd2,82878c,2c3936,606150,969180,979ba8,c7d5e3,bcc3c1,2c3936,6d7883,575549,696d57
