ObjectID,cut_2,cut_4,cut_8
maerten-van-heemskerck_self-portrait.jpg,"[(45, 46, 44), (76, 69, 58)]","[(45, 46, 44), (54, 53, 50), (68, 65, 57), (127, 103, 77)]","[(45, 46, 44), (54, 53, 50), (90, 82, 64), (108, 113, 88), (68, 65, 57), (121, 85, 63), (162, 127, 93), (214, 140, 91)]"
agnolo-bronzino_portrait-of-ferdinando-de-medici.jpg,"[(28, 22, 20), (119, 87, 51)]","[(28, 22, 20), (96, 63, 34), (135, 103, 54), (150, 119, 81)]","[(160, 126, 89), (149, 115, 78), (28, 22, 20), (142, 109, 62), (135, 103, 54), (96, 63, 34), (170, 142, 115), (181, 184, 185)]"
tintoretto_autumn.jpg,"[(36, 22, 16), (178, 158, 143)]","[(191, 189, 187), (36, 22, 16), (143, 95, 63), (189, 160, 135)]","[(200, 152, 108), (202, 183, 165), (191, 189, 187), (172, 129, 94), (182, 177, 174), (143, 95, 63), (19, 12, 9), (52, 31, 23)]"
hans-von-aachen_venus-cupid-and-a-satyr-1598.jpg,"[(18, 13, 8), (117, 87, 55)]","[(18, 13, 8), (80, 47, 21), (131, 100, 54), (176, 152, 125)]","[(63, 37, 18), (148, 110, 62), (114, 91, 46), (18, 13, 8), (97, 58, 24), (161, 136, 104), (184, 156, 130), (199, 179, 162)]"
tintoretto_portrait-of-a-white-bearded-man.jpg,"[(12, 11, 9), (59, 50, 35)]","[(12, 11, 9), (21, 19, 15), (24, 24, 19), (169, 137, 91)]","[(12, 11, 9), (24, 24, 19), (21, 19, 15), (55, 39, 26), (221, 181, 111), (240, 218, 169), (137, 92, 51), (187, 130, 66)]"
paolo-veronese_nemesis-1561.jpg,"[(100, 74, 59), (202, 185, 173)]","[(69, 50, 41), (202, 185, 173), (118, 79, 61), (145, 117, 94)]","[(212, 196, 183), (225, 213, 204), (129, 111, 96), (118, 79, 61), (162, 122, 92), (185, 166, 152), (58, 33, 26), (80, 67, 55)]"
tintoretto_allegory-of-goodness.jpg,"[(73, 44, 30), (171, 135, 108)]","[(154, 97, 54), (189, 173, 162), (51, 27, 21), (94, 60, 40)]","[(188, 188, 191), (21, 16, 15), (140, 83, 46), (81, 39, 26), (167, 110, 62), (94, 60, 40), (185, 134, 95), (194, 180, 171)]"
giuseppe-arcimboldo_summer.jpg,"[(27, 25, 24), (115, 92, 65)]","[(27, 25, 24), (81, 63, 49), (129, 99, 65), (170, 141, 98)]","[(27, 25, 24), (195, 162, 114), (183, 145, 90), (148, 122, 85), (210, 189, 153), (129, 99, 65), (66, 56, 45), (96, 70, 53)]"
tintoretto_portrait-of-a-collector-1565.jpg,"[(18, 17, 15), (78, 73, 70)]","[(18, 17, 15), (39, 35, 32), (84, 77, 75), (151, 145, 138)]","[(64, 63, 65), (144, 145, 147), (18, 17, 15), (105, 92, 85), (130, 122, 114), (39, 35, 32), (195, 174, 155), (205, 204, 197)]"
cristovao-de-figueiredo_b-n-o-de-santa-auta-em-lisboa-1520.jpg,"[(66, 45, 27), (173, 132, 85)]","[(146, 88, 42), (66, 45, 27), (181, 148, 93), (218, 204, 161)]","[(23, 22, 19), (60, 33, 23), (161, 140, 89), (200, 155, 98), (91, 62, 33), (146, 88, 42), (204, 191, 147), (232, 217, 175)]"
paolo-veronese_portrait-of-a-young-man-in-black-1580.jpg,"[(25, 24, 20), (62, 50, 39)]","[(25, 24, 20), (44, 39, 33), (56, 47, 39), (104, 76, 52)]","[(25, 24, 20), (44, 39, 33), (56, 47, 39), (135, 102, 67), (110, 70, 42), (74, 58, 46), (171, 121, 70), (191, 144, 91)]"
giorgio-vasari_pope-leo-x-appointing-cardinals.jpg,"[(120, 91, 68), (184, 156, 134)]","[(140, 108, 84), (101, 73, 52), (170, 140, 115), (197, 173, 153)]","[(98, 69, 49), (115, 84, 61), (170, 140, 115), (188, 162, 140), (206, 184, 166), (140, 108, 84), (68, 48, 32), (85, 59, 41)]"
jacopo-pontormo_study-of-a-girl-pouring-from-a-jug.jpg,"[(184, 145, 103), (210, 198, 170)]","[(192, 167, 132), (210, 198, 170), (169, 105, 56), (185, 142, 94)]","[(202, 185, 158), (192, 167, 132), (168, 102, 52), (176, 119, 68), (157, 81, 35), (185, 142, 94), (205, 192, 172), (233, 229, 194)]"
