ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
maerten-van-heemskerck_self-portrait.jpg,2d2e2c,4c453a,2d2e2c,363532,444139,7f674d,2d2e2c,363532,5a5240,6c7158,444139,79553f,a27f5d,d68c5b
agnolo-bronzino_portrait-of-ferdinando-de-medici.jpg,1c1614,775733,1c1614,603f22,876736,967751,a07e59,95734e,1c1614,8e6d3e,876736,603f22,aa8e73,b5b8b9
tintoretto_autumn.jpg,241610,b29e8f,bfbdbb,241610,8f5f3f,bda087,c8986c,cab7a5,bfbdbb,ac815e,b6b1ae,8f5f3f,130c09,341f17
hans-von-aachen_venus-cupid-and-a-satyr-1598.jpg,120d08,755737,120d08,502f15,836436,b0987d,3f2512,946e3e,725b2e,120d08,613a18,a18868,b89c82,c7b3a2
tintoretto_portrait-of-a-white-bearded-man.jpg,0c0b09,3b3223,0c0b09,15130f,181813,a9895b,0c0b09,181813,15130f,37271a,ddb56f,f0daa9,895c33,bb8242
paolo-veronese_nemesis-1561.jpg,644a3b,cab9ad,453229,cab9ad,764f3d,91755e,d4c4b7,e1d5cc,816f60,764f3d,a27a5c,b9a698,3a211a,504337
tintoretto_allegory-of-goodness.jpg,492c1e,ab876c,9a6136,bdada2,331b15,5e3c28,bcbcbf,15100f,8c532e,51271a,a76e3e,5e3c28,b9865f,c2b4ab
giuseppe-arcimboldo_summer.jpg,1b1918,735c41,1b1918,513f31,816341,aa8d62,1b1918,c3a272,b7915a,947a55,d2bd99,816341,42382d,604635
tintoretto_portrait-of-a-collector-1565.jpg,12110f,4e4946,12110f,272320,544d4b,97918a,403f41,909193,12110f,695c55,827a72,272320,c3ae9b,cdccc5
cristovao-de-figueiredo_b-n-o-de-santa-auta-em-lisboa-1520.jpg,422d1b,ad8455,92582a,422d1b,b5945d,dacca1,171613,3c2117,a18c59,c89b62,5b3e21,92582a,ccbf93,e8d9af
paolo-veronese_portrait-of-a-young-man-in-black-1580.jpg,191814,3e3227,191814,2c2721,382f27,684c34,191814,2c2721,382f27,876643,6e462a,4a3a2e,ab7946,bf905b
giorgio-vasari_pope-leo-x-appointing-cardinals.jpg,785b44,b89c86,8c6c54,654934,aa8c73,c5ad99,624531,73543d,aa8c73,bca28c,ceb8a6,8c6c54,443020,553b29
jacopo-pontormo_study-of-a-girl-pouring-from-a-jug.jpg,b89167,d2c6aa,c0a784,d2c6aa,a96938,b98e5e,cab99e,c0a784,a86634,b07744,9d5123,b98e5e,cdc0ac,e9e5c2
jacopo-pontormo_zwei-der-vier-evangelisten-tondi-der-capponi-kapelle-in-santa-felicita-in-florenz-szene0-hl-1525.jpg,82634f,efe6da,bb8f6e,efe6da,242222,704b3d,fdfdfd,242222,8e6551,52312a,d1b998,bb8f6e,ebd5b8,fbf9f7
giuseppe-arcimboldo_flora-1588(1).jpg,381d24,85584d,381d24,62322f,935d4d,be9d8a,4f2c2c,7c554c,381d24,a78074,ab654d,d4baa0,643733,873a30
giorgio-vasari_allegory-of-the-immaculate-conception.jpg,1d1911,8c5e38,1d1911,67452a,9c633b,c58b51,9c633b,b67f4f,7e583a,d59653,1d1911,5e3b1f,57412f,70492f
