ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
jean-degottex_media-vii.jpg,3f3f39,4d4b46,46443f,3f3f39,4e4d48,5a5852,403f3a,43433d,57554f,46443f,4e4d48,5d5b55,32322e,3a3b35
richard-serra_circuit-ii-1972.jpg,353533,929392,70716f,353533,a3a4a3,c6c8c8,7f7f7e,b1b3b2,949594,2c2c2a,3e3e3c,626260,c3c5c5,c9cacb
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
mira-schendel_untitled-from-cadernos-series-1971.jpg,080d0d,979897,080d0d,dddcdb,080d0e,9c9b9a,080e0e,080d0e,080d0d,d2d2d1,dddcdb,b1ada9,0c0f10,4b4946
rodolfo-arico_lotto-di-tre-opere.jpg,4e6390,d7d9e0,e6e7eb,4e6390,b6bbca,dadbe0,dadbe0,d3d4d9,e6e7eb,475e8f,caccd1,6878a4,4e6496,5d6c8e
yves-klein_untitled-blue-monochrome-1955.jpg,101969,253180,141e75,101969,17237a,58639d,141e75,101969,17237a,1b287d,323a76,e6ecef,394a9b,757fa7
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
rodolfo-arico_untitled-1966-1.jpg,bc5143,e2dedb,e2dedb,b41806,b74637,d2ceca,e2dedb,d2ceca,b41806,c1b7b1,bb2815,bb3024,837063,aa7e72
alighiero-boetti_cubo-1968.jpg,9d9a8e,dcdfdf,dcdfdf,baae97,6e7471,929898,929898,858883,b1b0aa,6a6f67,425359,dcdfdf,c6a571,c3b498
jo-baer_h-arcuata-1971(1).jpg,dbd3c6,e3e3e2,e3e3e2,e3ded1,c5b6aa,dfd9ce,d9d3d0,e4e1d6,e3e3e2,dfd9ce,e3dbcb,8c7b69,ce9c81,dcd2bf
keith-sonnier_syzygy-transmitter-1992.jpg,656b67,7d8684,6f7679,656b67,76817d,9faaa2,76817d,6f7679,828f81,6c746c,969e9c,5e6262,d8e0d9,eff4f7
luciano-bartolini_untitled-1973-3.jpg,b0adb2,ebdcc8,c6d3e0,9b8783,edcba0,eaeef0,eaeef0,e8eae8,596e9e,c4643e,a7a599,c6d3e0,f29922,f0bf8d
edward-corbett_washington-d-c-1968-1968.jpg,0a180d,172919,0a180d,102013,16281a,283d27,253a2a,16281a,0a180d,102013,30462c,20341e,324538,616e40
gene-davis_carousel-1980.jpg,b7af94,c5c3af,bab8a2,b7af94,c5c2ae,dbd8c8,c1c1ad,dbd8c8,bab296,c0bda7,b4ad92,bab8a2,cdc9b6,d6d3c2
andrei-cadere_square-wooden-bar.jpg,928675,a49583,a59b8a,a3907c,8a7c6b,9a8f7e,9e9382,a09483,a29686,9a8f7e,a59b8a,8a7c6b,ba5519,a7866a
daniel-buren_peinture-acrylique-blanche-sur-tissu-ray-blanc-et-orange-1967.jpg,998680,d0b9a4,a1a2aa,d0b9a4,7d6257,a67357,d2d1cf,8e6a59,a67357,6d6c73,a1a2aa,cea17a,533c33,82533d
bruce-nauman_raw-war-1971.jpg,383531,585551,3a3836,383531,453e39,a6a5a0,eff4f0,f2f5f2,3a3836,5e5953,453e39,383531,e0dad2,eef1ec
tony-smith_die-1968.jpg,784320,ccbbb1,e2dfe0,784320,9f6f4d,cfbfb8,e2dfe0,bd9883,6b3c1d,cfbfb8,b97744,844b23,82502f,835b40
ronald-davis_small-aqua-1965.jpg,a7d2d6,f6f8f7,f6f8f7,f6f8f7,1494a2,9ec6cb,f6f8f7,f6f8f7,2999a7,b2b7b7,1494a2,e9ebea,4899a1,48a3af
walter-darby-bannard_the-sheet-1960.jpg,8e8581,e1dfde,e1dfde,cfc6c3,14100e,88786f,e1dfde,856d62,b1a69f,cfc6c3,988577,14100e,433a37,64564e
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,514e2e,aea585,90845f,514e2e,c0b48a,d9d8ce,666936,393927,d9d8ce,564f32,928938,c0b48a,806f52,a1986b
jean-degottex_hagakure-x-1958.jpg,363734,4b504d,3d413e,363734,414642,707674,414642,3d413e,494e4b,d6dfe0,363734,adb8bc,626761,787c77
joan-hernandez-pijuan_untitled-1969.jpg,3e3f40,535351,4b4b4a,3e3f40,515251,66635e,595855,515251,6b6761,4b4b4a,635f58,3e3f40,7b7367,b2b1aa
joaquã­n-sorolla_children-in-the-sea-1909.jpg,616774,7b8094,6a738d,8b8c9c,546072,6e6e76,59667c,7f8096,6a738d,898c9e,505a69,6e6e76,9f9d9b,abaeb3
angelo-de-sousa_unknown-title-1966.jpg,a4a299,edeeed,edeeed,dfded9,272722,aca58e,edeeed,171815,aa9d77,877f65,dfded9,c0bcad,292a25,464439
joaquã­n-sorolla_the-relic-1893.jpg,704232,c07c52,b16743,704232,ce8850,d29c6f,cf9873,ce8850,90513b,cd9062,b16743,deb587,3a2924,673b30
pierre-soulages_peinture-19-mai-1982-1982.jpg,2a252e,4e5d8b,45527c,2a252e,4f5d8c,5f73a7,566ba3,596fa8,51679e,4f5d8c,45527c,2a252e,8393b9,dce1e6
anne-truitt_swannanoa-2002.jpg,b3916c,e8e9eb,e8e9eb,b9aeae,856042,d58910,e8e9eb,8b7777,d6d2d1,6f5951,d58910,9b6733,9a8787,bfb5bc
andrei-cadere_round-wooden-bar-2.jpg,a4a3a2,bfbfbe,b5b6b6,bfbfbe,7a7776,aca9a6,bdbdbf,c2c2c3,b5b6b6,aeb0af,7a7776,a9a39c,bcb6ab,bcbcbc
sean-scully_untitled-1973.jpg,6fb745,e3deb0,ecefe0,6fb745,cdc86d,e7d394,ecefe0,82b93f,89bf4f,58b344,e0d390,eed397,b2c461,e8cb79
pierre-soulages_gouache-2004-b-7-2004.jpg,18191c,b4b1ad,eeebe5,18191c,212224,d1ccc5,e7e2dc,e1dbd1,eeebe5,18191c,212224,bbb6af,5d5855,86807b
robert-ryman_bent-line-drawing.jpg,e6ebe0,e7ece6,e8ece2,e7ece6,e3e7dd,e6ebe0,e7eae0,e6ebe0,e5eadf,e8ece2,e7ece6,e2e8df,cacfc7,d6dbd2
sol-lewitt_untitled.jpg,d5d5cf,ebedea,ebedea,e5e6e2,a7a89e,e1e1da,ebedea,e5e6e2,dbdbd5,bda386,e1e1da,5c6d6a,8ea9a9,c5c2bd
