ObjectID,cut_2,cut_4,cut_8
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
marc-chagall_untitled-1973-2.jpg,"[(223, 224, 222), (233, 241, 236)]","[(233, 241, 236), (228, 236, 230), (208, 193, 199), (226, 232, 229)]","[(233, 241, 236), (228, 236, 230), (226, 232, 229), (221, 221, 221), (198, 173, 170), (201, 190, 199), (184, 101, 114), (182, 111, 160)]"
grandma-moses_the-rainbow-1961.jpg,"[(65, 79, 29), (172, 176, 126)]","[(200, 211, 192), (65, 79, 29), (134, 121, 42), (156, 162, 76)]","[(92, 118, 30), (68, 79, 34), (134, 121, 42), (156, 162, 76), (48, 58, 17), (99, 125, 65), (177, 194, 176), (222, 228, 209)]"
william-h.-johnson_caf-1940.jpg,"[(70, 54, 65), (181, 188, 184)]","[(194, 205, 206), (70, 54, 65), (161, 156, 141), (175, 185, 184)]","[(29, 18, 21), (113, 65, 22), (70, 68, 109), (161, 173, 175), (175, 185, 184), (194, 205, 206), (156, 117, 62), (167, 159, 152)]"
fernando-botero_the-captain.jpg,"[(37, 30, 27), (186, 157, 108)]","[(37, 30, 27), (152, 114, 57), (201, 169, 112), (240, 229, 205)]","[(12, 12, 17), (240, 229, 205), (222, 188, 126), (162, 130, 65), (62, 48, 37), (142, 98, 50), (165, 146, 106), (195, 155, 92)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
henri-rousseau_view-of-the-outskirts-of-paris-1896.jpg,"[(109, 80, 58), (177, 161, 120)]","[(139, 112, 78), (177, 161, 120), (48, 33, 30), (111, 65, 47)]","[(189, 161, 106), (179, 176, 143), (134, 95, 62), (111, 65, 47), (48, 33, 30), (162, 132, 89), (141, 123, 86), (149, 135, 100)]"
marc-chagall_a-little-angel-1957.jpg,"[(210, 208, 191), (222, 221, 205)]","[(220, 218, 200), (222, 221, 205), (180, 179, 164), (219, 217, 199)]","[(219, 217, 199), (220, 218, 200), (217, 216, 198), (61, 63, 59), (222, 221, 205), (197, 195, 178), (95, 94, 84), (139, 139, 126)]"
kazimir-malevich_peasant-women-in-a-church-1912.jpg,"[(87, 88, 85), (185, 186, 183)]","[(185, 186, 183), (129, 130, 126), (25, 26, 23), (67, 68, 64)]","[(122, 123, 119), (101, 102, 97), (147, 148, 143), (172, 173, 170), (25, 26, 23), (197, 199, 197), (56, 57, 53), (78, 79, 75)]"
fernando-botero_the-cascade.jpg,"[(82, 66, 57), (163, 162, 128)]","[(141, 135, 102), (185, 189, 153), (57, 44, 42), (106, 88, 71)]","[(163, 166, 133), (57, 44, 42), (95, 79, 66), (224, 230, 199), (191, 194, 146), (118, 97, 76), (130, 123, 97), (153, 148, 108)]"
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,"[(74, 76, 63), (162, 157, 146)]","[(132, 128, 116), (74, 76, 63), (177, 168, 154), (205, 204, 198)]","[(184, 179, 167), (53, 59, 54), (78, 82, 68), (205, 204, 198), (170, 157, 140), (113, 103, 77), (116, 113, 103), (148, 143, 128)]"
joaquã­n-sorolla_street-in-granada.jpg,"[(149, 120, 97), (215, 189, 165)]","[(220, 212, 202), (210, 167, 128), (138, 96, 59), (160, 144, 136)]","[(220, 212, 202), (166, 149, 136), (190, 160, 135), (93, 109, 137), (175, 113, 65), (100, 79, 53), (208, 153, 107), (213, 181, 148)]"
niko-pirosmani_robber-with-a-stolen-horse.jpg,"[(36, 54, 58), (117, 127, 108)]","[(94, 99, 74), (36, 54, 58), (104, 134, 134), (177, 178, 151)]","[(40, 55, 56), (31, 37, 33), (71, 79, 64), (104, 134, 134), (40, 87, 108), (116, 118, 85), (165, 164, 128), (188, 192, 174)]"
fernand-leger_stalingrad-2.jpg,"[(46, 43, 60), (183, 155, 159)]","[(214, 211, 220), (152, 100, 98), (31, 20, 21), (61, 65, 99)]","[(59, 49, 55), (31, 20, 21), (141, 43, 39), (141, 77, 78), (63, 82, 143), (164, 140, 137), (196, 189, 202), (233, 232, 238)]"
david-burliuk_mount-zion-israel(1).jpg,"[(100, 108, 87), (159, 132, 91)]","[(91, 73, 42), (109, 143, 132), (151, 113, 66), (167, 151, 116)]","[(115, 162, 158), (169, 137, 93), (166, 166, 138), (151, 113, 66), (110, 91, 49), (104, 125, 107), (52, 42, 29), (94, 67, 39)]"
camille-bombois_port-de-boulogne-1927.jpg,"[(155, 129, 85), (205, 196, 195)]","[(119, 98, 70), (191, 159, 100), (187, 170, 165), (224, 221, 226)]","[(123, 86, 57), (224, 221, 226), (205, 176, 101), (141, 121, 80), (177, 141, 100), (70, 65, 63), (172, 162, 161), (202, 178, 168)]"
niko-pirosmani_goat.jpg,"[(24, 28, 22), (176, 163, 122)]","[(209, 196, 168), (24, 28, 22), (118, 106, 60), (166, 154, 94)]","[(12, 14, 16), (227, 212, 184), (192, 180, 151), (128, 114, 78), (37, 41, 28), (107, 98, 42), (153, 148, 87), (180, 161, 101)]"
seraphine-louis_le-bouquet-de-feuilles.jpg,"[(29, 52, 63), (143, 100, 78)]","[(29, 52, 63), (116, 73, 51), (156, 98, 83), (185, 156, 126)]","[(202, 140, 89), (163, 130, 94), (165, 158, 145), (211, 198, 176), (156, 98, 83), (29, 52, 63), (90, 60, 46), (142, 86, 55)]"
jules-lefranc_le-pont-marie.jpg,"[(92, 91, 82), (176, 176, 156)]","[(185, 186, 168), (167, 166, 144), (67, 64, 60), (118, 118, 105)]","[(55, 56, 56), (83, 85, 82), (113, 111, 98), (185, 186, 168), (138, 138, 120), (79, 71, 63), (160, 158, 136), (175, 174, 151)]"
marc-chagall_rainbow-in-the-sky-a-sign-of-covenant-between-god-and-earth-1931.jpg,"[(59, 57, 53), (113, 108, 99)]","[(59, 57, 53), (97, 90, 76), (106, 104, 100), (154, 149, 144)]","[(148, 147, 153), (81, 80, 75), (139, 132, 121), (59, 57, 53), (106, 104, 100), (112, 100, 76), (175, 170, 167), (203, 201, 196)]"
henri-rousseau_bouquet-of-flowers-1910.jpg,"[(100, 105, 108), (143, 138, 137)]","[(130, 119, 121), (100, 105, 108), (140, 142, 143), (171, 172, 163)]","[(128, 130, 139), (111, 120, 129), (105, 111, 112), (171, 172, 163), (140, 142, 143), (72, 70, 61), (140, 93, 78), (124, 125, 130)]"
andre-bauchant_greek-dance-in-a-landscape-1937.jpg,"[(121, 90, 77), (185, 169, 144)]","[(164, 136, 95), (207, 203, 193), (104, 80, 72), (138, 100, 81)]","[(232, 244, 237), (101, 71, 61), (138, 100, 81), (164, 136, 95), (227, 219, 207), (184, 175, 164), (106, 84, 76), (108, 93, 91)]"
diego-rivera_zapata-1931.jpg,"[(136, 108, 63), (209, 190, 144)]","[(174, 140, 84), (97, 77, 41), (199, 174, 118), (218, 206, 171)]","[(231, 220, 182), (185, 167, 123), (213, 180, 113), (123, 107, 59), (205, 193, 159), (174, 140, 84), (48, 32, 18), (93, 62, 30)]"
kateryna-bilokur_flowers-1959.jpg,"[(67, 74, 59), (187, 182, 127)]","[(187, 190, 161), (187, 174, 94), (42, 49, 39), (91, 99, 79)]","[(76, 80, 60), (42, 49, 39), (156, 139, 91), (163, 165, 151), (219, 210, 96), (106, 118, 97), (209, 213, 138), (214, 217, 205)]"
marc-chagall_king-solomon-with-harp-1965.jpg,"[(168, 138, 85), (208, 188, 138)]","[(192, 161, 93), (208, 188, 138), (119, 94, 70), (171, 134, 84)]","[(206, 175, 101), (191, 155, 78), (210, 201, 175), (193, 167, 109), (94, 79, 64), (144, 110, 76), (170, 125, 69), (171, 143, 99)]"
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,"[(103, 96, 64), (179, 172, 149)]","[(75, 77, 57), (131, 115, 70), (147, 139, 109), (212, 205, 190)]","[(221, 219, 212), (126, 125, 74), (163, 137, 72), (117, 99, 68), (75, 77, 57), (147, 139, 109), (198, 179, 137), (207, 204, 198)]"
jules-lefranc_la-mer-cote-de-la-manche.jpg,"[(95, 92, 82), (179, 179, 155)]","[(121, 123, 113), (69, 61, 51), (166, 162, 137), (193, 195, 173)]","[(44, 42, 40), (112, 110, 100), (131, 136, 126), (157, 147, 125), (175, 178, 150), (193, 195, 173), (91, 64, 53), (99, 94, 74)]"
fernando-botero_matador-1.jpg,"[(119, 78, 30), (179, 174, 173)]","[(71, 73, 29), (166, 84, 32), (164, 143, 132), (194, 204, 214)]","[(162, 180, 210), (194, 209, 231), (71, 73, 29), (166, 84, 32), (116, 116, 105), (194, 200, 197), (194, 102, 51), (184, 177, 165)]"
marc-chagall_the-street-in-vitebsk-1914.jpg,"[(66, 51, 41), (170, 152, 132)]","[(66, 51, 41), (129, 95, 63), (183, 175, 166), (241, 241, 237)]","[(241, 241, 237), (120, 80, 49), (137, 111, 76), (153, 145, 134), (46, 34, 28), (86, 68, 54), (207, 196, 185), (218, 214, 212)]"
maria-primachenko_another-beast-has-run-into-flowers-1983.jpg,"[(152, 123, 71), (248, 170, 74)]","[(250, 188, 50), (247, 153, 98), (91, 128, 68), (212, 118, 75)]","[(242, 93, 125), (83, 120, 37), (218, 78, 93), (251, 212, 71), (250, 188, 50), (207, 159, 57), (89, 111, 115), (110, 160, 83)]"
arman-manookian_ricefields.jpg,"[(183, 151, 55), (165, 165, 162)]","[(231, 200, 41), (135, 101, 69), (133, 139, 155), (197, 190, 168)]","[(211, 199, 150), (216, 218, 206), (180, 171, 159), (111, 92, 73), (158, 110, 66), (133, 139, 155), (220, 189, 46), (241, 210, 37)]"
marc-chagall_the-creation-of-man-2.jpg,"[(113, 112, 107), (149, 154, 163)]","[(83, 90, 105), (143, 135, 109), (117, 129, 147), (181, 179, 178)]","[(149, 149, 157), (117, 129, 147), (142, 138, 114), (120, 114, 113), (190, 172, 95), (214, 209, 200), (79, 78, 85), (87, 101, 125)]"
henri-rousseau_the-repast-of-the-lion-1907.jpg,"[(36, 60, 18), (123, 130, 81)]","[(36, 60, 18), (98, 101, 27), (120, 132, 99), (176, 186, 173)]","[(89, 104, 31), (71, 94, 28), (95, 110, 64), (176, 186, 173), (160, 111, 20), (145, 155, 134), (28, 52, 11), (44, 69, 25)]"
tarsila-do-amaral_a-negra-1923.jpg,"[(189, 90, 21), (142, 102, 73)]","[(229, 105, 18), (148, 75, 24), (89, 65, 56), (196, 138, 90)]","[(206, 91, 22), (229, 105, 18), (181, 94, 37), (185, 131, 59), (89, 65, 56), (234, 233, 228), (34, 49, 24), (147, 69, 27)]"
william-h.-johnson_operation-room-1942(1).jpg,"[(179, 119, 90), (197, 173, 179)]","[(141, 86, 85), (218, 152, 96), (180, 140, 158), (214, 206, 200)]","[(216, 150, 147), (225, 172, 105), (145, 130, 169), (214, 206, 200), (111, 78, 88), (210, 131, 87), (170, 65, 68), (172, 125, 95)]"
andre-bauchant_grand-bouquet-of-wild-flowers-1928.jpg,"[(53, 57, 53), (85, 96, 79)]","[(65, 77, 64), (53, 57, 53), (83, 90, 66), (129, 138, 120)]","[(74, 87, 66), (65, 77, 64), (143, 142, 122), (96, 112, 95), (53, 57, 53), (92, 92, 67), (173, 173, 152), (189, 195, 180)]"
edith-vonnegut_garden-hose.jpg,"[(72, 68, 50), (192, 154, 105)]","[(184, 124, 62), (200, 183, 147), (35, 30, 20), (109, 107, 80)]","[(130, 151, 146), (200, 166, 115), (201, 199, 179), (99, 80, 44), (108, 117, 85), (184, 124, 62), (18, 19, 15), (53, 41, 25)]"
marc-chagall_david-and-bathsheba-1952.jpg,"[(145, 126, 113), (235, 223, 208)]","[(235, 223, 208), (193, 172, 156), (60, 45, 38), (133, 114, 102)]","[(37, 26, 21), (146, 129, 116), (205, 187, 171), (121, 100, 87), (82, 64, 54), (235, 223, 208), (172, 147, 131), (189, 168, 150)]"
henri-rousseau_scout-attacked-by-a-tiger-1904.jpg,"[(43, 29, 22), (135, 137, 99)]","[(43, 29, 22), (100, 96, 56), (130, 137, 91), (210, 217, 191)]","[(80, 83, 55), (216, 230, 220), (122, 129, 76), (119, 109, 57), (43, 29, 22), (138, 145, 107), (203, 192, 126), (206, 218, 196)]"
marc-chagall_noah-lets-go-the-dove-through-the-window-of-the-ark-genesis-viii-6-9-1931.jpg,"[(77, 75, 69), (164, 154, 141)]","[(148, 133, 111), (77, 75, 69), (164, 159, 153), (196, 192, 188)]","[(187, 181, 172), (164, 159, 153), (205, 203, 203), (98, 94, 86), (158, 142, 117), (137, 124, 104), (45, 46, 45), (67, 65, 59)]"
william-h.-johnson_new-born-babe-1939(1).jpg,"[(171, 121, 80), (205, 169, 173)]","[(198, 156, 92), (143, 87, 68), (173, 144, 156), (236, 195, 190)]","[(153, 77, 61), (215, 161, 163), (171, 100, 69), (132, 126, 150), (198, 156, 92), (79, 69, 73), (235, 168, 159), (237, 222, 221)]"
marc-chagall_gogol-and-chagall.jpg,"[(168, 167, 168), (235, 237, 237)]","[(235, 237, 237), (216, 217, 217), (72, 69, 71), (167, 167, 167)]","[(116, 113, 115), (235, 237, 237), (87, 83, 86), (216, 217, 217), (184, 184, 184), (150, 150, 150), (31, 26, 29), (56, 52, 54)]"
martiros-saryan_the-emblem-of-the-union-of-armenian-artists-1916.jpg,"[(160, 159, 153), (204, 204, 198)]","[(195, 196, 190), (204, 204, 198), (88, 85, 80), (160, 159, 154)]","[(195, 196, 190), (204, 204, 198), (91, 88, 82), (74, 71, 67), (112, 110, 104), (176, 176, 170), (134, 133, 127), (154, 153, 148)]"
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,"[(81, 78, 46), (174, 165, 133)]","[(144, 132, 95), (81, 78, 46), (192, 180, 138), (217, 216, 206)]","[(102, 105, 54), (57, 57, 39), (217, 216, 206), (86, 79, 50), (146, 137, 56), (192, 180, 138), (128, 111, 82), (161, 152, 107)]"
lyonel-feininger_town-gate-ribnitz-das-tor-ribnitz-1918.jpg,"[(169, 142, 77), (228, 212, 171)]","[(221, 181, 91), (228, 212, 171), (54, 54, 46), (182, 151, 79)]","[(230, 224, 205), (220, 179, 86), (54, 54, 46), (221, 183, 97), (209, 174, 91), (154, 128, 66), (225, 184, 92), (228, 215, 183)]"
diego-rivera_portrait-of-the-young-girl-elenita-carrillo-flores-1952.jpg,"[(101, 91, 33), (193, 146, 57)]","[(195, 109, 27), (101, 91, 33), (190, 177, 58), (193, 189, 118)]","[(53, 28, 11), (99, 64, 17), (190, 177, 58), (131, 151, 72), (195, 109, 27), (193, 189, 118), (102, 118, 36), (141, 120, 31)]"
horace-pippin_christmas-morning-breakfast.jpg,"[(105, 102, 88), (208, 216, 220)]","[(208, 216, 220), (162, 152, 130), (23, 22, 19), (75, 82, 70)]","[(153, 123, 69), (208, 216, 220), (157, 134, 96), (60, 66, 51), (90, 97, 90), (23, 22, 19), (158, 162, 162), (182, 188, 194)]"
marc-chagall_the-creation-of-man-1959.jpg,"[(97, 84, 81), (152, 140, 137)]","[(130, 120, 121), (174, 161, 153), (76, 67, 68), (119, 100, 95)]","[(159, 142, 136), (138, 129, 127), (182, 168, 152), (122, 111, 114), (196, 191, 190), (119, 100, 95), (60, 52, 54), (91, 83, 82)]"
maria-primachenko_wild-bull-and-raven-are-friends-1983.jpg,"[(174, 137, 72), (181, 190, 124)]","[(241, 188, 78), (108, 87, 66), (117, 143, 133), (246, 237, 115)]","[(246, 232, 83), (235, 144, 73), (144, 197, 122), (134, 117, 67), (89, 89, 144), (82, 56, 65), (239, 221, 119), (253, 254, 112)]"
raoul-dufy_the-grid-1930.jpg,"[(56, 63, 96), (113, 107, 127)]","[(110, 118, 164), (56, 63, 96), (112, 76, 84), (118, 117, 95)]","[(64, 74, 139), (92, 99, 156), (48, 52, 53), (87, 82, 93), (118, 117, 95), (137, 71, 75), (110, 126, 164), (148, 151, 179)]"
marc-chagall_fiancee-with-bouquet-1977.jpg,"[(164, 70, 38), (145, 121, 132)]","[(126, 62, 39), (201, 78, 38), (102, 103, 130), (189, 140, 133)]","[(198, 67, 32), (178, 99, 86), (207, 214, 227), (191, 147, 133), (204, 89, 44), (126, 62, 39), (103, 80, 87), (100, 125, 173)]"
fernand-leger_the-dancers-yellow-background-1954.jpg,"[(138, 124, 86), (236, 212, 156)]","[(74, 66, 43), (201, 181, 129), (235, 191, 97), (236, 233, 216)]","[(235, 172, 43), (236, 233, 216), (49, 44, 27), (208, 204, 182), (99, 88, 59), (194, 159, 75), (236, 191, 93), (234, 229, 208)]"
joaquã­n-sorolla_children-in-the-sea-1909.jpg,"[(97, 103, 116), (123, 128, 148)]","[(106, 115, 141), (139, 140, 156), (84, 96, 114), (110, 110, 118)]","[(89, 102, 124), (127, 128, 150), (106, 115, 141), (137, 140, 158), (80, 90, 105), (110, 110, 118), (159, 157, 155), (171, 174, 179)]"
marc-chagall_the-blue-nymph-1962.jpg,"[(140, 139, 131), (235, 223, 197)]","[(184, 180, 165), (235, 223, 197), (62, 66, 67), (130, 130, 126)]","[(241, 233, 208), (38, 43, 49), (178, 172, 151), (87, 89, 85), (229, 214, 187), (191, 188, 179), (113, 117, 119), (147, 143, 133)]"
yiannis-tsaroychis_illustration-for-cavafy-s-poem-lovely-white-flowers-1964.jpg,"[(139, 120, 87), (189, 178, 153)]","[(203, 193, 170), (174, 162, 135), (107, 96, 75), (171, 143, 100)]","[(171, 143, 100), (187, 171, 137), (141, 118, 84), (178, 162, 129), (74, 73, 66), (203, 193, 170), (124, 132, 142), (168, 156, 131)]"
william-h.-johnson_chain-gang-1939.jpg,"[(101, 73, 19), (169, 162, 143)]","[(42, 50, 24), (160, 95, 15), (92, 93, 76), (245, 232, 211)]","[(245, 239, 235), (42, 50, 24), (48, 73, 44), (246, 225, 186), (124, 79, 55), (150, 147, 161), (101, 46, 25), (218, 143, 5)]"
kateryna-bilokur_mallows-1950.jpg,"[(54, 107, 90), (124, 156, 116)]","[(135, 168, 145), (54, 107, 90), (101, 128, 83), (125, 161, 91)]","[(43, 96, 70), (101, 128, 83), (153, 175, 129), (64, 118, 111), (171, 196, 186), (108, 151, 133), (109, 153, 90), (140, 170, 92)]"
