ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
marc-chagall_untitled-1973-2.jpg,dfe0de,e9f1ec,e9f1ec,e4ece6,d0c1c7,e2e8e5,e9f1ec,e4ece6,e2e8e5,dddddd,c6adaa,c9bec7,b86572,b66fa0
grandma-moses_the-rainbow-1961.jpg,414f1d,acb07e,c8d3c0,414f1d,86792a,9ca24c,5c761e,444f22,86792a,9ca24c,303a11,637d41,b1c2b0,dee4d1
william-h.-johnson_caf-1940.jpg,463641,b5bcb8,c2cdce,463641,a19c8d,afb9b8,1d1215,714116,46446d,a1adaf,afb9b8,c2cdce,9c753e,a79f98
fernando-botero_the-captain.jpg,251e1b,ba9d6c,251e1b,987239,c9a970,f0e5cd,0c0c11,f0e5cd,debc7e,a28241,3e3025,8e6232,a5926a,c39b5c
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
henri-rousseau_view-of-the-outskirts-of-paris-1896.jpg,6d503a,b1a178,8b704e,b1a178,30211e,6f412f,bda16a,b3b08f,865f3e,6f412f,30211e,a28459,8d7b56,958764
marc-chagall_a-little-angel-1957.jpg,d2d0bf,deddcd,dcdac8,deddcd,b4b3a4,dbd9c7,dbd9c7,dcdac8,d9d8c6,3d3f3b,deddcd,c5c3b2,5f5e54,8b8b7e
kazimir-malevich_peasant-women-in-a-church-1912.jpg,575855,b9bab7,b9bab7,81827e,191a17,434440,7a7b77,656661,93948f,acadaa,191a17,c5c7c5,383935,4e4f4b
fernando-botero_the-cascade.jpg,524239,a3a280,8d8766,b9bd99,392c2a,6a5847,a3a685,392c2a,5f4f42,e0e6c7,bfc292,76614c,827b61,99946c
