ObjectID,cut_2,cut_4,cut_8
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
william-james-glackens_figures-in-a-park-paris-1895.jpg,"[(63, 51, 45), (144, 110, 71)]","[(63, 51, 45), (113, 78, 52), (144, 123, 80), (207, 161, 100)]","[(212, 160, 96), (97, 71, 51), (198, 148, 84), (130, 85, 54), (219, 188, 137), (144, 123, 80), (55, 40, 36), (71, 61, 54)]"
john-french-sloan_clown-making-up-1909.jpg,"[(54, 44, 27), (137, 103, 56)]","[(54, 44, 27), (121, 75, 32), (121, 97, 53), (184, 164, 107)]","[(128, 78, 32), (96, 61, 31), (54, 44, 27), (166, 100, 32), (121, 97, 53), (207, 187, 131), (139, 132, 86), (184, 148, 80)]"
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,"[(74, 76, 63), (162, 157, 146)]","[(132, 128, 116), (74, 76, 63), (177, 168, 154), (205, 204, 198)]","[(184, 179, 167), (53, 59, 54), (78, 82, 68), (205, 204, 198), (170, 157, 140), (113, 103, 77), (116, 113, 103), (148, 143, 128)]"
george-luks_seated-nude-1905.jpg,"[(64, 43, 25), (174, 136, 102)]","[(64, 43, 25), (197, 187, 148), (153, 57, 29), (148, 116, 84)]","[(45, 35, 20), (210, 203, 167), (132, 111, 81), (184, 171, 130), (165, 120, 87), (153, 57, 29), (73, 39, 21), (93, 65, 41)]"
joaquã­n-sorolla_street-in-granada.jpg,"[(149, 120, 97), (215, 189, 165)]","[(220, 212, 202), (210, 167, 128), (138, 96, 59), (160, 144, 136)]","[(220, 212, 202), (166, 149, 136), (190, 160, 135), (93, 109, 137), (175, 113, 65), (100, 79, 53), (208, 153, 107), (213, 181, 148)]"
michael-bell_the-transfer-2009.jpg,"[(56, 58, 28), (154, 157, 119)]","[(102, 112, 73), (56, 58, 28), (182, 172, 125), (229, 233, 205)]","[(39, 45, 21), (229, 233, 205), (192, 194, 142), (171, 150, 109), (86, 94, 61), (119, 130, 86), (66, 60, 30), (81, 83, 39)]"
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,"[(103, 96, 64), (179, 172, 149)]","[(75, 77, 57), (131, 115, 70), (147, 139, 109), (212, 205, 190)]","[(221, 219, 212), (126, 125, 74), (163, 137, 72), (117, 99, 68), (75, 77, 57), (147, 139, 109), (198, 179, 137), (207, 204, 198)]"
arnold-bã¶cklin_the-isle-of-the-dead-1880 2.jpg,"[(33, 26, 28), (99, 78, 59)]","[(33, 26, 28), (100, 67, 46), (75, 69, 62), (123, 107, 82)]","[(33, 26, 28), (98, 66, 48), (73, 51, 45), (75, 69, 62), (158, 102, 46), (126, 96, 64), (83, 84, 76), (156, 151, 123)]"
arnold-bã¶cklin_the-lamentations-of-mary-magdalene-on-the-body-of-christ-1868 2.jpg,"[(68, 58, 49), (199, 189, 172)]","[(224, 218, 201), (175, 160, 143), (33, 28, 24), (102, 88, 75)]","[(118, 105, 96), (33, 28, 24), (190, 177, 161), (86, 70, 55), (224, 218, 201), (155, 133, 112), (153, 143, 136), (179, 159, 139)]"
michael-bell_the-ring-2008.jpg,"[(120, 88, 66), (195, 192, 178)]","[(76, 76, 58), (164, 99, 74), (164, 168, 157), (225, 216, 199)]","[(124, 117, 96), (137, 79, 58), (223, 77, 45), (173, 123, 98), (164, 168, 157), (76, 76, 58), (216, 200, 180), (234, 232, 219)]"
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,"[(81, 78, 46), (174, 165, 133)]","[(144, 132, 95), (81, 78, 46), (192, 180, 138), (217, 216, 206)]","[(102, 105, 54), (57, 57, 39), (217, 216, 206), (86, 79, 50), (146, 137, 56), (192, 180, 138), (128, 111, 82), (161, 152, 107)]"
william-james-glackens_fruit-stand-coney-island.jpg,"[(127, 121, 97), (214, 204, 167)]","[(163, 155, 124), (90, 87, 70), (207, 195, 153), (220, 212, 181)]","[(170, 170, 143), (220, 212, 181), (109, 110, 90), (207, 195, 153), (148, 123, 94), (166, 157, 115), (56, 45, 39), (88, 84, 61)]"
joaquã­n-sorolla_children-in-the-sea-1909.jpg,"[(97, 103, 116), (123, 128, 148)]","[(106, 115, 141), (139, 140, 156), (84, 96, 114), (110, 110, 118)]","[(89, 102, 124), (127, 128, 150), (106, 115, 141), (137, 140, 158), (80, 90, 105), (110, 110, 118), (159, 157, 155), (171, 174, 179)]"
john-french-sloan_election-night-1907.jpg,"[(35, 31, 35), (124, 105, 91)]","[(35, 31, 35), (97, 69, 58), (112, 104, 99), (190, 177, 150)]","[(70, 56, 56), (86, 89, 99), (35, 31, 35), (137, 119, 98), (179, 158, 116), (125, 82, 61), (171, 171, 170), (230, 222, 197)]"
joaquã­n-sorolla_the-relic-1893.jpg,"[(112, 66, 50), (192, 124, 82)]","[(177, 103, 67), (112, 66, 50), (206, 136, 80), (210, 156, 111)]","[(207, 152, 115), (206, 136, 80), (144, 81, 59), (205, 144, 98), (177, 103, 67), (222, 181, 135), (58, 41, 36), (103, 59, 48)]"
edward-hopper_new-york-restaurant-1.jpg,"[(57, 48, 54), (187, 130, 88)]","[(57, 48, 54), (158, 92, 67), (205, 146, 85), (225, 192, 134)]","[(191, 138, 89), (131, 80, 65), (186, 103, 68), (216, 179, 122), (233, 204, 145), (219, 154, 81), (35, 40, 49), (79, 56, 59)]"
edward-hopper_woman-in-the-sun.jpg,"[(55, 76, 77), (113, 126, 113)]","[(55, 76, 77), (110, 113, 89), (82, 115, 131), (149, 161, 145)]","[(86, 106, 98), (82, 115, 131), (84, 90, 83), (46, 63, 58), (64, 90, 95), (186, 168, 93), (108, 135, 142), (189, 188, 149)]"
eugã¨ne-grasset_inqui-tude 2.jpg,"[(86, 91, 70), (196, 176, 88)]","[(190, 160, 48), (202, 193, 128), (63, 62, 40), (109, 121, 101)]","[(39, 42, 37), (180, 136, 43), (200, 184, 53), (209, 204, 173), (87, 81, 43), (195, 181, 84), (89, 96, 77), (129, 146, 125)]"
john-french-sloan_yeats-at-petitpas-1910.jpg,"[(47, 35, 21), (133, 131, 110)]","[(91, 95, 87), (176, 167, 132), (16, 16, 13), (78, 54, 29)]","[(16, 16, 13), (48, 39, 26), (197, 204, 188), (194, 188, 142), (156, 137, 99), (91, 95, 87), (99, 46, 26), (118, 90, 37)]"
antã³nio-de-carvalho-da-silva-porto_recanto-de-praia.jpg,"[(85, 87, 70), (172, 161, 134)]","[(137, 124, 94), (206, 199, 175), (75, 75, 54), (95, 100, 86)]","[(230, 227, 208), (221, 206, 174), (127, 109, 77), (95, 100, 86), (187, 181, 158), (75, 75, 54), (129, 129, 108), (167, 149, 115)]"
joaquã­n-sorolla_almond-trees-in-asis.jpg,"[(73, 59, 44), (183, 161, 140)]","[(195, 188, 176), (172, 135, 104), (45, 37, 26), (101, 80, 61)]","[(104, 81, 60), (92, 68, 47), (156, 116, 84), (187, 153, 124), (195, 188, 176), (118, 104, 90), (24, 25, 20), (66, 48, 33)]"
eugã¨ne-grasset_la-belle-jardiniere-july-1896 2.jpg,"[(99, 82, 78), (196, 158, 141)]","[(220, 198, 182), (171, 117, 99), (86, 65, 60), (112, 98, 96)]","[(107, 75, 65), (65, 55, 55), (166, 100, 83), (176, 135, 116), (107, 89, 85), (116, 108, 107), (208, 177, 160), (233, 220, 205)]"
ferdinand-georg-waldmã¼ller_the-ruin-of-the-greek-theater-in-taormina-sicily-1844.jpg,"[(130, 119, 111), (195, 171, 127)]","[(162, 166, 177), (99, 72, 45), (200, 154, 73), (190, 188, 181)]","[(166, 178, 200), (207, 168, 84), (60, 44, 34), (190, 188, 181), (137, 100, 56), (192, 139, 63), (145, 143, 147), (170, 164, 162)]"
