ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
william-james-glackens_figures-in-a-park-paris-1895.jpg,3f332d,906e47,3f332d,714e34,907b50,cfa164,d4a060,614733,c69454,825536,dbbc89,907b50,372824,473d36
john-french-sloan_clown-making-up-1909.jpg,362c1b,896738,362c1b,794b20,796135,b8a46b,804e20,603d1f,362c1b,a66420,796135,cfbb83,8b8456,b89450
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
george-luks_seated-nude-1905.jpg,402b19,ae8866,402b19,c5bb94,99391d,947454,2d2314,d2cba7,846f51,b8ab82,a57857,99391d,492715,5d4129
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
michael-bell_the-transfer-2009.jpg,383a1c,9a9d77,667049,383a1c,b6ac7d,e5e9cd,272d15,e5e9cd,c0c28e,ab966d,565e3d,778256,423c1e,515327
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
arnold-bã¶cklin_the-isle-of-the-dead-1880 2.jpg,211a1c,634e3b,211a1c,64432e,4b453e,7b6b52,211a1c,624230,49332d,4b453e,9e662e,7e6040,53544c,9c977b
arnold-bã¶cklin_the-lamentations-of-mary-magdalene-on-the-body-of-christ-1868 2.jpg,443a31,c7bdac,e0dac9,afa08f,211c18,66584b,766960,211c18,beb1a1,564637,e0dac9,9b8570,998f88,b39f8b
michael-bell_the-ring-2008.jpg,785842,c3c0b2,4c4c3a,a4634a,a4a89d,e1d8c7,7c7560,894f3a,df4d2d,ad7b62,a4a89d,4c4c3a,d8c8b4,eae8db
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,514e2e,aea585,90845f,514e2e,c0b48a,d9d8ce,666936,393927,d9d8ce,564f32,928938,c0b48a,806f52,a1986b
william-james-glackens_fruit-stand-coney-island.jpg,7f7961,d6cca7,a39b7c,5a5746,cfc399,dcd4b5,aaaa8f,dcd4b5,6d6e5a,cfc399,947b5e,a69d73,382d27,58543d
joaquã­n-sorolla_children-in-the-sea-1909.jpg,616774,7b8094,6a738d,8b8c9c,546072,6e6e76,59667c,7f8096,6a738d,898c9e,505a69,6e6e76,9f9d9b,abaeb3
john-french-sloan_election-night-1907.jpg,231f23,7c695b,231f23,61453a,706863,beb196,463838,565963,231f23,897762,b39e74,7d523d,ababaa,e6dec5
joaquã­n-sorolla_the-relic-1893.jpg,704232,c07c52,b16743,704232,ce8850,d29c6f,cf9873,ce8850,90513b,cd9062,b16743,deb587,3a2924,673b30
edward-hopper_new-york-restaurant-1.jpg,393036,bb8258,393036,9e5c43,cd9255,e1c086,bf8a59,835041,ba6744,d8b37a,e9cc91,db9a51,232831,4f383b
edward-hopper_woman-in-the-sun.jpg,374c4d,717e71,374c4d,6e7159,527383,95a191,566a62,527383,545a53,2e3f3a,405a5f,baa85d,6c878e,bdbc95
eugã¨ne-grasset_inqui-tude 2.jpg,565b46,c4b058,bea030,cac180,3f3e28,6d7965,272a25,b4882b,c8b835,d1ccad,57512b,c3b554,59604d,81927d
john-french-sloan_yeats-at-petitpas-1910.jpg,2f2315,85836e,5b5f57,b0a784,10100d,4e361d,10100d,30271a,c5ccbc,c2bc8e,9c8963,5b5f57,632e1a,765a25
antã³nio-de-carvalho-da-silva-porto_recanto-de-praia.jpg,555746,aca186,897c5e,cec7af,4b4b36,5f6456,e6e3d0,ddceae,7f6d4d,5f6456,bbb59e,4b4b36,81816c,a79573
joaquã­n-sorolla_almond-trees-in-asis.jpg,493b2c,b7a18c,c3bcb0,ac8768,2d251a,65503d,68513c,5c442f,9c7454,bb997c,c3bcb0,76685a,181914,423021
eugã¨ne-grasset_la-belle-jardiniere-july-1896 2.jpg,63524e,c49e8d,dcc6b6,ab7563,56413c,706260,6b4b41,413737,a66453,b08774,6b5955,746c6b,d0b1a0,e9dccd
ferdinand-georg-waldmã¼ller_the-ruin-of-the-greek-theater-in-taormina-sicily-1844.jpg,82776f,c3ab7f,a2a6b1,63482d,c89a49,bebcb5,a6b2c8,cfa854,3c2c22,bebcb5,896438,c08b3f,918f93,aaa4a2
arnold-bã¶cklin_portrait-of-angela-b-cklin-as-muse 2.jpg,73685b,d4b293,8a897f,d4b293,362e28,846145,d8af86,c99871,362e28,d8c0aa,846145,9f9a8f,60756e,8a7a6f
joaquã­n-sorolla_mending-the-sail-1904.jpg,8f6c3c,a6a4a2,7c7980,d0cfc4,775a35,a67f42,936c38,dfe3e2,a67f42,5b4933,c2baa6,706866,757991,9c9da2
john-french-sloan_young-woman-in-black-and-white-mary-kerr-1902.jpg,281a1d,958666,281a1d,cbc698,342623,876645,342623,281a1d,dcd9ad,bbb384,7a6a4d,593e30,a9653c,a08b5d
joaquã­n-sorolla_beach-of-biarritz-france.jpg,9b8b7c,d4a76d,d4bc9b,d4923f,937255,a3a4a4,a3a4a4,90867b,d4bc9b,2c3526,d4923f,875539,b0622e,b2997a
edward-hopper_study-of-a-standing-woman.jpg,71655f,c8b5a3,c8b5a3,9b8d83,302a29,5e514c,c8b59d,b7a99d,a4968c,c8b6a9,302a29,5e514c,7d7068,938479
eugã¨ne-grasset_abricotine 2.jpg,2d2e1c,c1bd7a,121513,c1bd7a,1e211d,716b2b,121513,1e211d,464b2a,dbcb6c,e5e7bc,9b8b2d,868554,bfbc6d
eugã¨ne-grasset_la-belle-jardiniere-may-1896 2.jpg,5f5b53,c6ae96,ddcfbe,af8c6f,534c43,6a6a62,665648,3f413e,a17c62,bd9d7b,cdb69d,eee7df,595d5b,7c7869
joaquã­n-sorolla_girl-with-flowers.jpg,6b5650,ca9b6d,866f66,503e39,cb8f54,c9a886,967a6c,c9a886,332a2c,6d5147,d69c52,776460,c57e41,b88568
andrã©-lhote_la-plage-1957.jpg,9c8a5f,a5a499,b5955f,837f60,939b96,b7ad9d,665f54,708970,9a976a,9b7c51,939b96,b5955f,b8a692,b7b4a8
georges-lacombeâ _the-green-wave-vorhor.jpg,2e261c,9e9276,2e261c,a0804c,879aa2,b2ac9d,211d15,c2994f,879aa2,a99a8b,3b2f23,7d6749,cdbe98,a8bfc5
antã³nio-de-carvalho-da-silva-porto_na-cisterna.jpg,6b4f3d,92a0b7,39342c,9c6b4e,749ac3,afa6aa,b67854,835d48,ae8f82,b2b6c2,39342c,aec6e2,698cb3,80a9d3
