ObjectID,cut_2,cut_4,cut_8
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,"[(74, 76, 63), (162, 157, 146)]","[(132, 128, 116), (74, 76, 63), (177, 168, 154), (205, 204, 198)]","[(184, 179, 167), (53, 59, 54), (78, 82, 68), (205, 204, 198), (170, 157, 140), (113, 103, 77), (116, 113, 103), (148, 143, 128)]"
joaquã­n-sorolla_street-in-granada.jpg,"[(149, 120, 97), (215, 189, 165)]","[(220, 212, 202), (210, 167, 128), (138, 96, 59), (160, 144, 136)]","[(220, 212, 202), (166, 149, 136), (190, 160, 135), (93, 109, 137), (175, 113, 65), (100, 79, 53), (208, 153, 107), (213, 181, 148)]"
theo-van-rysselberghe_the-cap-gris-nez-1900.jpg,"[(129, 124, 141), (167, 169, 206)]","[(167, 169, 206), (159, 136, 128), (94, 100, 129), (104, 126, 179)]","[(186, 179, 211), (104, 126, 179), (149, 159, 201), (93, 108, 156), (151, 149, 176), (95, 92, 102), (158, 108, 73), (178, 137, 89)]"
theo-van-rysselberghe_portrait-of-daisy-weber-1907.jpg,"[(60, 73, 81), (138, 133, 137)]","[(157, 156, 172), (118, 110, 102), (54, 59, 58), (67, 87, 104)]","[(174, 158, 171), (126, 135, 161), (54, 59, 58), (67, 87, 104), (203, 198, 193), (110, 88, 86), (105, 125, 116), (149, 138, 121)]"
paul-signac_antibes-evening-1914.jpg,"[(128, 128, 120), (176, 155, 139)]","[(143, 142, 137), (113, 115, 104), (174, 147, 128), (178, 163, 149)]","[(174, 154, 138), (178, 163, 149), (132, 134, 114), (70, 88, 85), (143, 142, 137), (117, 103, 101), (174, 133, 109), (175, 145, 128)]"
henri-edmond-cross_around-my-house.jpg,"[(80, 102, 94), (187, 174, 140)]","[(195, 193, 187), (180, 156, 93), (69, 91, 62), (90, 114, 125)]","[(190, 175, 94), (97, 121, 68), (169, 138, 92), (111, 139, 132), (69, 90, 118), (41, 60, 56), (177, 172, 171), (212, 213, 203)]"
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,"[(103, 96, 64), (179, 172, 149)]","[(75, 77, 57), (131, 115, 70), (147, 139, 109), (212, 205, 190)]","[(221, 219, 212), (126, 125, 74), (163, 137, 72), (117, 99, 68), (75, 77, 57), (147, 139, 109), (198, 179, 137), (207, 204, 198)]"
theo-van-rysselberghe_the-pointe-st-pierre-at-st-tropez-1896.jpg,"[(111, 108, 112), (214, 206, 190)]","[(223, 226, 233), (205, 185, 148), (90, 83, 77), (132, 133, 148)]","[(223, 226, 233), (211, 208, 196), (26, 35, 63), (75, 60, 80), (198, 162, 100), (130, 118, 82), (109, 107, 133), (155, 160, 162)]"
georges-seurat_low-tide-at-grandcamp-1885.jpg,"[(137, 136, 91), (181, 193, 171)]","[(162, 150, 98), (181, 193, 171), (91, 90, 61), (132, 154, 105)]","[(132, 154, 105), (74, 82, 60), (39, 43, 24), (162, 150, 98), (125, 117, 80), (196, 204, 185), (158, 173, 151), (172, 190, 164)]"
georges-seurat_the-couple-1884.jpg,"[(74, 102, 39), (173, 156, 71)]","[(164, 141, 31), (181, 171, 112), (65, 98, 20), (83, 106, 59)]","[(171, 168, 33), (82, 109, 35), (158, 113, 29), (65, 98, 20), (84, 103, 83), (168, 150, 66), (164, 157, 114), (225, 225, 200)]"
camille-pissarro_flock-of-sheep-in-a-field-after-the-harvest-1889.jpg,"[(132, 100, 46), (198, 179, 124)]","[(150, 124, 62), (113, 77, 30), (198, 166, 83), (199, 193, 165)]","[(199, 193, 165), (155, 114, 54), (111, 90, 57), (86, 53, 27), (198, 166, 83), (141, 101, 33), (166, 142, 51), (168, 150, 85)]"
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,"[(81, 78, 46), (174, 165, 133)]","[(144, 132, 95), (81, 78, 46), (192, 180, 138), (217, 216, 206)]","[(102, 105, 54), (57, 57, 39), (217, 216, 206), (86, 79, 50), (146, 137, 56), (192, 180, 138), (128, 111, 82), (161, 152, 107)]"
henri-martin_the-tower-of-collioure-in-moonrise.jpg,"[(116, 126, 123), (182, 163, 129)]","[(181, 179, 162), (182, 147, 96), (107, 103, 82), (126, 149, 163)]","[(111, 88, 58), (191, 164, 108), (174, 131, 84), (123, 124, 101), (181, 179, 162), (71, 77, 67), (110, 140, 161), (141, 159, 166)]"
joaquã­n-sorolla_children-in-the-sea-1909.jpg,"[(97, 103, 116), (123, 128, 148)]","[(106, 115, 141), (139, 140, 156), (84, 96, 114), (110, 110, 118)]","[(89, 102, 124), (127, 128, 150), (106, 115, 141), (137, 140, 158), (80, 90, 105), (110, 110, 118), (159, 157, 155), (171, 174, 179)]"
henri-martin_garden-of-labastide-du-ver-in-marquayrol.jpg,"[(78, 85, 72), (174, 172, 143)]","[(190, 194, 186), (78, 85, 72), (141, 130, 99), (176, 171, 100)]","[(80, 87, 56), (48, 49, 47), (175, 171, 75), (141, 130, 99), (177, 170, 124), (190, 194, 186), (86, 94, 75), (98, 111, 108)]"
joaquã­n-sorolla_the-relic-1893.jpg,"[(112, 66, 50), (192, 124, 82)]","[(177, 103, 67), (112, 66, 50), (206, 136, 80), (210, 156, 111)]","[(207, 152, 115), (206, 136, 80), (144, 81, 59), (205, 144, 98), (177, 103, 67), (222, 181, 135), (58, 41, 36), (103, 59, 48)]"
antã³nio-de-carvalho-da-silva-porto_recanto-de-praia.jpg,"[(85, 87, 70), (172, 161, 134)]","[(137, 124, 94), (206, 199, 175), (75, 75, 54), (95, 100, 86)]","[(230, 227, 208), (221, 206, 174), (127, 109, 77), (95, 100, 86), (187, 181, 158), (75, 75, 54), (129, 129, 108), (167, 149, 115)]"
joaquã­n-sorolla_almond-trees-in-asis.jpg,"[(73, 59, 44), (183, 161, 140)]","[(195, 188, 176), (172, 135, 104), (45, 37, 26), (101, 80, 61)]","[(104, 81, 60), (92, 68, 47), (156, 116, 84), (187, 153, 124), (195, 188, 176), (118, 104, 90), (24, 25, 20), (66, 48, 33)]"
ferdinand-georg-waldmã¼ller_the-ruin-of-the-greek-theater-in-taormina-sicily-1844.jpg,"[(130, 119, 111), (195, 171, 127)]","[(162, 166, 177), (99, 72, 45), (200, 154, 73), (190, 188, 181)]","[(166, 178, 200), (207, 168, 84), (60, 44, 34), (190, 188, 181), (137, 100, 56), (192, 139, 63), (145, 143, 147), (170, 164, 162)]"
joaquã­n-sorolla_mending-the-sail-1904.jpg,"[(143, 108, 60), (166, 164, 162)]","[(124, 121, 128), (208, 207, 196), (119, 90, 53), (166, 127, 66)]","[(147, 108, 56), (223, 227, 226), (166, 127, 66), (91, 73, 51), (194, 186, 166), (112, 104, 102), (117, 121, 145), (156, 157, 162)]"
camille-pissarro_wallnut-and-apple-trees-in-bloom-at-eragny.jpg,"[(83, 88, 60), (162, 151, 146)]","[(124, 106, 77), (43, 70, 43), (137, 130, 127), (187, 171, 165)]","[(198, 199, 213), (194, 183, 167), (179, 152, 140), (129, 112, 116), (146, 148, 139), (124, 106, 77), (34, 46, 36), (52, 93, 49)]"
joaquã­n-sorolla_beach-of-biarritz-france.jpg,"[(155, 139, 124), (212, 167, 109)]","[(212, 188, 155), (212, 146, 63), (147, 114, 85), (163, 164, 164)]","[(163, 164, 164), (144, 134, 123), (212, 188, 155), (44, 53, 38), (212, 146, 63), (135, 85, 57), (176, 98, 46), (178, 153, 122)]"
