ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
theo-van-rysselberghe_the-cap-gris-nez-1900.jpg,817c8d,a7a9ce,a7a9ce,9f8880,5e6481,687eb3,bab3d3,687eb3,959fc9,5d6c9c,9795b0,5f5c66,9e6c49,b28959
theo-van-rysselberghe_portrait-of-daisy-weber-1907.jpg,3c4951,8a8589,9d9cac,766e66,363b3a,435768,ae9eab,7e87a1,363b3a,435768,cbc6c1,6e5856,697d74,958a79
paul-signac_antibes-evening-1914.jpg,808078,b09b8b,8f8e89,717368,ae9380,b2a395,ae9a8a,b2a395,848672,465855,8f8e89,756765,ae856d,af9180
henri-edmond-cross_around-my-house.jpg,50665e,bbae8c,c3c1bb,b49c5d,455b3e,5a727d,beaf5e,617944,a98a5c,6f8b84,455a76,293c38,b1acab,d4d5cb
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
theo-van-rysselberghe_the-pointe-st-pierre-at-st-tropez-1896.jpg,6f6c70,d6cebe,dfe2e9,cdb994,5a534d,848594,dfe2e9,d3d0c4,1a233f,4b3c50,c6a264,827652,6d6b85,9ba0a2
georges-seurat_low-tide-at-grandcamp-1885.jpg,89885b,b5c1ab,a29662,b5c1ab,5b5a3d,849a69,849a69,4a523c,272b18,a29662,7d7550,c4ccb9,9ead97,acbea4
georges-seurat_the-couple-1884.jpg,4a6627,ad9c47,a48d1f,b5ab70,416214,536a3b,aba821,526d23,9e711d,416214,546753,a89642,a49d72,e1e1c8
camille-pissarro_flock-of-sheep-in-a-field-after-the-harvest-1889.jpg,84642e,c6b37c,967c3e,714d1e,c6a653,c7c1a5,c7c1a5,9b7236,6f5a39,56351b,c6a653,8d6521,a68e33,a89655
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,514e2e,aea585,90845f,514e2e,c0b48a,d9d8ce,666936,393927,d9d8ce,564f32,928938,c0b48a,806f52,a1986b
henri-martin_the-tower-of-collioure-in-moonrise.jpg,747e7b,b6a381,b5b3a2,b69360,6b6752,7e95a3,6f583a,bfa46c,ae8354,7b7c65,b5b3a2,474d43,6e8ca1,8d9fa6
joaquã­n-sorolla_children-in-the-sea-1909.jpg,616774,7b8094,6a738d,8b8c9c,546072,6e6e76,59667c,7f8096,6a738d,898c9e,505a69,6e6e76,9f9d9b,abaeb3
henri-martin_garden-of-labastide-du-ver-in-marquayrol.jpg,4e5548,aeac8f,bec2ba,4e5548,8d8263,b0ab64,505738,30312f,afab4b,8d8263,b1aa7c,bec2ba,565e4b,626f6c
joaquã­n-sorolla_the-relic-1893.jpg,704232,c07c52,b16743,704232,ce8850,d29c6f,cf9873,ce8850,90513b,cd9062,b16743,deb587,3a2924,673b30
antã³nio-de-carvalho-da-silva-porto_recanto-de-praia.jpg,555746,aca186,897c5e,cec7af,4b4b36,5f6456,e6e3d0,ddceae,7f6d4d,5f6456,bbb59e,4b4b36,81816c,a79573
joaquã­n-sorolla_almond-trees-in-asis.jpg,493b2c,b7a18c,c3bcb0,ac8768,2d251a,65503d,68513c,5c442f,9c7454,bb997c,c3bcb0,76685a,181914,423021
ferdinand-georg-waldmã¼ller_the-ruin-of-the-greek-theater-in-taormina-sicily-1844.jpg,82776f,c3ab7f,a2a6b1,63482d,c89a49,bebcb5,a6b2c8,cfa854,3c2c22,bebcb5,896438,c08b3f,918f93,aaa4a2
joaquã­n-sorolla_mending-the-sail-1904.jpg,8f6c3c,a6a4a2,7c7980,d0cfc4,775a35,a67f42,936c38,dfe3e2,a67f42,5b4933,c2baa6,706866,757991,9c9da2
camille-pissarro_wallnut-and-apple-trees-in-bloom-at-eragny.jpg,53583c,a29792,7c6a4d,2b462b,89827f,bbaba5,c6c7d5,c2b7a7,b3988c,817074,92948b,7c6a4d,222e24,345d31
joaquã­n-sorolla_beach-of-biarritz-france.jpg,9b8b7c,d4a76d,d4bc9b,d4923f,937255,a3a4a4,a3a4a4,90867b,d4bc9b,2c3526,d4923f,875539,b0622e,b2997a
joaquã­n-sorolla_girl-with-flowers.jpg,6b5650,ca9b6d,866f66,503e39,cb8f54,c9a886,967a6c,c9a886,332a2c,6d5147,d69c52,776460,c57e41,b88568
henri-martin_landscape-with-couple.jpg,818180,cbc8b9,d2dde1,c4b391,726953,909aac,d2dde1,c5c1b6,53554e,907c59,c2a56d,9eadc0,707e9a,939195
marevna-(marie-vorobieff)_not-identified-3.jpg,6a6c6d,b4b3b2,86837f,b4b3b2,454a4b,596169,4f5452,596169,a3a5ab,96928b,c4c2b9,767474,323c3f,464549
andrã©-lhote_la-plage-1957.jpg,9c8a5f,a5a499,b5955f,837f60,939b96,b7ad9d,665f54,708970,9a976a,9b7c51,939b96,b5955f,b8a692,b7b4a8
henri-martin_the-window-to-the-garden.jpg,48433c,9a8564,876d51,48433c,a9905e,b0a992,9e9987,88735f,876843,3c3831,544e48,c1b99d,9c8b60,b5955b
georges-lacombeâ _the-green-wave-vorhor.jpg,2e261c,9e9276,2e261c,a0804c,879aa2,b2ac9d,211d15,c2994f,879aa2,a99a8b,3b2f23,7d6749,cdbe98,a8bfc5
antã³nio-de-carvalho-da-silva-porto_na-cisterna.jpg,6b4f3d,92a0b7,39342c,9c6b4e,749ac3,afa6aa,b67854,835d48,ae8f82,b2b6c2,39342c,aec6e2,698cb3,80a9d3
joaquã­n-sorolla_portrait-of-countess-of-santiago-1894.jpg,887355,c7b188,786449,978260,b39e78,dac599,9f8e75,dec898,c8ad7a,d4bc8c,786449,e3d5b3,8c785a,a38d66
georges-seurat_women-by-the-water-1886.jpg,846d4e,c2ac7b,c2a052,c3b9a4,6b5f4b,9e7b51,b3aba0,a07b3e,685e3c,d4c6a7,9c7b64,6e605a,b39850,d0a955
arnold-bã¶cklin_the-bagpiper.jpg,2b2a27,9f9da0,2b2a27,787276,abaeb6,e0e2e1,544c4c,e7ecee,d8d8d4,8f8a8f,6e6a6e,abaeb6,1f211e,383231
georges-seurat_beach-at-gravelines-1890.jpg,a08b71,d9c596,ddd1b1,d5b97c,8b674f,b5ae93,d6c488,c9bb93,ddd1b1,56464d,d3ae6f,bf8851,868c92,bdb596
