ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
roy-lichtenstein_interior-with-mobile-1992(1).jpg,58575d,f4ddae,f8f8fb,efc260,292728,878891,f8f8fb,f5c914,f6a413,abaaac,636677,e9cdad,0e0d1b,454134
hiro-yamagata_exhibition-1980.jpg,61462d,8f785c,3f382a,83532f,6c6251,b18e68,3f382a,68502f,6c6251,bfb0a3,b0906e,9f572f,9f6c45,b78b47
aki-kuroda_untitled-2012-1.jpg,5f809a,aed2f0,8abbe4,aed2f0,060706,62829b,060706,8abbe4,0f0f0f,85b2d8,83add0,aed2f0,3f4e59,82a0b7
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
george-segal_resting-dancer.jpg,858f9a,d1d6da,b7b9b7,d1d6da,3e4554,6985a6,dfe1e2,c0c2c0,6985a6,51515a,2b394e,c2ccd3,a9aaa7,b2b4b3
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
andy-warhol_dollar-sign-1.jpg,2b282e,bb9f98,c5a7ba,b19775,1a1718,3b3a43,98867a,91774d,353030,1a1718,ceb088,c5a7ba,424048,414666
peter-max_nelson-mandela-1-2001.jpg,2f2d2d,aa978e,2f2d2d,b8b1c2,80594e,b6a065,919b6e,2f2d2d,dba65b,9cabbc,5e5350,d5b8c8,776461,cd5a35
nicholas-krushenick_untitled-1998.jpg,65666f,b1b7ca,b1b7ca,38373c,7e7f88,a8adba,3c3c43,a8adba,b1b7ca,8d8e99,525259,28272b,68676e,767781
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
billy-apple_entertaiment-1991.jpg,627186,f7f8ef,f8fbfc,f6f5e3,43344f,80adbd,f6fafb,f6f9fb,f8fbfc,67858e,43344f,9ad4ec,f8d440,f5f7f6
derek-boshier_f-e-1973.jpg,dad7cc,f1f0e4,efece1,f1f0e4,a29e94,e6e4d8,efece1,f1f0e4,e6e4d8,a29e93,837f76,bfbcb1,3c3936,58544f
andy-warhol_sylvester-stallone-1980.jpg,968b77,e9e2d8,e9e2d8,cbbaa0,2e3535,948068,f0f0f0,cecbb7,2e3535,c8aa8a,a9997d,e2d4c0,64594a,99775b
peter-max_liberty-head-1986.jpg,4e8593,d3b5b0,65b3d2,385854,d39b85,d3cedb,41655f,6acaed,2f4a48,d3cedb,609cb8,d7ba8f,c86a5d,d88f97
richard-hamilton_just-what-is-it-that-makes-today-s-homes-so-different-1992.jpg,745e55,ced3d4,483f3d,a07c6d,aeb5b7,eef0f2,9bb2b8,eef0f2,c6c5c2,99675a,a69280,8e9a9e,2c1f1e,655f5d
burhan-dogancay_mystery-woman-1989.jpg,3d3b47,c29f93,c4c6c7,bf795f,282229,525464,d2deda,46414c,282229,b6aeb5,c24c58,bca565,56596a,67728e
andy-warhol_marylin-red.jpg,dd2139,a789a5,62619c,ecb1ae,d4111d,e63056,f22060,f6beb4,d4111d,62619c,e3a4a7,f3395f,e11f42,d44957
keith-haring_radiant-baby-from-icons-series-1990.jpg,0c79b4,2e5c77,0f76af,0c79b4,143546,864f38,0d7bb8,141918,ea692e,135074,0c77b1,233541,0f71a7,0f7bb8
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,514e2e,aea585,90845f,514e2e,c0b48a,d9d8ce,666936,393927,d9d8ce,564f32,928938,c0b48a,806f52,a1986b
robert-indiana_art-1977.jpg,a7918c,e1e3e2,e1e3e2,866e6a,c99e96,c7c9c8,c7c9c8,c5c6c5,cd4335,cfa799,e1e3e2,8b9194,5f453e,a25141
patrick-procktor_two-chinese-generals-1968.jpg,63554c,7d6c6b,6e615d,8c7679,56544c,70564d,6b4f49,56544c,8c6e6b,755e51,876862,6e615d,8c8da6,9fa9c4
joaquã­n-sorolla_children-in-the-sea-1909.jpg,616774,7b8094,6a738d,8b8c9c,546072,6e6e76,59667c,7f8096,6a738d,898c9e,505a69,6e6e76,9f9d9b,abaeb3
richard-artschwager_book-1987.jpg,716c5a,b8b7b2,948a6d,4e4d46,9a978d,d6d7d6,7e7b6d,2a2c2d,9a978d,948a6d,eaebeb,c2c3c1,545146,79725e
charles-lapicque_le-prisonnier.jpg,a5794a,d0d5bd,eaede4,b7bd96,7f684a,cb8a4b,b9574a,dcbd4b,b1c8a9,c5c49a,eaede4,7f684a,999383,aab878
billy-apple_complimentary-1990.jpg,c22b19,cb8a76,d9d7c0,c22b19,be3125,be4832,c62116,be3125,be3929,b84f2c,d9d7c0,be351c,c34634,c27b60
joaquã­n-sorolla_the-relic-1893.jpg,704232,c07c52,b16743,704232,ce8850,d29c6f,cf9873,ce8850,90513b,cd9062,b16743,deb587,3a2924,673b30
sa-nogueira_one-1971.jpg,988672,d2b697,d5c4af,cfa77f,6a635a,c7aa89,c6b195,d5c4af,c7a37d,cfa77f,b19a87,66757d,343230,5f4934
joe-goode_bed-1969.jpg,d8d7d6,e4e4e3,dedddd,e4e4e3,cac8c6,dad9d8,c1c0bd,dedddd,dad9d8,c7c5c3,d1d0ce,e4e4e3,b7b4b0,bebbb7
jean-david_zim-israel.jpg,62615d,7698bc,26497e,9f7a3c,4279b4,a9b7c5,4279b4,e6ddce,604a34,5a5e6b,6d92bd,26497e,ea9f14,d89f3d
alighiero-boetti_fanno-cinque-1988.jpg,dbccb4,eaeef1,e4e8ea,eaeef1,cba36b,d8be91,e4e8ea,eaeef1,cea66a,d8be91,d4aa6e,c89e67,8a806c,bf8865
tsuruko-yamazaki_work-1964.jpg,502b36,d1a1a2,dad2d5,502b36,bd303c,d3b1a0,dad2d5,d3b1a0,45161f,4a192f,694f4d,6d808a,b91526,c14b53
antã³nio-de-carvalho-da-silva-porto_recanto-de-praia.jpg,555746,aca186,897c5e,cec7af,4b4b36,5f6456,e6e3d0,ddceae,7f6d4d,5f6456,bbb59e,4b4b36,81816c,a79573
marjorie-strider_swirling.jpg,2f688c,e6b5a3,1884b1,464d66,f0a07a,dbcacb,201b16,656da1,57689c,1884b1,f0a07a,dbcacb,213a40,544b4d
evelyne-axell_le-baiser-1971.jpg,18196d,706f9e,18196d,1f1e72,9797b2,ebeae1,edede8,18196d,1f1e72,252e85,e9e6da,7c7797,dbd8cf,e0dfdd
marjorie-strider_white-lines.jpg,4d86a4,f29973,f29973,5c6482,0d97c0,71b7cc,0d97c0,1c95bf,685769,c5dad8,145893,e08a78,f6985d,ed9a89
erro_birth-without-pain-1960.jpg,816c36,bcac80,675c31,9b7d3b,a0946a,d8c495,675c31,8b6f36,dfd3b2,aaa07b,d2b578,968859,998240,bc9440
yayoi-kusama_ready-to-blossom-in-the-morning-1989.jpg,69231c,b36f60,d7b790,8e2830,41221b,90251c,be2834,5d272d,791b1b,41221b,bea28a,a82f1e,f4cd59,eecdd3
patrick-procktor_figures-at-night-1962.jpg,2e5855,3595ba,1084b9,5aa6bb,114c55,4a6555,1084b9,2690b4,2c5c50,114c55,615344,718970,5ba6b6,bfd2cf
joaquã­n-sorolla_almond-trees-in-asis.jpg,493b2c,b7a18c,c3bcb0,ac8768,2d251a,65503d,68513c,5c442f,9c7454,bb997c,c3bcb0,76685a,181914,423021
charles-lapicque_ezechiel-mesurant-le-temple-1973.jpg,81533c,ceacaa,4f2c29,b37a50,b28596,ead2bf,eddfd8,e6c6a6,a1524b,d09399,c6a356,4f2c29,875b89,a3949b
ferdinand-georg-waldmã¼ller_the-ruin-of-the-greek-theater-in-taormina-sicily-1844.jpg,82776f,c3ab7f,a2a6b1,63482d,c89a49,bebcb5,a6b2c8,cfa854,3c2c22,bebcb5,896438,c08b3f,918f93,aaa4a2
joaquã­n-sorolla_mending-the-sail-1904.jpg,8f6c3c,a6a4a2,7c7980,d0cfc4,775a35,a67f42,936c38,dfe3e2,a67f42,5b4933,c2baa6,706866,757991,9c9da2
robert-silvers_not-detected-275039.jpg,383133,b29b88,383133,9a7761,c7b192,cccdca,b68f73,947e6f,cccdca,c7b192,252226,4a4040,855b4b,987256
robert-silvers_not-detected-275011.jpg,495460,abac9a,3f4343,53657d,94947e,c1c4b5,465672,828474,dad8be,a7b0ac,a7a589,3f4343,637076,5e7a9b
joaquã­n-sorolla_beach-of-biarritz-france.jpg,9b8b7c,d4a76d,d4bc9b,d4923f,937255,a3a4a4,a3a4a4,90867b,d4bc9b,2c3526,d4923f,875539,b0622e,b2997a
patrick-caulfield_lampshade-1969.jpg,0f100c,ba4e2b,0f100c,ec7135,281a12,e83930,13120d,15120f,0f100c,221a13,e83930,ec7135,9b2b23,ae742d
joaquã­n-sorolla_girl-with-flowers.jpg,6b5650,ca9b6d,866f66,503e39,cb8f54,c9a886,967a6c,c9a886,332a2c,6d5147,d69c52,776460,c57e41,b88568
andrã©-lhote_la-plage-1957.jpg,9c8a5f,a5a499,b5955f,837f60,939b96,b7ad9d,665f54,708970,9a976a,9b7c51,939b96,b5955f,b8a692,b7b4a8
roy-lichtenstein_world-s-fair-mural-1964.jpg,4c5234,f7e2cc,f7f5f4,f7d0a4,2d3614,6c6f55,f7f5f4,f8e7d7,143410,473717,879473,f7b871,2e4533,744f3a
robert-silvers_jackie-kennedy.jpg,434440,afb1ae,969693,c9cbc8,272824,60615d,b9bab7,a1a29f,70716d,50504c,8a8b87,272824,ced1cf,e2e6e4
georges-lacombeâ _the-green-wave-vorhor.jpg,2e261c,9e9276,2e261c,a0804c,879aa2,b2ac9d,211d15,c2994f,879aa2,a99a8b,3b2f23,7d6749,cdbe98,a8bfc5
antã³nio-de-carvalho-da-silva-porto_na-cisterna.jpg,6b4f3d,92a0b7,39342c,9c6b4e,749ac3,afa6aa,b67854,835d48,ae8f82,b2b6c2,39342c,aec6e2,698cb3,80a9d3
joaquã­n-sorolla_portrait-of-countess-of-santiago-1894.jpg,887355,c7b188,786449,978260,b39e78,dac599,9f8e75,dec898,c8ad7a,d4bc8c,786449,e3d5b3,8c785a,a38d66
lourdes-castro_sombras-brancas-ii.jpg,decec5,f6f7eb,f1ebd8,f6f7eb,ba96a0,dacdc5,f1ebd8,f6f7eb,b4848e,be5976,994274,c5c3bf,d6c7be,ded3cc
derek-boshier_untitled-head-top-right-toothpaste-toothbrush-pyramid-271-a-g-1962.jpg,e5c1c1,ccd6e7,f1cecb,dab5b7,a8c3e9,efe8e5,efe8e5,dbe2e9,eecbc8,75a5e9,f1cecb,e9bcb6,727eb9,d18176
arnold-bã¶cklin_the-bagpiper.jpg,2b2a27,9f9da0,2b2a27,787276,abaeb6,e0e2e1,544c4c,e7ecee,d8d8d4,8f8a8f,6e6a6e,abaeb6,1f211e,383231
andy-warhol_paper-dollar.jpg,9e8aa0,d0cdde,c9c8d9,d0cdde,4a2842,9c7189,c9c8d9,d2d3e2,281e2c,6b3258,b79baf,814764,cec1d5,cfcede
