ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
paul-gauguin_seaside-harvest-1890.jpg,3c402c,8e7433,3c402c,a4893d,5d512a,966e27,ac8727,5d4d1b,936820,5c5439,98742f,3c402c,888970,ae8d36
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
pyotr-konchalovsky_still-life-with-a-jug-1910.jpg,2f2b2b,756760,5f4b3c,2f2b2b,68646e,afa39a,28231e,bcb0a3,d8cbc0,68646e,353337,5f4b3c,8f8275,988f90
adam-baltatu_children-on-the-alley.jpg,312a20,776957,312a20,5e503e,7e7159,a19587,746c56,ad9481,89765c,bab2a4,312a20,8f877a,564632,665949
henri-de-toulouse-lautrec_lili-grenier-in-a-kimono-1888.jpg,493a25,83745d,675e48,493a25,8e6c4e,afa799,352b1f,635539,9d9272,8e6c4e,5c492c,6a6757,aeb0b8,d4c8c6
pyotr-konchalovsky_sion-shepherd-and-sheeps-1927.jpg,645a52,a0918d,a09eb0,a0846b,574c38,72696b,94796a,92724e,6f6054,757182,ac937a,a09eb0,413c32,6d5b3e
amrita-sher-gil_shringaar-1940.jpg,733028,e86f54,e34e43,733028,eb844c,f19d80,f08174,92322c,e34e43,47201b,eb844c,ac4c3d,f0ae72,f4c5a6
paul-cezanne_portrait-of-madame-cezanne-3.jpg,796544,aca89f,aca89f,997c50,4c3a1c,676454,9c712d,6e7370,afafac,615538,a9a092,968772,372b18,604a20
paul-gauguin_the-hibiskus-tree-1892.jpg,2e3628,70684d,615239,2e3628,7e744c,818874,707c72,27281f,919376,6e6d4f,8d7a4a,354430,624b2d,605946
maurice-prendergast_feast-of-the-redeemer.jpg,2c2521,816942,2c2521,514c39,986f3f,c89d57,dc9843,2c2521,deac5f,b3763d,7d6941,514c39,b5924c,b09d6e
maurice-utrillo_the-house-of-mimi-pinson-in-montmartre.jpg,564e3b,a0906f,564e3b,a99f89,8c6f49,a29261,8f8a85,332f24,5c4b2c,64604e,8c6f49,a29261,aba289,dcc68f
moise-kisling_bouquet-of-various-flowers-1927.jpg,213142,d0b39a,eddfb3,b28681,08182c,3a4b58,ede7de,08182c,263543,eed788,4d606c,b19ea2,a8495a,bf9564
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
salvador-dali_portrait-of-hortensia.jpg,221e1a,5d4535,221e1a,583a26,443b3a,80654d,3b3126,66543d,965f38,221e1a,744326,443b3a,685d59,9a8666
vincent-van-gogh_pine-trees-seen-against-the-wall-of-the-asylum-1889-1.jpg,959389,cac9c3,afada5,cac9c3,666358,908e83,504d42,646256,79776b,908e83,afada5,312f25,c2c1bb,d1d1cc
franklin-carmichael_houses-cobalt-1932.jpg,898a71,b1ab89,95967d,b1ab89,70715e,8c8a6d,767c6d,b9b391,736e56,605f48,a9a482,95967d,8b8665,8c8e76
gustave-loiseau_trees-by-the-river.jpg,625b52,948879,9d978c,8a7965,595145,6b6660,928c84,645a49,6b6660,85705c,a8a395,90836f,434441,584b42
moise-kisling_children-of-dr-tas-1930.jpg,261f1a,947159,261f1a,77512a,7b7181,e4b28f,4f412a,dfa46f,7c4623,eac0ae,c47b32,261f1a,756365,817f9c
anita-malfatti_autorretrato.jpg,274f50,9b7041,2f6f75,202e2a,8f5f2a,a68258,997249,b68c5d,937e5d,2f6f75,214242,1e1b12,7d5326,a16a2e
raoul-dufy_anglers-1908.jpg,616868,b28253,a6947b,bf702b,4f4840,72898f,b35d23,646a61,72898f,cb8233,ae8b5d,3a261f,98918c,a4a8a3
paul-cezanne_portrait-of-louis-guillaume.jpg,131313,5d6a4d,131313,374834,6b774d,9ca07d,131313,54714d,65876e,62794f,374834,a4824c,d5a770,d3cba7
maxime-maufra_fishing-for-sprats-in-winter-at-douarnenez-1905.jpg,403424,86867a,777257,959a9e,2c281e,543f2a,262016,848f95,332f26,a6a6a7,897a5f,666a4f,513a1f,564535
gustave-loiseau_village-road-in-autumn-1911.jpg,757063,b0ac91,b0ac91,59534c,837d6d,9f9d88,ada88c,9f9d88,b4b096,8f8774,665e54,4c4843,76715e,79776e
paul-cezanne_portrait-of-joachim-1896.jpg,1f2024,7d735e,1f2024,4c4b4a,83775e,d9be85,1f2024,e3d3a3,3f4041,8c754a,7a7972,585653,c59a5d,d9b970
pyotr-konchalovsky_still-life-convolution-of-ropes-and-other-objects-on-the-couch-1954.jpg,735661,a8927f,ada39d,735661,9f6f56,a8926c,a19392,bab4a9,796756,a8926c,7f5e78,9f6f56,3f2f38,694048
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
asgrimur-jonsson_from-h-safell-west-iceland-1950.jpg,556748,d5bb87,dad3b4,d0a35a,424d2f,688061,d1be6a,cf884a,525f31,dad3b4,718c7d,323b2c,4e5f43,6f8a48
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
felix-vallotton_in-the-street-woman-with-muff-1895.jpg,917e50,d1c9aa,d0be56,523d4a,ae99a9,f4faab,333030,f4faab,f3e058,724a64,c6d5bb,ac9d54,89629a,a45796
raoul-dufy_martigues.jpg,212d35,735d46,212d35,533f31,66655f,c19159,766243,55687a,bd7d34,c5a67d,403832,654730,1f1e1a,233b4f
arturo-souto_portrait-of-alvaro-gil-varela.jpg,362e33,96806d,362e33,7b624f,8f857a,d1b69e,cba586,d7c8b6,65544a,3e3c43,2d2122,8f857a,776454,ac7c55
vincent-van-gogh_dead-leaf-and-pod-1890(1).jpg,9f9f91,dbdccf,c4c4b7,dbdccf,545346,9f9f90,a9a99b,959486,c4c4b7,dbdccf,1f1e14,49483b,696859,7f7e6f
