ObjectID,cut_2,cut_4,cut_8
konstantin-somov_portrait-of-louise-morgan.jpg,"[(53, 41, 34), (120, 81, 56)]","[(53, 41, 34), (95, 60, 44), (116, 83, 57), (176, 121, 80)]","[(83, 56, 42), (53, 41, 34), (163, 98, 59), (178, 123, 79), (116, 83, 57), (202, 164, 122), (95, 62, 46), (117, 64, 46)]"
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
fyodor-vasilyev_abandoned-mill-2-1873.jpg,"[(189, 187, 140), (228, 237, 230)]","[(228, 237, 230), (214, 213, 181), (141, 136, 64), (186, 185, 135)]","[(228, 237, 230), (188, 192, 158), (183, 178, 112), (127, 129, 74), (214, 213, 181), (165, 157, 76), (83, 80, 29), (130, 125, 35)]"
john-singer-sargent_mrs-augustus-allusen-osma-mary-dorothy-stanley-1907.jpg,"[(22, 21, 23), (106, 86, 76)]","[(22, 21, 23), (54, 41, 40), (129, 100, 84), (190, 160, 139)]","[(22, 21, 23), (187, 166, 151), (226, 190, 166), (54, 41, 40), (108, 90, 77), (150, 111, 92), (158, 137, 119), (189, 149, 122)]"
boris-kustodiev_portrait-of-julia-petrovna-greek-1901.jpg,"[(21, 44, 26), (83, 82, 61)]","[(21, 44, 26), (40, 66, 51), (72, 76, 61), (179, 121, 80)]","[(21, 44, 26), (118, 83, 61), (176, 94, 57), (40, 66, 51), (72, 76, 61), (190, 138, 89), (228, 155, 94), (234, 188, 133)]"
henri-fantin-latour_still-life-vase-of-hydrangeas-and-ranunculus-1866.jpg,"[(106, 76, 55), (192, 169, 137)]","[(56, 46, 42), (192, 169, 137), (125, 87, 59), (188, 124, 77)]","[(56, 46, 42), (109, 66, 49), (141, 109, 70), (187, 146, 91), (189, 102, 63), (199, 180, 152), (177, 154, 121), (191, 164, 125)]"
ivan-shishkin_spring-in-the-forest-1892.jpg,"[(61, 65, 56), (109, 124, 81)]","[(98, 115, 64), (61, 65, 56), (101, 122, 90), (137, 145, 104)]","[(83, 107, 63), (101, 122, 90), (45, 53, 51), (114, 123, 65), (132, 138, 89), (76, 77, 61), (135, 136, 115), (148, 167, 123)]"
isaac-levitan_footpath-in-a-forest-ferns.jpg,"[(61, 59, 42), (105, 99, 61)]","[(92, 85, 55), (61, 59, 42), (106, 104, 62), (129, 122, 73)]","[(126, 124, 71), (141, 130, 78), (92, 85, 55), (106, 104, 62), (120, 112, 68), (61, 59, 42), (145, 142, 84), (170, 156, 97)]"
ilya-repin_portrait-of-k-b-boleslavova-1913.jpg,"[(77, 45, 37), (138, 88, 70)]","[(123, 40, 38), (77, 45, 37), (140, 93, 61), (165, 177, 143)]","[(85, 45, 35), (71, 30, 29), (123, 40, 38), (140, 93, 61), (150, 153, 115), (180, 201, 171), (85, 50, 45), (77, 97, 68)]"
gustave-courbet_waterfall-in-the-wood-1863.jpg,"[(67, 66, 43), (96, 91, 51)]","[(67, 66, 43), (88, 84, 46), (89, 86, 54), (118, 111, 59)]","[(81, 78, 45), (89, 86, 54), (67, 66, 43), (106, 101, 56), (125, 116, 55), (95, 90, 46), (132, 123, 62), (139, 129, 70)]"
valentin-serov_portrait-of-italian-singer-francesco-tamano-1893.jpg,"[(37, 34, 35), (68, 51, 45)]","[(37, 34, 35), (42, 37, 38), (48, 39, 39), (138, 90, 67)]","[(37, 34, 35), (42, 37, 38), (48, 39, 39), (58, 44, 41), (173, 104, 73), (197, 135, 96), (104, 64, 50), (143, 88, 63)]"
theodore-rousseau_landscape-in-the-auvergne-1830-2.jpg,"[(30, 29, 25), (71, 62, 49)]","[(30, 29, 25), (48, 42, 34), (69, 59, 47), (120, 103, 81)]","[(30, 29, 25), (48, 42, 34), (69, 59, 47), (133, 124, 107), (99, 82, 63), (130, 110, 83), (166, 140, 105), (176, 163, 138)]"
vasily-surikov_portrait-of-a-p-yurgenson-1908.jpg,"[(14, 11, 12), (149, 130, 123)]","[(14, 11, 12), (197, 178, 169), (70, 57, 57), (131, 107, 99)]","[(14, 11, 12), (153, 136, 130), (184, 157, 145), (209, 188, 176), (240, 230, 224), (70, 57, 57), (116, 98, 94), (147, 116, 105)]"
camille-corot_old-man-seated-on-corot-s-trunk-1826.jpg,"[(53, 42, 32), (142, 122, 97)]","[(108, 87, 61), (53, 42, 32), (152, 121, 86), (200, 192, 177)]","[(219, 224, 222), (182, 155, 120), (166, 142, 110), (210, 206, 191), (108, 87, 61), (152, 121, 86), (33, 27, 21), (73, 58, 43)]"
vincent-van-gogh_peasant-woman-gleaning-1885-1.jpg,"[(143, 134, 115), (234, 223, 194)]","[(234, 223, 194), (195, 181, 157), (55, 55, 49), (127, 118, 99)]","[(73, 71, 60), (210, 195, 170), (110, 103, 85), (143, 132, 113), (38, 39, 38), (181, 167, 144), (230, 216, 187), (239, 229, 201)]"
konstantinos-volanakis_bay-with-boats.jpg,"[(95, 99, 93), (148, 152, 138)]","[(160, 167, 153), (136, 138, 123), (75, 75, 70), (114, 123, 116)]","[(114, 123, 116), (141, 144, 127), (70, 66, 61), (48, 50, 51), (91, 93, 84), (130, 132, 120), (146, 156, 145), (174, 178, 160)]"
ilya-repin_sketch-for-the-painting-ceremonial-meeting-of-the-state-council-on-may-7-1901-1903.jpg,"[(73, 39, 34), (173, 161, 145)]","[(129, 114, 97), (216, 207, 192), (30, 35, 31), (115, 43, 37)]","[(223, 229, 217), (30, 35, 31), (150, 77, 77), (57, 73, 73), (155, 153, 120), (115, 43, 37), (203, 156, 139), (214, 214, 195)]"
anders-zorn_our-daily-bread-1886.jpg,"[(134, 93, 47), (202, 172, 131)]","[(110, 73, 38), (158, 113, 56), (174, 134, 87), (231, 210, 175)]","[(151, 100, 54), (240, 231, 216), (165, 126, 58), (179, 141, 101), (222, 189, 133), (110, 73, 38), (153, 116, 73), (184, 137, 74)]"
vincent-van-gogh_orphan-man-with-cap-and-stick-1882.jpg,"[(119, 116, 102), (217, 221, 208)]","[(217, 221, 208), (78, 72, 58), (129, 127, 112), (192, 193, 180)]","[(206, 208, 196), (217, 221, 208), (118, 115, 100), (140, 139, 124), (94, 89, 73), (178, 178, 164), (53, 47, 33), (72, 65, 51)]"
pyotr-konchalovsky_still-life-lilacs-in-a-bucket-on-the-floor-1948.jpg,"[(109, 99, 79), (183, 163, 139)]","[(170, 143, 114), (196, 182, 164), (89, 81, 59), (129, 118, 100)]","[(183, 163, 144), (122, 105, 91), (114, 94, 67), (63, 67, 51), (209, 202, 183), (136, 131, 108), (161, 133, 105), (179, 153, 123)]"
ivan-shishkin_taiga-1880.jpg,"[(87, 86, 80), (142, 142, 136)]","[(120, 119, 113), (87, 86, 80), (147, 147, 142), (179, 180, 176)]","[(182, 183, 179), (167, 168, 163), (78, 77, 72), (96, 95, 89), (147, 147, 142), (120, 119, 113), (193, 194, 191), (206, 209, 207)]"
ilya-repin_temptation-1891.jpg,"[(140, 153, 126), (217, 221, 194)]","[(217, 221, 194), (178, 183, 150), (75, 89, 78), (127, 155, 124)]","[(225, 227, 206), (97, 111, 93), (185, 194, 166), (209, 214, 182), (127, 155, 124), (53, 68, 63), (172, 159, 126), (172, 185, 143)]"
ivan-shishkin_mowing-in-the-oak-grove-1874.jpg,"[(54, 62, 43), (163, 172, 133)]","[(206, 216, 195), (120, 128, 71), (35, 45, 34), (73, 78, 52)]","[(60, 73, 49), (95, 117, 65), (35, 45, 34), (145, 140, 78), (192, 206, 182), (219, 227, 209), (76, 82, 54), (98, 85, 57)]"
mikhail-lebedev_windy-day.jpg,"[(100, 109, 64), (194, 213, 179)]","[(215, 226, 208), (173, 199, 150), (62, 61, 32), (138, 156, 95)]","[(215, 226, 208), (41, 37, 23), (174, 204, 174), (138, 167, 125), (137, 145, 65), (84, 86, 41), (186, 196, 101), (161, 193, 150)]"
salvador-dali_mme-reese.jpg,"[(98, 83, 77), (213, 193, 158)]","[(71, 52, 42), (126, 113, 112), (217, 183, 129), (209, 204, 187)]","[(238, 214, 147), (120, 90, 70), (215, 183, 134), (175, 122, 86), (209, 204, 187), (131, 136, 154), (50, 39, 33), (92, 66, 52)]"
camille-corot_pond-with-three-cows-souvenir-of-ville-d-avray.jpg,"[(82, 71, 58), (199, 191, 172)]","[(229, 227, 221), (169, 155, 124), (57, 50, 44), (108, 92, 71)]","[(145, 128, 92), (152, 141, 116), (57, 50, 44), (201, 188, 161), (108, 92, 71), (178, 163, 127), (223, 221, 217), (236, 234, 226)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
nicholas-roerich_priest-from-gryzovo-1893-1.jpg,"[(172, 171, 165), (225, 225, 216)]","[(187, 186, 179), (225, 225, 216), (146, 145, 141), (169, 167, 162)]","[(143, 143, 139), (169, 167, 162), (154, 153, 149), (244, 245, 236), (187, 186, 179), (130, 130, 127), (201, 200, 191), (212, 211, 202)]"
vasily-vereshchagin_in-the-alatau-mountains-1870.jpg,"[(107, 121, 86), (187, 216, 218)]","[(187, 216, 218), (132, 156, 123), (63, 75, 46), (101, 95, 51)]","[(95, 122, 73), (187, 216, 218), (134, 129, 73), (135, 176, 161), (163, 198, 183), (63, 75, 46), (88, 92, 51), (115, 98, 51)]"
