ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
konstantin-somov_portrait-of-louise-morgan.jpg,352922,785138,352922,5f3c2c,745339,b07950,53382a,352922,a3623b,b27b4f,745339,caa47a,5f3e2e,75402e
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
fyodor-vasilyev_abandoned-mill-2-1873.jpg,bdbb8c,e4ede6,e4ede6,d6d5b5,8d8840,bab987,e4ede6,bcc09e,b7b270,7f814a,d6d5b5,a59d4c,53501d,827d23
john-singer-sargent_mrs-augustus-allusen-osma-mary-dorothy-stanley-1907.jpg,161517,6a564c,161517,362928,816454,bea08b,161517,bba697,e2bea6,362928,6c5a4d,966f5c,9e8977,bd957a
boris-kustodiev_portrait-of-julia-petrovna-greek-1901.jpg,152c1a,53523d,152c1a,284233,484c3d,b37950,152c1a,76533d,b05e39,284233,484c3d,be8a59,e49b5e,eabc85
henri-fantin-latour_still-life-vase-of-hydrangeas-and-ranunculus-1866.jpg,6a4c37,c0a989,382e2a,c0a989,7d573b,bc7c4d,382e2a,6d4231,8d6d46,bb925b,bd663f,c7b498,b19a79,bfa47d
ivan-shishkin_spring-in-the-forest-1892.jpg,3d4138,6d7c51,627340,3d4138,657a5a,899168,536b3f,657a5a,2d3533,727b41,848a59,4c4d3d,878873,94a77b
isaac-levitan_footpath-in-a-forest-ferns.jpg,3d3b2a,69633d,5c5537,3d3b2a,6a683e,817a49,7e7c47,8d824e,5c5537,6a683e,787044,3d3b2a,918e54,aa9c61
ilya-repin_portrait-of-k-b-boleslavova-1913.jpg,4d2d25,8a5846,7b2826,4d2d25,8c5d3d,a5b18f,552d23,471e1d,7b2826,8c5d3d,969973,b4c9ab,55322d,4d6144
gustave-courbet_waterfall-in-the-wood-1863.jpg,43422b,605b33,43422b,58542e,595636,766f3b,514e2d,595636,43422b,6a6538,7d7437,5f5a2e,847b3e,8b8146
valentin-serov_portrait-of-italian-singer-francesco-tamano-1893.jpg,252223,44332d,252223,2a2526,302727,8a5a43,252223,2a2526,302727,3a2c29,ad6849,c58760,684032,8f583f
theodore-rousseau_landscape-in-the-auvergne-1830-2.jpg,1e1d19,473e31,1e1d19,302a22,453b2f,786751,1e1d19,302a22,453b2f,857c6b,63523f,826e53,a68c69,b0a38a
vasily-surikov_portrait-of-a-p-yurgenson-1908.jpg,0e0b0c,95827b,0e0b0c,c5b2a9,463939,836b63,0e0b0c,998882,b89d91,d1bcb0,f0e6e0,463939,74625e,937469
camille-corot_old-man-seated-on-corot-s-trunk-1826.jpg,352a20,8e7a61,6c573d,352a20,987956,c8c0b1,dbe0de,b69b78,a68e6e,d2cebf,6c573d,987956,211b15,493a2b
