ObjectID,cut_2,cut_4,cut_8
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
joshua-reynolds_lady-elizabeth-keppel.jpg,"[(42, 36, 30), (145, 118, 75)]","[(42, 36, 30), (108, 83, 53), (160, 130, 78), (202, 176, 117)]","[(142, 120, 76), (220, 186, 111), (42, 36, 30), (225, 205, 149), (178, 140, 79), (181, 156, 105), (93, 72, 49), (123, 93, 58)]"
maurice-quentin-de-la-tour_portrait-of-abbot.jpg,"[(22, 26, 32), (90, 83, 85)]","[(22, 26, 32), (51, 49, 55), (88, 82, 89), (172, 150, 140)]","[(149, 121, 109), (192, 155, 129), (205, 187, 167), (140, 138, 157), (22, 26, 32), (51, 49, 55), (83, 74, 75), (94, 89, 103)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,"[(74, 76, 63), (162, 157, 146)]","[(132, 128, 116), (74, 76, 63), (177, 168, 154), (205, 204, 198)]","[(184, 179, 167), (53, 59, 54), (78, 82, 68), (205, 204, 198), (170, 157, 140), (113, 103, 77), (116, 113, 103), (148, 143, 128)]"
joaquã­n-sorolla_street-in-granada.jpg,"[(149, 120, 97), (215, 189, 165)]","[(220, 212, 202), (210, 167, 128), (138, 96, 59), (160, 144, 136)]","[(220, 212, 202), (166, 149, 136), (190, 160, 135), (93, 109, 137), (175, 113, 65), (100, 79, 53), (208, 153, 107), (213, 181, 148)]"
john-russell_colonel-james-capper-and-his-daughter-1782.jpg,"[(39, 41, 32), (115, 100, 63)]","[(39, 41, 32), (59, 58, 41), (144, 114, 66), (198, 171, 105)]","[(39, 41, 32), (197, 176, 112), (59, 58, 41), (166, 127, 72), (216, 195, 131), (188, 156, 89), (111, 90, 54), (133, 111, 65)]"
pietro-longhi_conversation-in-the-family.jpg,"[(41, 37, 37), (95, 73, 65)]","[(41, 37, 37), (61, 50, 50), (111, 67, 57), (148, 126, 102)]","[(41, 37, 37), (108, 87, 71), (61, 50, 50), (158, 127, 98), (125, 114, 93), (111, 67, 57), (182, 164, 135), (216, 189, 159)]"
jean-baptiste-simeon-chardin_still-life-with-cat-and-rayfish.jpg,"[(71, 57, 28), (139, 108, 54)]","[(71, 57, 28), (115, 82, 29), (135, 101, 41), (191, 167, 116)]","[(113, 87, 39), (147, 132, 78), (199, 158, 85), (71, 57, 28), (157, 116, 43), (209, 190, 150), (103, 75, 29), (128, 90, 30)]"
william-hogarth_analisis-of-beauty.jpg,"[(135, 136, 133), (219, 221, 221)]","[(219, 221, 221), (177, 179, 177), (66, 67, 63), (119, 120, 116)]","[(190, 192, 189), (79, 80, 76), (104, 106, 102), (133, 134, 131), (165, 167, 164), (53, 54, 50), (210, 213, 211), (227, 230, 230)]"
bernardo-bellotto_the-ruins-of-the-old-kreuzkirche-dresden-1765.jpg,"[(89, 74, 56), (218, 214, 204)]","[(58, 50, 38), (120, 99, 73), (197, 185, 165), (239, 242, 244)]","[(239, 242, 244), (235, 235, 227), (104, 84, 62), (58, 50, 38), (136, 114, 83), (167, 148, 122), (211, 196, 172), (227, 220, 207)]"
francois-boucher_summer-pastoral-1749.jpg,"[(66, 63, 51), (144, 141, 127)]","[(66, 63, 51), (159, 168, 162), (123, 96, 74), (133, 132, 109)]","[(116, 125, 113), (135, 150, 147), (134, 134, 107), (167, 144, 106), (66, 63, 51), (123, 96, 74), (176, 177, 162), (189, 195, 191)]"
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,"[(103, 96, 64), (179, 172, 149)]","[(75, 77, 57), (131, 115, 70), (147, 139, 109), (212, 205, 190)]","[(221, 219, 212), (126, 125, 74), (163, 137, 72), (117, 99, 68), (75, 77, 57), (147, 139, 109), (198, 179, 137), (207, 204, 198)]"
allan-ramsay_philip-dormer-stanhope-4th-earl-of-chesterfield.jpg,"[(26, 21, 18), (103, 82, 64)]","[(26, 21, 18), (92, 60, 42), (91, 90, 80), (135, 117, 94)]","[(127, 121, 105), (112, 64, 41), (26, 21, 18), (123, 100, 76), (91, 90, 80), (73, 56, 42), (162, 136, 107), (173, 158, 134)]"
fyodor-rokotov_portrait-of-count-i-g-orlov.jpg,"[(56, 49, 47), (107, 105, 90)]","[(61, 72, 74), (154, 138, 106), (39, 41, 43), (73, 57, 51)]","[(60, 48, 48), (39, 41, 43), (61, 72, 74), (159, 161, 129), (113, 92, 69), (86, 65, 53), (222, 192, 136), (236, 216, 177)]"
maurice-quentin-de-la-tour_mademoiselle-chacrylique-sur-toileagner-de-la-grange.jpg,"[(71, 75, 78), (184, 153, 119)]","[(169, 135, 99), (199, 171, 140), (55, 54, 57), (87, 95, 99)]","[(213, 175, 130), (73, 67, 64), (37, 41, 49), (87, 95, 99), (223, 196, 168), (179, 157, 131), (144, 118, 92), (193, 152, 106)]"
thomas-gainsborough_wc-stringer-lawrence.jpg,"[(20, 11, 12), (89, 34, 22)]","[(20, 11, 12), (66, 28, 19), (107, 28, 16), (116, 54, 33)]","[(20, 11, 12), (107, 28, 16), (111, 32, 18), (112, 61, 32), (127, 80, 49), (66, 28, 19), (120, 94, 72), (148, 106, 78)]"
thomas-gainsborough_the-mall-in-st-james-s-park-1783.jpg,"[(61, 48, 25), (131, 116, 73)]","[(103, 88, 48), (61, 48, 25), (141, 123, 75), (179, 166, 122)]","[(48, 38, 23), (146, 133, 87), (73, 57, 26), (171, 157, 108), (135, 112, 62), (187, 176, 135), (97, 80, 40), (109, 96, 56)]"
william-hogarth_portrait-of-en-francis-dashwood-15th-baron-of-despencer.jpg,"[(52, 51, 47), (105, 101, 94)]","[(74, 72, 63), (52, 51, 47), (114, 104, 83), (160, 157, 168)]","[(40, 42, 43), (74, 72, 63), (176, 164, 161), (174, 180, 209), (114, 104, 83), (144, 142, 152), (53, 52, 50), (77, 68, 51)]"
