ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
joshua-reynolds_lady-elizabeth-keppel.jpg,2a241e,91764b,2a241e,6c5335,a0824e,cab075,8e784c,dcba6f,2a241e,e1cd95,b28c4f,b59c69,5d4831,7b5d3a
maurice-quentin-de-la-tour_portrait-of-abbot.jpg,161a20,5a5355,161a20,333137,585259,ac968c,95796d,c09b81,cdbba7,8c8a9d,161a20,333137,534a4b,5e5967
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
john-russell_colonel-james-capper-and-his-daughter-1782.jpg,272920,73643f,272920,3b3a29,907242,c6ab69,272920,c5b070,3b3a29,a67f48,d8c383,bc9c59,6f5a36,856f41
pietro-longhi_conversation-in-the-family.jpg,292525,5f4941,292525,3d3232,6f4339,947e66,292525,6c5747,3d3232,9e7f62,7d725d,6f4339,b6a487,d8bd9f
jean-baptiste-simeon-chardin_still-life-with-cat-and-rayfish.jpg,47391c,8b6c36,47391c,73521d,876529,bfa774,715727,93844e,c79e55,47391c,9d742b,d1be96,674b1d,805a1e
william-hogarth_analisis-of-beauty.jpg,878885,dbdddd,dbdddd,b1b3b1,42433f,777874,bec0bd,4f504c,686a66,858683,a5a7a4,353632,d2d5d3,e3e6e6
bernardo-bellotto_the-ruins-of-the-old-kreuzkirche-dresden-1765.jpg,594a38,dad6cc,3a3226,786349,c5b9a5,eff2f4,eff2f4,ebebe3,68543e,3a3226,887253,a7947a,d3c4ac,e3dccf
francois-boucher_summer-pastoral-1749.jpg,423f33,908d7f,423f33,9fa8a2,7b604a,85846d,747d71,879693,86866b,a7906a,423f33,7b604a,b0b1a2,bdc3bf
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
allan-ramsay_philip-dormer-stanhope-4th-earl-of-chesterfield.jpg,1a1512,675240,1a1512,5c3c2a,5b5a50,87755e,7f7969,704029,1a1512,7b644c,5b5a50,49382a,a2886b,ad9e86
fyodor-rokotov_portrait-of-count-i-g-orlov.jpg,38312f,6b695a,3d484a,9a8a6a,27292b,493933,3c3030,27292b,3d484a,9fa181,715c45,564135,dec088,ecd8b1
maurice-quentin-de-la-tour_mademoiselle-chacrylique-sur-toileagner-de-la-grange.jpg,474b4e,b89977,a98763,c7ab8c,373639,575f63,d5af82,494340,252931,575f63,dfc4a8,b39d83,90765c,c1986a
thomas-gainsborough_wc-stringer-lawrence.jpg,140b0c,592216,140b0c,421c13,6b1c10,743621,140b0c,6b1c10,6f2012,703d20,7f5031,421c13,785e48,946a4e
thomas-gainsborough_the-mall-in-st-james-s-park-1783.jpg,3d3019,837449,675830,3d3019,8d7b4b,b3a67a,302617,928557,49391a,ab9d6c,87703e,bbb087,615028,6d6038
william-hogarth_portrait-of-en-francis-dashwood-15th-baron-of-despencer.jpg,34332f,69655e,4a483f,34332f,726853,a09da8,282a2b,4a483f,b0a4a1,aeb4d1,726853,908e98,353432,4d4433
maurice-quentin-de-la-tour_manelli.jpg,2b2a35,82675e,664e44,2b2a35,84706f,b9917f,352f32,211d1f,534541,84706f,b9917f,363f66,694e45,8c5d4b
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,514e2e,aea585,90845f,514e2e,c0b48a,d9d8ce,666936,393927,d9d8ce,564f32,928938,c0b48a,806f52,a1986b
dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773.jpg,181717,5f5448,181717,322924,5a4d3d,bfb09a,342a26,2b2522,181717,5a4d3d,dbccb9,a3937c,3a2f27,463427
dmitry-levitzky_portrait-of-grand-duchess-elena-pavlovna-as-a-child-1791.jpg,483d20,898558,6b6237,483d20,8f9168,bfbe8d,615b32,3b321a,bec7a5,544726,76693b,c0b675,878152,98a07d
joaquã­n-sorolla_children-in-the-sea-1909.jpg,616774,7b8094,6a738d,8b8c9c,546072,6e6e76,59667c,7f8096,6a738d,898c9e,505a69,6e6e76,9f9d9b,abaeb3
allan-ramsay_portrait-of-david-hume.jpg,212220,886151,212220,5c4941,ae5d4f,bb9674,212220,b49b7f,443936,75584c,d6b592,ae5d4f,a07c5f,c28a5e
joaquã­n-sorolla_the-relic-1893.jpg,704232,c07c52,b16743,704232,ce8850,d29c6f,cf9873,ce8850,90513b,cd9062,b16743,deb587,3a2924,673b30
pietro-longhi_a-visit-to-a-lady-1746.jpg,272322,704536,272322,4d2a24,784330,ad7c62,272322,a06247,805741,4d2a24,c18b6f,d3ac91,693f2e,884831
