ObjectID,cut_2,cut_4,cut_8
sir-lawrence-alma-tadema_from-an-absent-one-1871.jpg,"[(76, 70, 63), (167, 154, 124)]","[(141, 125, 98), (76, 70, 63), (169, 158, 129), (217, 206, 173)]","[(207, 191, 152), (228, 221, 194), (95, 90, 82), (129, 112, 89), (152, 138, 107), (57, 50, 44), (153, 149, 125), (184, 167, 132)]"
ivan-aivazovsky_the-varangians-on-the-dnieper-1876.jpg,"[(83, 85, 79), (160, 129, 96)]","[(147, 115, 88), (83, 85, 79), (143, 139, 116), (205, 147, 93)]","[(82, 79, 73), (143, 139, 116), (100, 103, 96), (48, 54, 52), (205, 147, 93), (166, 117, 82), (129, 104, 78), (126, 123, 110)]"
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
joseph-wright_three-persons-viewing-the-gladiator-by-candlelight.jpg,"[(23, 29, 29), (64, 56, 45)]","[(23, 29, 29), (29, 34, 34), (42, 44, 41), (157, 113, 71)]","[(23, 29, 29), (29, 34, 34), (42, 44, 41), (208, 146, 84), (225, 195, 157), (153, 113, 69), (93, 71, 48), (165, 96, 48)]"
gheorghe-tattarescu_maria-gr-di-teanu.jpg,"[(35, 30, 32), (117, 93, 54)]","[(35, 30, 32), (77, 43, 38), (103, 98, 49), (214, 186, 93)]","[(54, 43, 38), (35, 30, 32), (73, 43, 36), (103, 98, 49), (124, 45, 38), (184, 153, 63), (241, 211, 101), (245, 228, 144)]"
ivan-aivazovsky_darial-gorge-1891.jpg,"[(112, 90, 64), (179, 154, 104)]","[(163, 131, 81), (196, 177, 126), (96, 69, 48), (128, 111, 79)]","[(111, 78, 51), (81, 60, 45), (128, 99, 63), (179, 163, 118), (212, 191, 134), (163, 131, 81), (126, 111, 80), (130, 133, 110)]"
paul-cezanne_landscape-1867-1.jpg,"[(58, 60, 40), (176, 164, 129)]","[(189, 191, 176), (163, 137, 82), (32, 35, 25), (85, 84, 56)]","[(154, 132, 83), (151, 114, 52), (32, 35, 25), (189, 191, 176), (173, 150, 97), (102, 99, 75), (48, 62, 36), (88, 73, 38)]"
gustave-dore_pantagruel.jpg,"[(82, 84, 69), (178, 173, 158)]","[(144, 142, 124), (211, 205, 192), (57, 60, 47), (108, 108, 90)]","[(72, 75, 59), (171, 168, 153), (232, 224, 214), (210, 203, 189), (144, 142, 124), (43, 46, 35), (96, 97, 79), (119, 119, 101)]"
john-william-waterhouse_the-naiad-1893.jpg,"[(75, 55, 54), (150, 108, 91)]","[(130, 88, 73), (75, 55, 54), (143, 105, 93), (195, 152, 124)]","[(91, 67, 66), (60, 42, 42), (192, 138, 100), (143, 105, 93), (130, 88, 73), (164, 148, 156), (226, 172, 121), (238, 199, 158)]"
edward-burne-jones_theseus.jpg,"[(143, 144, 141), (231, 233, 232)]","[(231, 233, 232), (182, 183, 181), (75, 76, 72), (133, 134, 130)]","[(194, 196, 193), (145, 146, 142), (121, 122, 118), (170, 171, 168), (92, 93, 89), (58, 59, 55), (220, 222, 221), (241, 244, 244)]"
jan-matejko_devil.jpg,"[(189, 173, 146), (236, 232, 226)]","[(236, 232, 226), (218, 200, 165), (141, 123, 100), (180, 170, 155)]","[(238, 234, 232), (220, 211, 190), (180, 170, 155), (172, 146, 109), (216, 190, 141), (234, 230, 220), (93, 83, 76), (130, 118, 105)]"
ivan-aivazovsky_yalta-1899.jpg,"[(82, 87, 99), (146, 147, 152)]","[(128, 130, 136), (163, 164, 168), (67, 72, 83), (97, 103, 116)]","[(84, 88, 95), (149, 151, 160), (177, 176, 176), (121, 123, 128), (97, 103, 116), (50, 56, 71), (125, 129, 143), (146, 145, 146)]"
dante-gabriel-rossetti_proserpine-1874.jpg,"[(11, 15, 14), (58, 59, 42)]","[(11, 15, 14), (23, 27, 25), (39, 58, 49), (146, 124, 71)]","[(22, 29, 26), (18, 23, 21), (39, 58, 49), (11, 15, 14), (132, 93, 31), (32, 33, 29), (127, 140, 108), (192, 170, 111)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
viktor-vasnetsov_nestor-the-chronicler-1893.jpg,"[(61, 50, 35), (157, 130, 96)]","[(119, 99, 69), (61, 50, 35), (179, 119, 67), (211, 202, 179)]","[(38, 38, 29), (179, 119, 67), (97, 85, 62), (240, 243, 240), (182, 162, 118), (142, 113, 75), (69, 56, 38), (100, 70, 42)]"
thomas-cole_the-fountain-of-vaucluse-1841.jpg,"[(81, 64, 42), (187, 172, 155)]","[(199, 195, 199), (81, 64, 42), (154, 126, 90), (197, 172, 131)]","[(171, 170, 182), (149, 116, 66), (160, 137, 113), (228, 221, 216), (63, 47, 34), (100, 81, 50), (179, 158, 130), (215, 186, 133)]"
