ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
sir-lawrence-alma-tadema_from-an-absent-one-1871.jpg,4c463f,a79a7c,8d7d62,4c463f,a99e81,d9cead,cfbf98,e4ddc2,5f5a52,817059,988a6b,39322c,99957d,b8a784
ivan-aivazovsky_the-varangians-on-the-dnieper-1876.jpg,53554f,a08160,937358,53554f,8f8b74,cd935d,524f49,8f8b74,646760,303634,cd935d,a67552,81684e,7e7b6e
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
joseph-wright_three-persons-viewing-the-gladiator-by-candlelight.jpg,171d1d,40382d,171d1d,1d2222,2a2c29,9d7147,171d1d,1d2222,2a2c29,d09254,e1c39d,997145,5d4730,a56030
gheorghe-tattarescu_maria-gr-di-teanu.jpg,231e20,755d36,231e20,4d2b26,676231,d6ba5d,362b26,231e20,492b24,676231,7c2d26,b8993f,f1d365,f5e490
ivan-aivazovsky_darial-gorge-1891.jpg,705a40,b39a68,a38351,c4b17e,604530,806f4f,6f4e33,513c2d,80633f,b3a376,d4bf86,a38351,7e6f50,82856e
paul-cezanne_landscape-1867-1.jpg,3a3c28,b0a481,bdbfb0,a38952,202319,555438,9a8453,977234,202319,bdbfb0,ad9661,66634b,303e24,584926
gustave-dore_pantagruel.jpg,525445,b2ad9e,908e7c,d3cdc0,393c2f,6c6c5a,484b3b,aba899,e8e0d6,d2cbbd,908e7c,2b2e23,60614f,777765
john-william-waterhouse_the-naiad-1893.jpg,4b3736,966c5b,825849,4b3736,8f695d,c3987c,5b4342,3c2a2a,c08a64,8f695d,825849,a4949c,e2ac79,eec79e
edward-burne-jones_theseus.jpg,8f908d,e7e9e8,e7e9e8,b6b7b5,4b4c48,858682,c2c4c1,91928e,797a76,aaaba8,5c5d59,3a3b37,dcdedd,f1f4f4
jan-matejko_devil.jpg,bdad92,ece8e2,ece8e2,dac8a5,8d7b64,b4aa9b,eeeae8,dcd3be,b4aa9b,ac926d,d8be8d,eae6dc,5d534c,827669
ivan-aivazovsky_yalta-1899.jpg,525763,929398,808288,a3a4a8,434853,616774,54585f,9597a0,b1b0b0,797b80,616774,323847,7d818f,929192
dante-gabriel-rossetti_proserpine-1874.jpg,0b0f0e,3a3b2a,0b0f0e,171b19,273a31,927c47,161d1a,121715,273a31,0b0f0e,845d1f,20211d,7f8c6c,c0aa6f
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
viktor-vasnetsov_nestor-the-chronicler-1893.jpg,3d3223,9d8260,776345,3d3223,b37743,d3cab3,26261d,b37743,61553e,f0f3f0,b6a276,8e714b,453826,64462a
thomas-cole_the-fountain-of-vaucluse-1841.jpg,51402a,bbac9b,c7c3c7,51402a,9a7e5a,c5ac83,abaab6,957442,a08971,e4ddd8,3f2f22,645132,b39e82,d7ba85
