ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
kuzma-petrov-vodkin_female-head-1912.jpg,88877d,c7c6ba,a4a398,c7c6ba,54534c,838278,4e4c46,cfcdc1,c0bfb3,363430,67655e,838278,9b9a8f,adaca0
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
nicholas-roerich_maulbek-1937.jpg,665b76,aeb4b2,8d98a9,665b76,c7c6af,d5dcca,d5dcca,c3c9c0,95a2b6,736679,868d9c,cbc39d,564868,5a597f
mikhail-vrubel_italian-night-sketch-for-the-curtain-in-russian-private-opera-1891.jpg,373228,5f5e55,272523,473e2e,46474b,79755f,454130,3b332b,272523,46474b,7e7f74,736a4b,564630,6b5d33
konstantin-vasilyev_dobrynya-s-battle-with-a-dragon.jpg,445b67,b7afb3,cfc2c5,9f9ca1,384747,506e88,94a6a8,506e88,c6b5ad,e8c9c5,b6bbc4,384747,7e8b9b,a28c95
nicholas-roerich_the-church-in-the-name-of-st-sergius-in-america-1931.jpg,8b8c9e,dbe2ec,dbe2ec,c1c5cb,504e65,59597d,e0e3de,59597d,504e65,9a9aa7,6f708a,dbe2ec,b9c0d5,c5d0df
odilon-redon_saint-john-the-blue-tunic-1892.jpg,35476e,897157,353432,3559aa,7f553d,948d71,353432,346ad9,35497b,9ac5ad,7f553d,816455,8aa379,deaa5f
mikhail-vrubel_hamlet-and-ophelia-1888.jpg,544840,c1c5b9,544840,d6d9cf,929482,c7cdc5,787566,a49a77,a9b0a1,83918a,c7cdc5,544840,d4d6c8,d8dcd6
george-frederick-watts_all-pervading(1).jpg,db966a,ebdabd,ebdabd,e7c191,c55639,d7824f,e2a66d,e9d1a8,d37945,db8b58,e8bb86,ebdabd,be4b34,cc613d
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
nicholas-roerich_eagle-s-nest.jpg,0d1350,426599,0d1350,2b477a,3f6ba7,749bcb,0f166b,0c1136,14387f,658fc2,3f6ba7,83a6d5,294579,5b6570
mstislav-dobuzhinsky_peter-and-paul-fortress-1923.jpg,767369,ded5c4,ded5c4,41413d,8f8a7c,c8c0ad,6b6a61,838073,343533,ded5c4,a79f8f,c8c0ad,444440,57574e
franz-stuck_portrait-of-the-daughter-mary-stuck.jpg,aa8b66,e0d5c3,bf9a6f,947c5d,c9b08c,f6fafb,f6fafb,bf9a6f,b6936a,c4a57c,c1a177,726551,cbb595,f4f7f5
salvador-dali_sponsabo-te-mihi-in-sempiternum-song-of-songs-2-12-1967.jpg,82512e,968675,422d25,c37538,4c5c78,e0b172,b35a30,d38f3f,dfab6b,e2a659,ddcbac,422d25,2f456d,697382
mikhail-vrubel_head-of-demon.jpg,6f5d40,aa8858,4f4533,90754d,a78352,ad8c5d,a78352,8a6f46,665840,3e392c,584a33,967b53,aa8858,b09063
nicholas-roerich_saint-genevieve-1933.jpg,243048,4b545d,243048,323e4e,4b5a61,7c7a76,815f64,676d74,243048,809999,c38c47,4b5a61,313844,344459
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
fernand-khnopff_incens-1898.jpg,3c3c31,767869,6a6957,82867b,2b2b23,4d4e3f,38382d,787c70,1e1f19,86897a,6a6957,4d4e3f,89928a,979f98
pablo-picasso_mother-and-child-on-the-beach-1902.jpg,43545a,6e8f82,43545a,6c866d,5f8a91,80a69d,5f8a91,4c6b72,5e776c,6a9699,393d41,96b6a0,6e886a,86a073
odilon-redon_pandora-1.jpg,8a7252,cab699,a4845c,716049,c0a887,d3c5ac,a58e74,e8d5b3,a27a44,beb4a4,7c7a6e,c0a887,51371f,7c5427
kuzma-petrov-vodkin_bird-cherry-in-a-glass-1932.jpg,3d3d54,a46f62,a85341,3d3d54,9a776b,a8a19a,9d493d,404664,a5998b,abaaa9,b35c44,9a776b,302c3f,433d49
konstantin-bogaevsky_landscape-with-castle-1912.jpg,3b3a39,80705f,3b3a39,635449,8c765d,afa18d,7b6f5c,c0ab87,cdc5b1,9c7d5d,3b3a39,635449,87807c,a79682
william-blake_illustration-to-milton-s-comus-1820-2.jpg,838180,d0c4b8,929495,d0c4b8,605c5f,8a7f77,695c56,676b73,8a7f77,929495,4a3f3f,e4d6ca,b1a89d,c6bcae
albert-pinkham-ryder_roadside-meeting.jpg,5f4714,a8851d,5f4714,a17c15,a7841d,b8992c,c6a833,5f4714,a7841d,b99a2a,ad8c23,a17c15,d3b63d,d7c05f
