ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
pablo-picasso_bottle-of-vieux-marc-glass-guitar-and-newspaper-1913.jpg,777045,c3ceb3,c3ceb3,a39153,342312,647a5d,719578,abc2ab,342312,dcdabc,575e42,ae7b25,97a073,98af90
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
georges-braque_woman-with-a-guitar-1913.jpg,696536,bdb98b,887f49,4a4b23,a7a575,d4cda0,b8b07b,969a6e,383712,5b5e34,c6bf8f,887f49,d7cfa1,ece6c2
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,676040,b3ac95,4b4d39,837346,938b6d,d4cdbe,dddbd4,7e7d4a,a38948,756344,4b4d39,938b6d,c6b389,cfccc6
georges-braque_aria-de-bach-1913.jpg,746547,d7d2be,d7d2be,3b3119,8e6b3f,cdc4ac,814e19,cdc4ac,d7d2be,282615,ada78f,8b6a3d,5c3b16,423d25
georges-braque_the-green-jug.jpg,757870,d3d9d5,d3d9d5,a3a79e,2e2b25,62655e,dde3e0,aeb6af,70756f,2e2b25,c8cfc9,53554d,888e88,a9a393
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,514e2e,aea585,90845f,514e2e,c0b48a,d9d8ce,666936,393927,d9d8ce,564f32,928938,c0b48a,806f52,a1986b
