ObjectID,cut_2,cut_4,cut_8
utagawa-kunisada_not_detected_240379.jpg,"[(211, 159, 135), (233, 203, 180)]","[(233, 203, 180), (228, 192, 166), (184, 84, 61), (204, 167, 146)]","[(228, 196, 172), (233, 203, 180), (130, 91, 80), (211, 79, 50), (182, 88, 64), (229, 188, 160), (190, 150, 129), (218, 185, 163)]"
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,"[(39, 30, 26), (95, 81, 67)]","[(39, 30, 26), (73, 58, 45), (90, 84, 76), (146, 122, 102)]","[(39, 30, 26), (142, 125, 110), (90, 84, 76), (136, 104, 78), (168, 144, 123), (174, 167, 159), (63, 52, 42), (82, 65, 48)]"
utagawa-kuniyoshi_yada-gorosaemon.jpg,"[(54, 51, 53), (210, 175, 152)]","[(242, 218, 192), (54, 51, 53), (156, 94, 78), (199, 172, 146)]","[(242, 218, 192), (174, 160, 143), (26, 20, 22), (81, 82, 84), (178, 69, 47), (135, 119, 108), (222, 173, 130), (226, 196, 167)]"
tsukioka-yoshitoshi_lin-chong.jpg,"[(180, 169, 141), (238, 218, 178)]","[(210, 201, 167), (238, 218, 178), (115, 113, 95), (186, 161, 134)]","[(243, 225, 185), (191, 184, 156), (232, 211, 171), (138, 147, 122), (210, 201, 167), (92, 80, 68), (177, 108, 89), (185, 170, 135)]"
utagawa-kuniyoshi_women-23.jpg,"[(158, 133, 113), (209, 192, 180)]","[(197, 160, 130), (209, 192, 180), (86, 83, 81), (150, 131, 113)]","[(99, 81, 65), (44, 41, 35), (100, 104, 113), (236, 207, 186), (150, 131, 113), (181, 176, 175), (185, 143, 114), (209, 176, 146)]"
keisai-eisen_shimada-station-shimada-shuku-no-24-from-an-untitled-series-of-the-fifty-three-stations-of-the(1).jpg,"[(138, 123, 110), (215, 205, 187)]","[(140, 147, 141), (136, 98, 80), (210, 192, 170), (221, 218, 204)]","[(216, 212, 196), (221, 218, 204), (176, 113, 82), (96, 83, 78), (168, 166, 155), (112, 128, 127), (199, 145, 107), (207, 199, 182)]"
georges-lacombeâ _the-apple-picker.jpg,"[(154, 115, 85), (207, 178, 151)]","[(125, 96, 76), (207, 178, 151), (175, 120, 90), (190, 149, 97)]","[(196, 176, 146), (141, 114, 88), (190, 149, 97), (175, 120, 90), (183, 151, 131), (224, 193, 163), (90, 71, 60), (126, 85, 69)]"
utagawa-kunisada_not_detected_240345.jpg,"[(114, 110, 98), (226, 201, 171)]","[(79, 95, 90), (226, 201, 171), (130, 103, 88), (169, 148, 125)]","[(227, 204, 172), (231, 212, 184), (130, 103, 88), (163, 137, 113), (175, 159, 137), (217, 175, 144), (77, 80, 75), (80, 110, 105)]"
utagawa-kunisada_not_detected_240351.jpg,"[(133, 107, 95), (214, 201, 169)]","[(167, 126, 107), (99, 89, 83), (196, 186, 149), (231, 215, 189)]","[(243, 223, 194), (83, 69, 67), (167, 177, 151), (115, 109, 99), (226, 196, 147), (219, 207, 184), (145, 126, 110), (189, 125, 104)]"
kitagawa-utamaro_a-scene-on-the-bridge-and-beld.jpg,"[(161, 116, 85), (244, 206, 152)]","[(244, 206, 152), (222, 160, 116), (61, 47, 38), (139, 99, 72)]","[(244, 204, 146), (246, 215, 165), (61, 47, 38), (241, 190, 132), (231, 188, 135), (214, 132, 97), (127, 82, 56), (151, 116, 87)]"
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,"[(74, 76, 63), (162, 157, 146)]","[(132, 128, 116), (74, 76, 63), (177, 168, 154), (205, 204, 198)]","[(184, 179, 167), (53, 59, 54), (78, 82, 68), (205, 204, 198), (170, 157, 140), (113, 103, 77), (116, 113, 103), (148, 143, 128)]"
utagawa-kuniyoshi_kagehisa-and-yoshitada-wrestling.jpg,"[(41, 33, 28), (165, 125, 83)]","[(41, 33, 28), (138, 86, 53), (181, 143, 88), (205, 185, 139)]","[(21, 16, 14), (180, 163, 127), (60, 49, 42), (229, 207, 150), (114, 77, 52), (163, 94, 54), (164, 133, 85), (197, 153, 91)]"
joaquã­n-sorolla_street-in-granada.jpg,"[(149, 120, 97), (215, 189, 165)]","[(220, 212, 202), (210, 167, 128), (138, 96, 59), (160, 144, 136)]","[(220, 212, 202), (166, 149, 136), (190, 160, 135), (93, 109, 137), (175, 113, 65), (100, 79, 53), (208, 153, 107), (213, 181, 148)]"
tsukioka-yoshitoshi_taira.jpg,"[(125, 124, 98), (192, 180, 137)]","[(203, 196, 164), (181, 164, 109), (111, 111, 80), (138, 138, 117)]","[(115, 106, 78), (130, 130, 92), (191, 178, 118), (171, 150, 101), (70, 77, 59), (138, 138, 117), (186, 179, 148), (219, 212, 180)]"
utagawa-kunisada_not_detected_239642(1).jpg,"[(91, 88, 77), (181, 164, 143)]","[(192, 184, 169), (169, 143, 116), (78, 66, 52), (105, 111, 101)]","[(176, 163, 143), (52, 48, 41), (192, 184, 169), (84, 94, 95), (126, 128, 108), (103, 84, 64), (158, 109, 76), (167, 140, 105)]"
ogata-gekko_picture-of-severe-battle-on-the-streets-of-gyuso-1895.jpg,"[(176, 155, 121), (215, 189, 152)]","[(196, 176, 139), (155, 135, 103), (211, 180, 141), (220, 198, 162)]","[(211, 186, 150), (220, 198, 162), (150, 136, 105), (196, 176, 139), (211, 175, 133), (182, 155, 118), (88, 79, 61), (124, 107, 81)]"
keisai-eisen_beauty-and-shamisen-1840.jpg,"[(189, 166, 127), (253, 225, 182)]","[(253, 225, 182), (235, 203, 152), (98, 85, 62), (188, 171, 143)]","[(253, 225, 182), (239, 210, 168), (150, 136, 106), (132, 112, 75), (56, 47, 33), (231, 196, 135), (182, 164, 128), (194, 178, 159)]"
kitagawa-utamaro_not_detected_233128.jpg,"[(190, 155, 128), (242, 204, 173)]","[(242, 204, 173), (229, 190, 157), (101, 79, 64), (200, 163, 134)]","[(20, 14, 11), (208, 175, 146), (192, 151, 121), (152, 122, 99), (242, 204, 173), (229, 190, 157), (59, 39, 30), (100, 76, 61)]"
joaquã­n-sorolla_ruins-of-bunol-1894.jpg,"[(103, 96, 64), (179, 172, 149)]","[(75, 77, 57), (131, 115, 70), (147, 139, 109), (212, 205, 190)]","[(221, 219, 212), (126, 125, 74), (163, 137, 72), (117, 99, 68), (75, 77, 57), (147, 139, 109), (198, 179, 137), (207, 204, 198)]"
hiroshige_tsuchi-yama.jpg,"[(87, 84, 80), (216, 195, 182)]","[(119, 120, 117), (56, 49, 44), (207, 174, 154), (224, 215, 210)]","[(224, 215, 210), (30, 29, 29), (211, 193, 175), (81, 70, 58), (203, 155, 133), (146, 142, 134), (60, 88, 105), (122, 107, 93)]"
tsukioka-yoshitoshi_takatoki-tengu.jpg,"[(77, 76, 70), (215, 201, 179)]","[(239, 232, 216), (77, 76, 70), (175, 146, 117), (206, 194, 168)]","[(239, 232, 216), (173, 161, 138), (206, 194, 168), (69, 66, 62), (60, 59, 56), (177, 131, 95), (113, 105, 83), (129, 135, 126)]"
utagawa-kuniyoshi_the-female-demond.jpg,"[(74, 55, 54), (208, 159, 141)]","[(220, 193, 182), (195, 124, 99), (33, 21, 21), (114, 90, 87)]","[(22, 13, 14), (220, 193, 182), (197, 153, 133), (194, 96, 65), (134, 115, 118), (94, 64, 56), (32, 22, 24), (56, 34, 31)]"
kitagawa-utamaro_amorous-couple-1803-1.jpg,"[(151, 137, 111), (210, 193, 162)]","[(188, 169, 136), (210, 193, 162), (75, 72, 63), (154, 138, 110)]","[(58, 58, 54), (202, 183, 149), (163, 148, 120), (144, 127, 99), (92, 86, 73), (188, 169, 136), (209, 193, 161), (225, 215, 190)]"
katsushika-hokusai_the-bullock-cart.jpg,"[(101, 90, 85), (228, 214, 189)]","[(228, 214, 189), (50, 51, 59), (129, 91, 70), (175, 167, 151)]","[(233, 225, 210), (37, 29, 31), (222, 203, 167), (119, 69, 51), (64, 74, 86), (140, 113, 90), (152, 151, 145), (199, 182, 156)]"
joaquã­n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,"[(81, 78, 46), (174, 165, 133)]","[(144, 132, 95), (81, 78, 46), (192, 180, 138), (217, 216, 206)]","[(102, 105, 54), (57, 57, 39), (217, 216, 206), (86, 79, 50), (146, 137, 56), (192, 180, 138), (128, 111, 82), (161, 152, 107)]"
joaquã­n-sorolla_children-in-the-sea-1909.jpg,"[(97, 103, 116), (123, 128, 148)]","[(106, 115, 141), (139, 140, 156), (84, 96, 114), (110, 110, 118)]","[(89, 102, 124), (127, 128, 150), (106, 115, 141), (137, 140, 158), (80, 90, 105), (110, 110, 118), (159, 157, 155), (171, 174, 179)]"
joaquã­n-sorolla_the-relic-1893.jpg,"[(112, 66, 50), (192, 124, 82)]","[(177, 103, 67), (112, 66, 50), (206, 136, 80), (210, 156, 111)]","[(207, 152, 115), (206, 136, 80), (144, 81, 59), (205, 144, 98), (177, 103, 67), (222, 181, 135), (58, 41, 36), (103, 59, 48)]"
hiroshige_the-moon-over-a-waterfall.jpg,"[(66, 101, 117), (155, 170, 158)]","[(170, 190, 183), (139, 151, 133), (56, 76, 76), (77, 125, 158)]","[(123, 160, 156), (216, 215, 189), (125, 165, 176), (77, 125, 158), (173, 177, 139), (56, 76, 76), (110, 144, 137), (150, 124, 99)]"
kitagawa-utamaro_a-geisha-in-her-lover-s-room.jpg,"[(175, 163, 137), (223, 212, 193)]","[(223, 212, 193), (214, 200, 173), (85, 81, 62), (185, 170, 140)]","[(29, 29, 23), (196, 182, 156), (175, 158, 124), (69, 67, 49), (223, 212, 193), (214, 200, 173), (110, 102, 76), (134, 125, 99)]"
kitagawa-utamaro_portrait-of-naniwaya-okita.jpg,"[(129, 121, 118), (198, 196, 194)]","[(178, 173, 170), (198, 196, 194), (32, 32, 35), (128, 106, 96)]","[(201, 203, 204), (32, 32, 35), (65, 65, 67), (178, 173, 170), (166, 131, 113), (194, 190, 184), (96, 91, 90), (135, 106, 94)]"
utagawa-kuniyoshi_oniwakamaru-and-the-giant-carp-fighting-underwater.jpg,"[(60, 66, 68), (149, 137, 120)]","[(60, 66, 68), (124, 105, 90), (134, 139, 128), (211, 201, 173)]","[(234, 230, 207), (193, 183, 159), (184, 160, 120), (60, 66, 68), (150, 108, 85), (98, 101, 95), (141, 136, 116), (128, 142, 140)]"
ito-shinsui_shirahama-in-the-morning.jpg,"[(77, 81, 56), (215, 198, 157)]","[(227, 217, 184), (203, 179, 130), (69, 63, 28), (84, 99, 84)]","[(111, 105, 63), (217, 208, 172), (227, 217, 184), (69, 63, 28), (75, 76, 63), (77, 137, 147), (177, 129, 61), (200, 171, 113)]"
antã³nio-de-carvalho-da-silva-porto_recanto-de-praia.jpg,"[(85, 87, 70), (172, 161, 134)]","[(137, 124, 94), (206, 199, 175), (75, 75, 54), (95, 100, 86)]","[(230, 227, 208), (221, 206, 174), (127, 109, 77), (95, 100, 86), (187, 181, 158), (75, 75, 54), (129, 129, 108), (167, 149, 115)]"
joaquã­n-sorolla_almond-trees-in-asis.jpg,"[(73, 59, 44), (183, 161, 140)]","[(195, 188, 176), (172, 135, 104), (45, 37, 26), (101, 80, 61)]","[(104, 81, 60), (92, 68, 47), (156, 116, 84), (187, 153, 124), (195, 188, 176), (118, 104, 90), (24, 25, 20), (66, 48, 33)]"
ferdinand-georg-waldmã¼ller_the-ruin-of-the-greek-theater-in-taormina-sicily-1844.jpg,"[(130, 119, 111), (195, 171, 127)]","[(162, 166, 177), (99, 72, 45), (200, 154, 73), (190, 188, 181)]","[(166, 178, 200), (207, 168, 84), (60, 44, 34), (190, 188, 181), (137, 100, 56), (192, 139, 63), (145, 143, 147), (170, 164, 162)]"
hiroshige_hibiscus.jpg,"[(140, 112, 97), (171, 178, 178)]","[(80, 88, 92), (199, 136, 101), (127, 149, 162), (216, 207, 194)]","[(241, 111, 57), (152, 147, 140), (226, 172, 120), (127, 149, 162), (216, 207, 194), (80, 88, 92), (209, 101, 57), (148, 132, 120)]"
joaquã­n-sorolla_mending-the-sail-1904.jpg,"[(143, 108, 60), (166, 164, 162)]","[(124, 121, 128), (208, 207, 196), (119, 90, 53), (166, 127, 66)]","[(147, 108, 56), (223, 227, 226), (166, 127, 66), (91, 73, 51), (194, 186, 166), (112, 104, 102), (117, 121, 145), (156, 157, 162)]"
katsushika-hokusai_gale-to-asajigahara.jpg,"[(158, 146, 144), (194, 179, 178)]","[(182, 168, 168), (194, 179, 178), (112, 104, 100), (158, 144, 141)]","[(182, 168, 168), (107, 97, 92), (149, 136, 133), (166, 153, 149), (124, 115, 111), (194, 179, 178), (89, 83, 78), (95, 93, 89)]"
