ObjectID,cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
utagawa-kunisada_not_detected_240379.jpg,d39f87,e9cbb4,e9cbb4,e4c0a6,b8543d,cca792,e4c4ac,e9cbb4,825b50,d34f32,b65840,e5bca0,be9681,dab9a3
arnold-bã¶cklin_dragon-walking-between-rocks.jpg,271e1a,5f5143,271e1a,493a2d,5a544c,927a66,271e1a,8e7d6e,5a544c,88684e,a8907b,aea79f,3f342a,524130
utagawa-kuniyoshi_yada-gorosaemon.jpg,363335,d2af98,f2dac0,363335,9c5e4e,c7ac92,f2dac0,aea08f,1a1416,515254,b2452f,87776c,dead82,e2c4a7
tsukioka-yoshitoshi_lin-chong.jpg,b4a98d,eedab2,d2c9a7,eedab2,73715f,baa186,f3e1b9,bfb89c,e8d3ab,8a937a,d2c9a7,5c5044,b16c59,b9aa87
utagawa-kuniyoshi_women-23.jpg,9e8571,d1c0b4,c5a082,d1c0b4,565351,968371,635141,2c2923,646871,eccfba,968371,b5b0af,b98f72,d1b092
keisai-eisen_shimada-station-shimada-shuku-no-24-from-an-untitled-series-of-the-fifty-three-stations-of-the(1).jpg,8a7b6e,d7cdbb,8c938d,886250,d2c0aa,dddacc,d8d4c4,dddacc,b07152,60534e,a8a69b,70807f,c7916b,cfc7b6
georges-lacombeâ _the-apple-picker.jpg,9a7355,cfb297,7d604c,cfb297,af785a,be9561,c4b092,8d7258,be9561,af785a,b79783,e0c1a3,5a473c,7e5545
utagawa-kunisada_not_detected_240345.jpg,726e62,e2c9ab,4f5f5a,e2c9ab,826758,a9947d,e3ccac,e7d4b8,826758,a38971,af9f89,d9af90,4d504b,506e69
utagawa-kunisada_not_detected_240351.jpg,856b5f,d6c9a9,a77e6b,635953,c4ba95,e7d7bd,f3dfc2,534543,a7b197,736d63,e2c493,dbcfb8,917e6e,bd7d68
kitagawa-utamaro_a-scene-on-the-bridge-and-beld.jpg,a17455,f4ce98,f4ce98,dea074,3d2f26,8b6348,f4cc92,f6d7a5,3d2f26,f1be84,e7bc87,d68461,7f5238,977457
joaquã­n-sorolla_portrait-of-clothilde-1891.jpg,4a4c3f,a29d92,848074,4a4c3f,b1a89a,cdccc6,b8b3a7,353b36,4e5244,cdccc6,aa9d8c,71674d,747167,948f80
utagawa-kuniyoshi_kagehisa-and-yoshitada-wrestling.jpg,29211c,a57d53,29211c,8a5635,b58f58,cdb98b,15100e,b4a37f,3c312a,e5cf96,724d34,a35e36,a48555,c5995b
joaquã­n-sorolla_street-in-granada.jpg,957861,d7bda5,dcd4ca,d2a780,8a603b,a09088,dcd4ca,a69588,bea087,5d6d89,af7141,644f35,d0996b,d5b594
tsukioka-yoshitoshi_taira.jpg,7d7c62,c0b489,cbc4a4,b5a46d,6f6f50,8a8a75,736a4e,82825c,bfb276,ab9665,464d3b,8a8a75,bab394,dbd4b4
utagawa-kunisada_not_detected_239642(1).jpg,5b584d,b5a48f,c0b8a9,a98f74,4e4234,696f65,b0a38f,343029,c0b8a9,545e5f,7e806c,675440,9e6d4c,a78c69
ogata-gekko_picture-of-severe-battle-on-the-streets-of-gyuso-1895.jpg,b09b79,d7bd98,c4b08b,9b8767,d3b48d,dcc6a2,d3ba96,dcc6a2,968869,c4b08b,d3af85,b69b76,584f3d,7c6b51
